secs,km,power,hr,cad,alt
0,0,,62,,12
1,0.00077,,62,,12.2
2,0.00235,,62,,12.2
3,0.00421,,62,,12.4
4,0.0068,,67,,12.4
5,0.00962,,69,,12.4
6,0.01283,,71,,12.6
7,0.01632,,75,,12.6
8,0.01973,,78,,12.6
9,0.02317,,79,,12.2
10,0.02672,,80,,11.8
11,0.03074,,83,,11.8
12,0.03472,,84,,11.6
13,0.03816,,86,,11.6
14,0.04145,,88,,11.8
15,0.0441,,88,,11.6
16,0.0465,,90,,11.8
17,0.0493,,91,,11.6
18,0.05194,,93,,11.8
19,0.05469,,95,,11.6
20,0.05731,,96,,11.6
21,0.06001,,97,,11.2
22,0.06281,,99,,11.4
23,0.06565,,100,,11
24,0.06861,,101,,11
25,0.07196,,102,,10.6
26,0.0754,,103,,10.6
27,0.07846,,104,,10.6
28,0.08134,,105,,10.6
29,0.08415,,105,,10.6
30,0.08651,,106,,10.6
31,0.08894,,107,,10.4
32,0.09139,,108,,10.4
33,0.09394,,108,,10.6
34,0.0967,,109,,10.4
35,0.09936,,109,,10.2
36,0.10211,,110,,10
37,0.10478,,110,,10
38,0.10759,,111,,10
39,0.11085,,111,,10.2
40,0.11381,,112,,10.2
41,0.11686,,112,,9.8
42,0.11991,,112,,9.6
43,0.12295,,112,,9.6
44,0.12583,,112,,9.6
45,0.12863,,113,,9.2
46,0.13183,,113,,9
47,0.135,,113,,9
48,0.13817,,113,,9
49,0.14111,,113,,8.8
50,0.14405,,113,,9
51,0.14687,,114,,9
52,0.14985,,114,,8.8
53,0.15321,,115,,9
54,0.1564,,115,,9.2
55,0.15946,,115,,9.2
56,0.16231,,116,,9.4
57,0.16514,,117,,9.4
58,0.16798,,118,,9.4
59,0.1707,,118,,9.8
60,0.17358,,119,,9.8
61,0.17656,,119,,9.8
62,0.17979,,120,,9.4
63,0.18276,,120,,9.4
64,0.18536,,120,,9.6
65,0.18816,,120,,9.4
66,0.19092,,120,,9.2
67,0.1938,,121,,9.4
68,0.19664,,121,,9
69,0.19941,,120,,9
70,0.20241,,120,,9.2
71,0.20539,,120,,8.8
72,0.20853,,120,,8.8
73,0.21172,,120,,8.6
74,0.21482,,120,,8.8
75,0.21802,,120,,8.6
76,0.22087,,120,,8.6
77,0.22403,,120,,8.4
78,0.22754,,120,,8.2
79,0.2313,,121,,8.4
80,0.23463,,120,,8.2
81,0.23799,,120,,8.2
82,0.24146,,120,,8.2
83,0.24459,,119,,8.2
84,0.24784,,119,,8.2
85,0.2511,,119,,8.2
86,0.25478,,119,,8.2
87,0.25845,,119,,8
88,0.26184,,119,,8
89,0.26537,,119,,7.8
90,0.26878,,118,,8
91,0.27217,,118,,7.8
92,0.27544,,118,,7.6
93,0.27878,,118,,7.4
94,0.28224,,117,,7.6
95,0.28513,,117,,7.6
96,0.28823,,117,,7.6
97,0.29122,,117,,7.2
98,0.29423,,116,,7.2
99,0.29726,,116,,7.2
100,0.30007,,116,,7
101,0.3034,,116,,7
102,0.30659,,115,,7
103,0.30995,,115,,7
104,0.31306,,115,,6.6
105,0.31602,,115,,6.6
106,0.31886,,115,,6.8
107,0.32178,,116,,7
108,0.32447,,116,,6.8
109,0.32699,,116,,6.8
110,0.32961,,116,,6.8
111,0.332,,116,,6.8
112,0.3346,,117,,7
113,0.33746,,117,,6.8
114,0.34059,,117,,6.8
115,0.34381,,117,,6.6
116,0.34689,,117,,6.6
117,0.35011,,118,,7
118,0.35287,,118,,6.8
119,0.35582,,119,,7
120,0.35864,,119,,7
121,0.36146,,119,,7
122,0.36422,,120,,7
123,0.36708,,120,,6.8
124,0.36999,,120,,6.8
125,0.37301,,121,,6.8
126,0.376,,121,,6.8
127,0.37915,,121,,6.8
128,0.38227,,121,,6.8
129,0.38562,,121,,6.8
130,0.38898,,121,,6.8
131,0.39221,,121,,7
132,0.39526,,121,,7
133,0.39787,,122,,7
134,0.40057,,122,,7.2
135,0.40309,,122,,7.4
136,0.40576,,122,,7.2
137,0.40844,,122,,7.4
138,0.41121,,122,,7.6
139,0.41433,,122,,7.8
140,0.41713,,122,,7.6
141,0.42012,,122,,7.8
142,0.42301,,122,,8
143,0.42597,,123,,8
144,0.42873,,123,,8
145,0.43161,,123,,8.2
146,0.43467,,123,,8.2
147,0.43745,,123,,8
148,0.44052,,124,,8.2
149,0.44343,,124,,8.2
150,0.4462,,124,,8.2
151,0.44897,,124,,8.4
152,0.45204,,124,,8.4
153,0.45517,,124,,8.6
154,0.4581,,124,,9
155,0.4613,,124,,8.8
156,0.46421,,124,,9.2
157,0.46721,,124,,9.2
158,0.47011,,124,,9.2
159,0.47308,,124,,9.4
160,0.4758,,125,,9.8
161,0.4785,,125,,9.8
162,0.48139,,125,,9.8
163,0.48403,,125,,9.8
164,0.48678,,125,,9.8
165,0.48943,,126,,9.8
166,0.49218,,126,,9.8
167,0.49481,,126,,10
168,0.49758,,126,,10.2
169,0.50066,,126,,10.2
170,0.50335,,126,,10.2
171,0.5062,,126,,10.4
172,0.50888,,126,,10.4
173,0.51169,,126,,10.4
174,0.51458,,127,,10.6
175,0.51732,,127,,10.6
176,0.52041,,127,,10.6
177,0.52326,,126,,10.8
178,0.5262,,126,,11
179,0.52911,,126,,11.2
180,0.53211,,127,,11
181,0.53522,,127,,11
182,0.53848,,127,,11.2
183,0.5417,,127,,11.2
184,0.54443,,127,,11.4
185,0.54714,,127,,11.6
186,0.54989,,127,,11.8
187,0.55262,,127,,12
188,0.55517,,127,,12
189,0.55763,,127,,12.2
190,0.56048,,127,,12.4
191,0.56309,,127,,12.2
192,0.56594,,127,,12.4
193,0.56876,,127,,12.4
194,0.57152,,127,,12.6
195,0.57444,,127,,12.6
196,0.57722,,127,,12.6
197,0.58008,,127,,12.8
198,0.58258,,127,,12.8
199,0.58536,,127,,13
200,0.58805,,126,,13.2
201,0.59079,,127,,13.2
202,0.59358,,127,,13.4
203,0.59651,,127,,13.6
204,0.59968,,127,,13.6
205,0.60262,,127,,13.4
206,0.60581,,127,,13.6
207,0.6088,,127,,13.6
208,0.6118,,127,,13.6
209,0.61487,,128,,13.8
210,0.618,,128,,14.2
211,0.62098,,128,,14.2
212,0.62375,,128,,14.2
213,0.62661,,128,,14.6
214,0.62921,,128,,14.4
215,0.6323,,129,,14.6
216,0.63547,,129,,14.4
217,0.63878,,129,,14.6
218,0.642,,129,,14.6
219,0.64501,,128,,14.8
220,0.64803,,128,,14.8
221,0.65089,,128,,14.8
222,0.65375,,128,,14.6
223,0.65674,,128,,14.8
224,0.66,,128,,14.8
225,0.66303,,128,,15
226,0.66638,,128,,14.8
227,0.66982,,128,,14.6
228,0.67312,,128,,14.6
229,0.67647,,128,,14.8
230,0.67945,,128,,15.2
231,0.68255,,128,,14.8
232,0.68551,,128,,15
233,0.68839,,128,,15
234,0.69125,,128,,15.4
235,0.69413,,128,,15.4
