secs,km,power,hr,cad,alt
0,0,,96,,0
1,0.00175,,96,,0
2,0.00349,,97,,0
3,0.00523,,98,,0
4,0.00709,,99,,0
5,0.00895,,100,,0
6,0.01081,,101,,0
7,0.012835,,102.5,,0
8,0.01486,,104,,0
9,0.016945,,106,,0
10,0.01903,,108,,0
11,0.02117,,111,,0
12,0.02334,,113,,0
13,0.025565,,115,,0
14,0.02779,,117,,0
15,0.03007,,119,,0
16,0.03235,,121,,0
17,0.03466,,122,,0
18,0.03702,,123.5,,0
19,0.03938,,125,,0
20,0.0417933,,126.333,,0
21,0.0442067,,127.667,,0
22,0.04662,,129,,0
23,0.04908,,130,,0
24,0.051595,,130.75,,0
25,0.05411,,131.5,,0
26,0.056625,,132.25,,0
27,0.05914,,133,,0
28,0.0617688,,133.375,,0
29,0.0643975,,133.75,,0
30,0.0670262,,134.125,,0
31,0.069655,,134.5,,0
32,0.0722837,,134.875,,0
33,0.0749125,,135.25,,0
34,0.0775412,,135.625,,0
35,0.08017,,136,,0
36,0.0829112,,136.375,,0
37,0.0856525,,136.75,,0
38,0.0883937,,137.125,,0
39,0.091135,,137.5,,0
40,0.0938762,,137.875,,0
41,0.0966175,,138.25,,0
42,0.0993587,,138.625,,0
43,0.1021,,139,,0
44,0.104916,,139.2,,0
45,0.107732,,139.4,,0
46,0.110548,,139.6,,0
47,0.113364,,139.8,,0
48,0.11618,,140,,0
49,0.119064,,140,,0
50,0.121949,,140,,0
51,0.124833,,140,,0
52,0.127717,,140,,0
53,0.130601,,140,,0
54,0.133486,,140,,0
55,0.13637,,140,,0
56,0.139361,,139.857,,0
57,0.142353,,139.714,,0
58,0.145344,,139.571,,0
59,0.148336,,139.429,,0
60,0.151327,,139.286,,0
61,0.154319,,139.143,,0
62,0.15731,,139,,0
63,0.16036,,138.857,,0
64,0.16341,,138.714,,0
65,0.16646,,138.571,,0
66,0.16951,,138.429,,0
67,0.17256,,138.286,,0
68,0.17561,,138.143,,0
69,0.17866,,138,,0
70,0.18174,,138,,0
71,0.18482,,138,,0
72,0.1879,,138,,0
73,0.19098,,138,,0
74,0.19406,,138,,0
75,0.19714,,138,,0
76,0.20022,,138,,0
77,0.203333,,138,,0
78,0.206446,,138,,0
79,0.209559,,138,,0
80,0.212671,,138,,0
81,0.215784,,138,,0
82,0.218897,,138,,0
83,0.22201,,138,,0
84,0.225117,,138,,0
85,0.228223,,138,,0
86,0.23133,,138,,0
87,0.234453,,138.167,,0
88,0.237577,,138.333,,0
89,0.2407,,138.5,,0
90,0.243823,,138.667,,0
91,0.246947,,138.833,,0
92,0.25007,,139,,0
93,0.25325,,139.167,,0
94,0.25643,,139.333,,0
95,0.25961,,139.5,,0
96,0.26279,,139.667,,0
97,0.26597,,139.833,,0
98,0.26915,,140,,0
99,0.272355,,140.167,,0
100,0.27556,,140.333,,0
101,0.278765,,140.5,,0
102,0.28197,,140.667,,0
103,0.285175,,140.833,,0
104,0.28838,,141,,0
105,0.291558,,141,,0
106,0.294737,,141,,0
107,0.297915,,141,,0
108,0.301093,,141,,0
109,0.304272,,141,,0
110,0.30745,,141,,0
111,0.310604,,141.2,,0
112,0.313758,,141.4,,0
113,0.316912,,141.6,,0
114,0.320066,,141.8,,0
115,0.32322,,142,,0
116,0.32636,,142,,0
117,0.32636,,142.25,,0
118,0.32636,,142.5,,0
119,0.32636,,142.75,,0
120,0.32636,,143,,0
121,0.32636,,143.25,,0
122,0.32636,,143.5,,0
123,0.32636,,143.75,,0
124,0.32636,,144,,0
125,0.32636,,144,,0
126,0.32636,,144,,0
127,0.32636,,144,,0
128,0.32636,,144,,0
129,0.32636,,144,,0
130,0.32636,,144,,0
131,0.32716,,143.75,,0
132,0.32796,,143.5,,0
133,0.32876,,143.25,,0
134,0.32956,,143,,0
135,0.33218,,143.25,,0
136,0.3348,,143.5,,0
137,0.33742,,143.75,,0
138,0.34004,,144,,0
139,0.342902,,144,,0
140,0.345765,,144,,0
141,0.348627,,144,,0
142,0.35149,,144,,0
143,0.35419,,144.6,,0
144,0.35689,,145.2,,0
145,0.35959,,145.8,,0
146,0.36229,,146.4,,0
147,0.36499,,147,,0
148,0.367622,,147.333,,0
149,0.370253,,147.667,,0
150,0.372885,,148,,0
151,0.375517,,148.333,,0
152,0.378148,,148.667,,0
153,0.38078,,149,,0
154,0.383343,,149,,0
155,0.385906,,149,,0
156,0.388469,,149,,0
157,0.391031,,149,,0
158,0.393594,,149,,0
159,0.396157,,149,,0
160,0.39872,,149,,0
161,0.401242,,148.667,,0
162,0.403763,,148.333,,0
163,0.406285,,148,,0
164,0.408807,,147.667,,0
165,0.411328,,147.333,,0
166,0.41385,,147,,0
167,0.415985,,147,,0
168,0.41812,,147,,0
169,0.420255,,147,,0
170,0.42239,,147,,0
171,0.424704,,147.4,,0
172,0.427018,,147.8,,0
173,0.429332,,148.2,,0
174,0.431646,,148.6,,0
175,0.43396,,149,,0
176,0.436435,,149.75,,0
177,0.43891,,150.5,,0
178,0.441385,,151.25,,0
179,0.44386,,152,,0
180,0.44645,,152.5,,0
181,0.44904,,153,,0
182,0.45163,,153.5,,0
183,0.45422,,154,,0
184,0.456922,,154.333,,0
185,0.459623,,154.667,,0
186,0.462325,,155,,0
187,0.465027,,155.333,,0
188,0.467728,,155.667,,0
189,0.47043,,156,,0
190,0.473225,,156,,0
191,0.47602,,156,,0
192,0.478815,,156,,0
193,0.48161,,156,,0
194,0.484478,,156,,0
195,0.487346,,156,,0
196,0.490214,,156,,0
197,0.493082,,156,,0
198,0.49595,,156,,0
199,0.498906,,156.2,,0
200,0.501862,,156.4,,0
201,0.504818,,156.6,,0
202,0.507774,,156.8,,0
203,0.51073,,157,,0
204,0.513772,,156.833,,0
205,0.516813,,156.667,,0
206,0.519855,,156.5,,0
207,0.522897,,156.333,,0
208,0.525938,,156.167,,0
209,0.52898,,156,,0
210,0.532091,,155.857,,0
211,0.535203,,155.714,,0
212,0.538314,,155.571,,0
213,0.541426,,155.429,,0
214,0.544537,,155.286,,0
215,0.547649,,155.143,,0
216,0.55076,,155,,0
217,0.553916,,154.857,,0
218,0.557071,,154.714,,0
219,0.560227,,154.571,,0
220,0.563383,,154.429,,0
221,0.566539,,154.286,,0
222,0.569694,,154.143,,0
223,0.57285,,154,,0
224,0.576053,,153.857,,0
225,0.579256,,153.714,,0
226,0.582459,,153.571,,0
227,0.585661,,153.429,,0
228,0.588864,,153.286,,0
229,0.592067,,153.143,,0
230,0.59527,,153,,0
231,0.59847,,152.714,,0
232,0.60167,,152.429,,0
233,0.60487,,152.143,,0
234,0.60807,,151.857,,0
235,0.61127,,151.571,,0
236,0.61447,,151.286,,0
237,0.61767,,151,,0
238,0.620856,,150.857,,0
239,0.624041,,150.714,,0
240,0.627227,,150.571,,0
241,0.630413,,150.429,,0
242,0.633599,,150.286,,0
243,0.636784,,150.143,,0
244,0.63997,,150,,0
245,0.643129,,150,,0
246,0.646287,,150,,0
247,0.649446,,150,,0
248,0.652604,,150,,0
249,0.655763,,150,,0
250,0.658921,,150,,0
251,0.66208,,150,,0
252,0.665224,,149.857,,0
253,0.668369,,149.714,,0
254,0.671513,,149.571,,0
255,0.674657,,149.429,,0
256,0.677801,,149.286,,0
257,0.680946,,149.143,,0
258,0.68409,,149,,0
259,0.687243,,149,,0
260,0.690396,,149,,0
261,0.693549,,149,,0
262,0.696701,,149,,0
263,0.699854,,149,,0
264,0.703007,,149,,0
265,0.70616,,149,,0
266,0.707735,,148.75,,386
267,0.70931,,148.5,,772
268,0.710885,,148.25,,1158
269,0.71246,,148,,1544
270,0.715499,,147.857,,1543.91
271,0.718537,,147.714,,1543.83
272,0.721576,,147.571,,1543.74
273,0.724614,,147.429,,1543.66
274,0.727653,,147.286,,1543.57
275,0.730691,,147.143,,1543.49
276,0.73373,,147,,1543.4
277,0.738026,,147,,1543.24
278,0.742322,,147,,1543.08
279,0.746618,,147,,1542.92
280,0.750914,,147,,1542.76
281,0.75521,,147,,1542.6
282,0.759925,,147,,1542.5
283,0.76464,,147,,1542.4
284,0.768195,,146.667,,1542.27
285,0.77175,,146.333,,1542.13
286,0.775305,,146,,1542
287,0.77886,,145.667,,1541.87
288,0.782415,,145.333,,1541.73
289,0.78597,,145,,1541.6
290,0.789383,,144.667,,1541.53
291,0.792797,,144.333,,1541.47
292,0.79621,,144,,1541.4
293,0.80028,,144,,1541.2
294,0.803738,,144,,1541.07
295,0.807197,,144,,1540.93
296,0.810655,,144,,1540.8
297,0.814113,,144,,1540.67
298,0.817572,,144,,1540.53
299,0.82103,,144,,1540.4
300,0.82454,,144,,1540.2
301,0.827917,,143.667,,1540.13
302,0.831293,,143.333,,1540.07
303,0.83467,,143,,1540
304,0.838047,,142.667,,1539.93
305,0.841423,,142.333,,1539.87
306,0.8448,,142,,1539.8
307,0.848362,,141.833,,1539.67
308,0.851923,,141.667,,1539.53
309,0.855485,,141.5,,1539.4
310,0.859047,,141.333,,1539.27
311,0.862608,,141.167,,1539.13
312,0.86617,,141,,1539
313,0.869693,,140.5,,1538.93
314,0.873217,,140,,1538.87
315,0.87674,,139.5,,1538.8
316,0.880263,,139,,1538.73
317,0.883787,,138.5,,1538.67
318,0.88731,,138,,1538.6
319,0.890153,,138,,1538.33
320,0.892997,,138,,1538.07
321,0.89584,,138,,1537.8
322,0.898223,,137.667,,1537.33
323,0.900607,,137.333,,1536.87
324,0.90299,,137,,1536.4
325,0.906698,,136.833,,1536.53
326,0.910407,,136.667,,1536.67
327,0.914115,,136.5,,1536.8
328,0.917823,,136.333,,1536.93
329,0.921532,,136.167,,1537.07
330,0.92524,,136,,1537.2
331,0.92828,,136.25,,1537.3
332,0.93132,,136.5,,1537.4
333,0.93436,,136.75,,1537.5
334,0.9374,,137,,1537.6
335,0.940793,,137.5,,1537.47
336,0.944187,,138,,1537.33
337,0.94758,,138.5,,1537.2
338,0.950973,,139,,1537.07
339,0.954367,,139.5,,1536.93
340,0.95776,,140,,1536.8
341,0.960896,,140.286,,1536.8
342,0.964031,,140.571,,1536.8
343,0.967167,,140.857,,1536.8
344,0.970303,,141.143,,1536.8
345,0.973439,,141.429,,1536.8
346,0.976574,,141.714,,1536.8
347,0.97971,,142,,1536.8
348,0.982485,,142,,1536.7
349,0.98526,,142,,1536.6
350,0.988677,,142,,1536.55
351,0.992095,,142,,1536.5
352,0.995512,,142,,1536.45
353,0.99893,,142,,1536.4
354,1.00229,,142.6,,1536.36
355,1.00565,,143.2,,1536.32
356,1.00901,,143.8,,1536.28
357,1.01237,,144.4,,1536.24
358,1.01573,,145,,1536.2
359,1.01918,,145.333,,1536.1
360,1.02262,,145.667,,1536
361,1.02606,,146,,1535.9
362,1.02951,,146.333,,1535.8
363,1.03295,,146.667,,1535.7
364,1.0364,,147,,1535.6
365,1.03984,,147,,1535.53
366,1.04328,,147,,1535.47
367,1.04672,,147,,1535.4
368,1.05009,,146.833,,1535.37
369,1.05346,,146.667,,1535.33
370,1.05683,,146.5,,1535.3
371,1.0602,,146.333,,1535.27
372,1.06357,,146.167,,1535.23
373,1.06694,,146,,1535.2
374,1.07054,,145.5,,1535.13
375,1.07413,,145,,1535.07
376,1.07773,,144.5,,1535
377,1.08133,,144,,1534.93
378,1.08492,,143.5,,1534.87
379,1.08852,,143,,1534.8
380,1.09201,,143,,1534.7
381,1.09549,,143,,1534.6
382,1.09898,,143,,1534.5
383,1.10246,,143,,1534.4
384,1.10537,,143,,1534.31
385,1.10828,,143,,1534.23
386,1.11119,,143,,1534.14
387,1.11409,,143,,1534.06
388,1.117,,143,,1533.97
389,1.11991,,143,,1533.89
390,1.12282,,143,,1533.8
391,1.12574,,143,,1533.65
392,1.12866,,143,,1533.5
393,1.13157,,143,,1533.35
394,1.13449,,143,,1533.2
395,1.13831,,143.333,,1533.17
396,1.14212,,143.667,,1533.13
397,1.14594,,144,,1533.1
398,1.14975,,144.333,,1533.07
399,1.15357,,144.667,,1533.03
400,1.15738,,145,,1533
401,1.16129,,145,,1532.9
402,1.1652,,145,,1532.8
403,1.16911,,145,,1532.7
404,1.17301,,145,,1532.6
405,1.17692,,145,,1532.5
406,1.18083,,145,,1532.4
407,1.18438,,144.833,,1532.4
408,1.18794,,144.667,,1532.4
409,1.19149,,144.5,,1532.4
410,1.19505,,144.333,,1532.4
411,1.1986,,144.167,,1532.4
412,1.20216,,144,,1532.4
413,1.20548,,145,,1532.2
