secs,km,power,hr,cad,alt
0,0,,96,,103.8
1,0.00121,,95.6667,,102.933
2,0.00242,,95.3333,,102.067
3,0.00363,,95,,101.2
4,0.00509667,,95,,101.4
5,0.00656333,,95,,101.6
6,0.00803,,95,,101.8
7,0.009565,,95.5,,102.1
8,0.0111,,96,,102.4
9,0.012635,,96.5,,102.7
10,0.01417,,97,,103
11,0.01575,,97.4286,,103.171
12,0.01733,,97.8571,,103.343
13,0.01891,,98.2857,,103.514
14,0.02049,,98.7143,,103.686
15,0.02207,,99.1429,,103.857
16,0.02365,,99.5714,,104.029
17,0.02523,,100,,104.2
18,0.0269433,,100.333,,104.267
19,0.0286567,,100.667,,104.333
20,0.03037,,101,,104.4
21,0.031816,,100.9,,104.34
22,0.033262,,100.8,,104.28
23,0.034708,,100.7,,104.22
24,0.036154,,100.6,,104.16
25,0.0376,,100.5,,104.1
26,0.039046,,100.4,,104.04
27,0.040492,,100.3,,103.98
28,0.041938,,100.2,,103.92
29,0.043384,,100.1,,103.86
30,0.04483,,100,,103.8
31,0.0456567,,100.333,,103.911
32,0.0464833,,100.667,,104.022
33,0.04731,,101,,104.133
34,0.0481367,,101.333,,104.244
35,0.0489633,,101.667,,104.356
36,0.04979,,102,,104.467
37,0.0506167,,102.333,,104.578
38,0.0514433,,102.667,,104.689
39,0.05227,,103,,104.8
40,0.05355,,104,,105
41,0.054971,,103.7,,105.12
42,0.056392,,103.4,,105.24
43,0.057813,,103.1,,105.36
44,0.059234,,102.8,,105.48
45,0.060655,,102.5,,105.6
46,0.062076,,102.2,,105.72
47,0.063497,,101.9,,105.84
48,0.064918,,101.6,,105.96
49,0.066339,,101.3,,106.08
50,0.06776,,101,,106.2
51,0.069649,,100.9,,106.3
52,0.071538,,100.8,,106.4
53,0.073427,,100.7,,106.5
54,0.075316,,100.6,,106.6
55,0.077205,,100.5,,106.7
56,0.079094,,100.4,,106.8
57,0.080983,,100.3,,106.9
58,0.082872,,100.2,,107
59,0.084761,,100.1,,107.1
60,0.08665,,100,,107.2
61,0.0888925,,100.375,,107.025
62,0.091135,,100.75,,106.85
63,0.0933775,,101.125,,106.675
64,0.09562,,101.5,,106.5
65,0.0978625,,101.875,,106.325
66,0.100105,,102.25,,106.15
67,0.102348,,102.625,,105.975
68,0.10459,,103,,105.8
69,0.10625,,103.5,,105.7
70,0.10791,,104,,105.6
71,0.109856,,103.9,,105.58
72,0.111802,,103.8,,105.56
73,0.113748,,103.7,,105.54
74,0.115694,,103.6,,105.52
75,0.11764,,103.5,,105.5
76,0.119586,,103.4,,105.48
77,0.121532,,103.3,,105.46
78,0.123478,,103.2,,105.44
79,0.125424,,103.1,,105.42
80,0.12737,,103,,105.4
81,0.129216,,103,,105.32
82,0.131062,,103,,105.24
83,0.132908,,103,,105.16
84,0.134754,,103,,105.08
85,0.1366,,103,,105
86,0.138446,,103,,104.92
87,0.140292,,103,,104.84
88,0.142138,,103,,104.76
89,0.143984,,103,,104.68
90,0.14583,,103,,104.6
91,0.147758,,103.1,,104.56
92,0.149686,,103.2,,104.52
