secs,km,power,hr,cad,alt
0,0,,72,,178
1,0.0016,,73,,178.2
2,0.0036,,74,,178
3,0.0061,,74,,178
4,0.0089,,77,,177.8
5,0.012,,79,,177.4
6,0.015,,83,,177.2
7,0.018,,84,,177.4
8,0.0209,,86,,177.4
9,0.024,,86,,177.4
10,0.0272,,88,,177.2
11,0.0305,,89,,177.2
12,0.0337,,91,,177.2
13,0.0371,,92,,177.2
14,0.0405,,93,,177.2
15,0.0435,,93,,177.2
16,0.0461,,93,,177.2
17,0.0489,,95,,177.2
18,0.0517,,97,,177.2
19,0.0546,,99,,177.2
20,0.0572,,99,,177.2
21,0.0598,,99,,177.2
22,0.0625,,100,,177.2
23,0.0653,,100,,177.2
24,0.0681,,101,,177.2
25,0.0709,,102,,177
26,0.0736,,102,,176.8
27,0.0761,,102,,176.6
28,0.0785,,102,,176.2
29,0.0809,,102,,176
30,0.0836,,102,,175.4
31,0.0864,,102,,175
32,0.0893,,103,,174.6
33,0.092,,103,,174.2
34,0.0947,,103,,173.8
35,0.0974,,104,,173.6
36,0.1003,,104,,173.4
37,0.1032,,105,,173.4
38,0.1059,,105,,173.2
39,0.1088,,106,,173
40,0.1113,,107,,172.6
41,0.1139,,107,,172.2
42,0.1165,,108,,171.8
43,0.1192,,109,,171.4
44,0.1221,,109,,171.2
45,0.125,,110,,170.8
46,0.1277,,111,,170.6
47,0.1302,,111,,170.2
48,0.133,,112,,170
49,0.1357,,112,,169.4
50,0.1384,,113,,169
51,0.1412,,113,,168.8
52,0.1439,,114,,168.6
53,0.1466,,115,,168.2
54,0.1493,,115,,167.8
55,0.1518,,115,,167.6
56,0.1541,,115,,167.4
57,0.1568,,116,,167.2
58,0.1596,,116,,167
59,0.1624,,116,,167
60,0.1652,,116,,166.6
61,0.168,,116,,166.6
62,0.1709,,116,,166.2
63,0.1738,,116,,165.8
64,0.1767,,117,,165.2
65,0.1797,,117,,164.8
66,0.1828,,118,,164.4
67,0.1858,,118,,164.2
68,0.1889,,118,,164
69,0.1919,,118,,163.6
70,0.1948,,118,,163
71,0.1977,,118,,162.6
72,0.2004,,119,,162.2
73,0.2031,,119,,162
74,0.2059,,119,,161.8
75,0.2088,,119,,161.8
76,0.2118,,119,,161.6
77,0.2147,,119,,161.6
78,0.2176,,120,,161.4
79,0.2205,,120,,161.4
80,0.2232,,120,,161
81,0.2259,,120,,160.4
82,0.2286,,120,,160
83,0.2314,,120,,159.6
84,0.2342,,120,,159.2
85,0.2372,,121,,158.8
86,0.2402,,121,,158.4
87,0.2431,,121,,158
88,0.2461,,121,,157.6
89,0.2492,,121,,157.4
90,0.2521,,121,,157.2
91,0.255,,121,,157.2
92,0.258,,121,,157
93,0.261,,121,,156.8
94,0.2637,,122,,156.6
95,0.2664,,122,,156.6
96,0.2691,,122,,156.4
97,0.2719,,122,,156
98,0.2746,,122,,155.6
99,0.2773,,122,,155.6
100,0.2799,,119,,155.4
101,0.2826,,121,,155.4
102,0.2853,,122,,155
103,0.2879,,122,,154.8
104,0.291,,122,,154.4
105,0.2938,,122,,154.2
106,0.2965,,122,,154
107,0.2992,,122,,153.8
108,0.3019,,122,,153.6
109,0.3044,,122,,153.6
110,0.307,,122,,153.4
111,0.3092,,122,,153.2
112,0.3114,,122,,152.8
113,0.3134,,123,,152.4
114,0.3153,,122,,152
115,0.3177,,122,,151.6
116,0.3204,,122,,151.4
117,0.3225,,122,,151.2
118,0.3244,,122,,151.2
119,0.3265,,123,,151.2
120,0.329,,123,,151.2
121,0.3318,,123,,151
122,0.3348,,123,,151
123,0.3377,,123,,150.8
124,0.3405,,124,,150.6
125,0.3434,,124,,150.2
126,0.3463,,124,,149.8
127,0.3491,,124,,149.8
128,0.352,,124,,149.6
129,0.3549,,124,,149.2
130,0.3578,,124,,148.8
131,0.3609,,124,,148.2
132,0.3638,,124,,148
133,0.3667,,124,,147.6
134,0.3694,,124,,147.4
135,0.3721,,124,,146.8
136,0.3751,,124,,146.4
137,0.3779,,124,,145.8
138,0.3806,,124,,145.4
139,0.3835,,124,,145.2
140,0.3863,,124,,144.8
141,0.3892,,124,,144.4
142,0.392,,124,,144.2
143,0.3949,,124,,143.8
144,0.3977,,124,,143.6
145,0.4005,,124,,143.6
146,0.4033,,124,,143.4
147,0.4062,,124,,143.2
148,0.409,,125,,143
149,0.4117,,124,,143
150,0.4144,,124,,143
151,0.4172,,124,,143
152,0.4198,,124,,142.8
153,0.4225,,124,,142.4
154,0.4254,,124,,142
155,0.4284,,124,,141.6
156,0.4315,,125,,141.4
157,0.4343,,124,,141
158,0.4371,,125,,140.8
159,0.44,,125,,140.8
160,0.4429,,125,,140.8
161,0.446,,124,,140.6
162,0.4491,,123,,140.6
163,0.4521,,123,,140.6
164,0.455,,123,,140.4
165,0.458,,123,,140.2
166,0.4609,,123,,139.8
167,0.4638,,124,,139.6
168,0.4666,,125,,139.4
169,0.4695,,124,,139.4
170,0.4721,,125,,139.4
171,0.4747,,125,,139.2
172,0.4775,,125,,139
173,0.4802,,125,,138.8
174,0.483,,125,,138.4
175,0.486,,126,,138
176,0.4888,,126,,137.6
177,0.4917,,126,,137.4
178,0.4945,,126,,137.2
179,0.4974,,126,,137.2
180,0.5001,,127,,137
181,0.503,,127,,137
