secs,km,power,hr,cad,alt
0,0,,112,,18.8
1,0.00147,,111,,19.4
2,0.00697,,111,,19.2
3,0.008993,,111.1,,20.16
4,0.011016,,111.2,,21.12
5,0.013039,,111.3,,22.08
6,0.015062,,111.4,,23.04
7,0.017085,,111.5,,24
8,0.019108,,111.6,,24.96
9,0.021131,,111.7,,25.92
10,0.023154,,111.8,,26.88
11,0.025177,,111.9,,27.84
12,0.0272,,112,,28.8
13,0.0284855,,111.909,,29.0727
14,0.0297709,,111.818,,29.3455
15,0.0310564,,111.727,,29.6182
16,0.0323418,,111.636,,29.8909
17,0.0336273,,111.545,,30.1636
18,0.0349127,,111.455,,30.4364
19,0.0361982,,111.364,,30.7091
20,0.0374836,,111.273,,30.9818
21,0.0387691,,111.182,,31.2545
22,0.0400545,,111.091,,31.5273
23,0.04134,,111,,31.8
24,0.0429277,,111,,32
25,0.0445154,,111,,32.2
26,0.0461031,,111,,32.4
27,0.0476908,,111,,32.6
28,0.0492785,,111,,32.8
29,0.0508662,,111,,33
30,0.0524538,,111,,33.2
31,0.0540415,,111,,33.4
32,0.0556292,,111,,33.6
33,0.0572169,,111,,33.8
34,0.0588046,,111,,34
35,0.0603923,,111,,34.2
36,0.06198,,111,,34.4
37,0.0635515,,110.769,,34.8462
38,0.0651231,,110.538,,35.2923
39,0.0666946,,110.308,,35.7385
40,0.0682662,,110.077,,36.1846
41,0.0698377,,109.846,,36.6308
42,0.0714092,,109.615,,37.0769
43,0.0729808,,109.385,,37.5231
44,0.0745523,,109.154,,37.9692
45,0.0761238,,108.923,,38.4154
46,0.0776954,,108.692,,38.8615
47,0.0792669,,108.462,,39.3077
48,0.0808385,,108.231,,39.7538
49,0.08241,,108,,40.2
50,0.0836645,,107.818,,40.5455
51,0.0849191,,107.636,,40.8909
52,0.0861736,,107.455,,41.2364
53,0.0874282,,107.273,,41.5818
54,0.0886827,,107.091,,41.9273
55,0.0899373,,106.909,,42.2727
56,0.0911918,,106.727,,42.6182
57,0.0924464,,106.545,,42.9636
58,0.0937009,,106.364,,43.3091
59,0.0949555,,106.182,,43.6545
60,0.09621,,106,,44
61,0.09653,,106,,43.6667
62,0.09685,,106,,43.3333
63,0.09717,,106,,43
64,0.0981667,,105.667,,42.8
65,0.0991633,,105.333,,42.6
66,0.10016,,105,,42.4
67,0.101606,,104.933,,42.4667
68,0.103052,,104.867,,42.5333
69,0.104498,,104.8,,42.6
70,0.105944,,104.733,,42.6667
71,0.10739,,104.667,,42.7333
72,0.108836,,104.6,,42.8
73,0.110282,,104.533,,42.8667
74,0.111728,,104.467,,42.9333
75,0.113174,,104.4,,43
76,0.11462,,104.333,,43.0667
77,0.116066,,104.267,,43.1333
78,0.117512,,104.2,,43.2
79,0.118958,,104.133,,43.2667
80,0.120404,,104.067,,43.3333
81,0.12185,,104,,43.4
82,0.123293,,104.167,,43.5
83,0.124737,,104.333,,43.6
84,0.12618,,104.5,,43.7
85,0.127623,,104.667,,43.8
86,0.129067,,104.833,,43.9
87,0.13051,,105,,44
88,0.131612,,105,,44.075
89,0.132715,,105,,44.15
90,0.133818,,105,,44.225
91,0.13492,,105,,44.3
92,0.136022,,105,,44.375
93,0.137125,,105,,44.45
94,0.138228,,105,,44.525
95,0.13933,,105,,44.6
96,0.140795,,105.25,,44.75
97,0.14226,,105.5,,44.9
98,0.143725,,105.75,,45.05
99,0.14519,,106,,45.2
100,0.146492,,106,,45.3
101,0.147794,,106,,45.4
102,0.149096,,106,,45.5
103,0.150398,,106,,45.6
104,0.1517,,106,,45.7
105,0.153002,,106,,45.8
106,0.154304,,106,,45.9
107,0.155606,,106,,46
108,0.156908,,106,,46.1
109,0.15821,,106,,46.2
110,0.15949,,106,,46.3
111,0.16077,,106,,46.4
112,0.162379,,106,,46.5692
113,0.163988,,106,,46.7385
114,0.165598,,106,,46.9077
115,0.167207,,106,,47.0769
116,0.168816,,106,,47.2462
117,0.170425,,106,,47.4154
118,0.172035,,106,,47.5846
119,0.173644,,106,,47.7538
120,0.175253,,106,,47.9231
121,0.176862,,106,,48.0923
122,0.178472,,106,,48.2615
123,0.180081,,106,,48.4308
124,0.18169,,106,,48.6
125,0.18345,,106.5,,48.7667
126,0.18521,,107,,48.9333
127,0.18697,,107.5,,49.1
128,0.18873,,108,,49.2667
129,0.19049,,108.5,,49.4333
130,0.19225,,109,,49.6
131,0.193948,,109,,49.75
132,0.195647,,109,,49.9
133,0.197345,,109,,50.05
134,0.199043,,109,,50.2
135,0.200742,,109,,50.35
136,0.20244,,109,,50.5
137,0.204138,,109,,50.65
138,0.205837,,109,,50.8
139,0.207535,,109,,50.95
140,0.209233,,109,,51.1
141,0.210932,,109,,51.25
142,0.21263,,109,,51.4
143,0.214157,,108.929,,51.4571
144,0.215684,,108.857,,51.5143
145,0.217211,,108.786,,51.5714
146,0.218739,,108.714,,51.6286
147,0.220266,,108.643,,51.6857
148,0.221793,,108.571,,51.7429
149,0.22332,,108.5,,51.8
150,0.224847,,108.429,,51.8571
151,0.226374,,108.357,,51.9143
152,0.227901,,108.286,,51.9714
153,0.229429,,108.214,,52.0286
154,0.230956,,108.143,,52.0857
155,0.232483,,108.071,,52.1429
156,0.23401,,108,,52.2
157,0.23529,,108,,52.3
158,0.23657,,108,,52.4
159,0.23759,,108.25,,52.35
160,0.23861,,108.5,,52.3
161,0.23963,,108.75,,52.25
162,0.24065,,109,,52.2
163,0.2417,,108.667,,52.2667
164,0.24275,,108.333,,52.3333
165,0.2438,,108,,52.4
166,0.24485,,107.667,,52.4667
167,0.2459,,107.333,,52.5333
168,0.24695,,107,,52.6
169,0.247684,,106.8,,52.72
170,0.248418,,106.6,,52.84
171,0.249152,,106.4,,52.96
172,0.249886,,106.2,,53.08
173,0.25062,,106,,53.2
174,0.251495,,105.5,,53.3
175,0.25237,,105,,53.4
176,0.252785,,105,,53.4
177,0.2532,,105,,53.4
178,0.253755,,105,,53.6
179,0.25431,,105,,53.8
180,0.254655,,105,,54
181,0.255,,105,,54.2
182,0.25534,,105.286,,54.2857
183,0.25568,,105.571,,54.3714
184,0.25602,,105.857,,54.4571
185,0.25636,,106.143,,54.5429
186,0.2567,,106.429,,54.6286
187,0.25704,,106.714,,54.7143
188,0.25738,,107,,54.8
189,0.25799,,107.75,,54.75
190,0.2586,,108.5,,54.7
191,0.25921,,109.25,,54.65
192,0.25982,,110,,54.6
193,0.26033,,110.25,,54.6
194,0.26084,,110.5,,54.6
195,0.26135,,110.75,,54.6
196,0.26186,,111,,54.6
197,0.262613,,110.667,,54.5333
198,0.263367,,110.333,,54.4667
199,0.26412,,110,,54.4
200,0.26452,,110.5,,54.4
201,0.26492,,111,,54.4
202,0.265271,,111.714,,54.2571
