secs,km,power,hr,cad,alt
0,0,,91,,448.8
1,0.00158,,91,,449.4
2,0.003495,,91,,449.6
3,0.00541,,91,,449.8
4,0.00789,,91,,450
5,0.01867,,91.3333,,450.133
6,0.02945,,91.6667,,450.267
7,0.04023,,92,,450.4
8,0.04303,,92.3333,,450.533
9,0.04583,,92.6667,,450.667
10,0.04863,,93,,450.8
11,0.0515933,,93,,450.867
12,0.0545567,,93,,450.933
13,0.05752,,93,,451
14,0.0604833,,93,,451.067
15,0.0634467,,93,,451.133
16,0.06641,,93,,451.2
17,0.069088,,93.2,,451.2
18,0.071766,,93.4,,451.2
19,0.074444,,93.6,,451.2
20,0.077122,,93.8,,451.2
21,0.0798,,94,,451.2
22,0.08213,,94.3333,,451.3
23,0.08446,,94.6667,,451.4
24,0.08679,,95,,451.5
25,0.08912,,95.3333,,451.6
26,0.09145,,95.6667,,451.7
27,0.09378,,96,,451.8
28,0.0958983,,96.3333,,451.8
29,0.0980167,,96.6667,,451.8
30,0.100135,,97,,451.8
31,0.102253,,97.3333,,451.8
32,0.104372,,97.6667,,451.8
33,0.10649,,98,,451.8
34,0.10911,,98.6,,451.92
35,0.11173,,99.2,,452.04
36,0.11435,,99.8,,452.16
37,0.11697,,100.4,,452.28
38,0.11959,,101,,452.4
39,0.121872,,101.8,,452.52
40,0.124154,,102.6,,452.64
41,0.126436,,103.4,,452.76
42,0.128718,,104.2,,452.88
43,0.131,,105,,453
44,0.133315,,107,,453.1
45,0.13563,,109,,453.2
46,0.13819,,110.5,,453.4
47,0.14075,,112,,453.6
48,0.143092,,112.5,,453.633
49,0.145433,,113,,453.667
50,0.147775,,113.5,,453.7
51,0.150117,,114,,453.733
52,0.152458,,114.5,,453.767
53,0.1548,,115,,453.8
54,0.157313,,115.667,,453.833
55,0.159827,,116.333,,453.867
56,0.16234,,117,,453.9
57,0.164853,,117.667,,453.933
58,0.167367,,118.333,,453.967
59,0.16988,,119,,454
60,0.17285,,122,,455
61,0.17638,,122,,455.6
62,0.178756,,122.4,,455.28
63,0.181132,,122.8,,454.96
64,0.183508,,123.2,,454.64
65,0.185884,,123.6,,454.32
66,0.18826,,124,,454
67,0.190963,,126,,453.667
68,0.193667,,128,,453.333
69,0.19637,,130,,453
70,0.199,,130,,453
71,0.20218,,134,,453.2
72,0.204905,,134.75,,453.15
73,0.20763,,135.5,,453.1
74,0.210355,,136.25,,453.05
75,0.21308,,137,,453
76,0.21553,,141,,453
77,0.21814,,141,,452.8
78,0.221212,,140.25,,452.85
79,0.224285,,139.5,,452.9
80,0.227357,,138.75,,452.95
81,0.23043,,138,,453
82,0.233155,,136.5,,452.9
83,0.23588,,135,,452.8
84,0.23907,,132,,452.6
85,0.24227,,132,,452.4
86,0.24512,,131,,452.4
87,0.24797,,130,,452.4
88,0.25082,,129,,452.4
89,0.253555,,128.667,,452.333
90,0.25629,,128.333,,452.267
91,0.259025,,128,,452.2
92,0.26176,,127.667,,452.133
93,0.264495,,127.333,,452.067
94,0.26723,,127,,452
95,0.26999,,127,,451.867
96,0.27275,,127,,451.733
97,0.27551,,127,,451.6
98,0.278388,,127.167,,451.567
99,0.281267,,127.333,,451.533
100,0.284145,,127.5,,451.5
101,0.287023,,127.667,,451.467
102,0.289902,,127.833,,451.433
103,0.29278,,128,,451.4
104,0.295805,,128.75,,451.4
105,0.29883,,129.5,,451.4
106,0.301855,,130.25,,451.4
107,0.30488,,131,,451.4
108,0.307603,,131,,451.3
109,0.310327,,131,,451.2
110,0.31305,,131,,451.1
111,0.315773,,131,,451
112,0.318497,,131,,450.9
113,0.32122,,131,,450.8
114,0.323875,,129.75,,450.75
115,0.32653,,128.5,,450.7
116,0.329185,,127.25,,450.65
117,0.33184,,126,,450.6
118,0.33482,,125,,450.5
119,0.3378,,124,,450.4
120,0.340353,,124,,450.233
121,0.342907,,124,,450.067
122,0.34546,,124,,449.9
123,0.348013,,124,,449.733
124,0.350567,,124,,449.567
125,0.35312,,124,,449.4
126,0.355978,,124.5,,449.3
127,0.358835,,125,,449.2
128,0.361692,,125.5,,449.1
129,0.36455,,126,,449
130,0.367365,,126,,449.067
131,0.37018,,126,,449.133
132,0.372995,,126,,449.2
133,0.37581,,126,,449.267
134,0.378625,,126,,449.333
135,0.38144,,126,,449.4
136,0.384262,,125.833,,449.3
137,0.387083,,125.667,,449.2
138,0.389905,,125.5,,449.1
139,0.392727,,125.333,,449
140,0.395548,,125.167,,448.9
141,0.39837,,125,,448.8
142,0.401265,,125.25,,448.6
143,0.40416,,125.5,,448.4
144,0.407055,,125.75,,448.2
145,0.40995,,126,,448
146,0.41295,,130,,447.8
147,0.41559,,130,,447.6
148,0.418604,,130,,447.44
149,0.421618,,130,,447.28
150,0.424632,,130,,447.12
151,0.427646,,130,,446.96
152,0.43066,,130,,446.8
153,0.433538,,129,,446.6
154,0.436416,,128,,446.4
155,0.439294,,127,,446.2
156,0.442172,,126,,446
157,0.44505,,125,,445.8
158,0.44823,,122,,445.4
159,0.451087,,122.75,,445.25
160,0.453945,,123.5,,445.1
161,0.456803,,124.25,,444.95
