secs,km,power,hr,cad,alt
0,0,,76,,42.2
1,0.00037,,76,,42.2
2,0.00186333,,76.3333,,42.1333
3,0.00335667,,76.6667,,42.0667
4,0.00485,,77,,42
5,0.00789667,,79.3333,,41.8667
6,0.0109433,,81.6667,,41.7333
7,0.01399,,84,,41.6
8,0.01731,,87,,41.4
9,0.02058,,91,,41.2
10,0.02402,,94,,41
11,0.02733,,100,,40.8
12,0.03125,,104,,40.6
13,0.03522,,108,,40.4
14,0.03886,,111,,40.2
15,0.04202,,111,,40
16,0.0448625,,112.25,,39.8
17,0.047705,,113.5,,39.6
18,0.0505475,,114.75,,39.4
19,0.05339,,116,,39.2
20,0.05568,,116,,39
21,0.05792,,119,,39
22,0.0597333,,120,,38.8667
23,0.0615467,,121,,38.7333
24,0.06336,,122,,38.6
25,0.06484,,124.5,,38.5
26,0.06632,,127,,38.4
27,0.06786,,133,,38.4
28,0.07004,,137,,38.2
29,0.07255,,141,,38
30,0.07514,,140,,37.8
31,0.078875,,138,,37.4
32,0.08261,,136,,37
33,0.08641,,131,,36.8
34,0.08898,,126,,36.4
35,0.0927,,122,,36
36,0.09564,,122,,35.8
37,0.09906,,126,,36
38,0.10233,,129,,36.2
39,0.10546,,132,,36.4
40,0.108855,,134,,36.6
41,0.11225,,136,,36.8
42,0.115367,,134,,36.7333
43,0.118483,,132,,36.6667
44,0.1216,,130,,36.6
45,0.12459,,127,,36.2
46,0.12605,,124,,36
47,0.12869,,123,,35.6
48,0.132082,,123,,35.2667
49,0.135473,,123,,34.9333
50,0.138865,,123,,34.6
51,0.142257,,123,,34.2667
52,0.145648,,123,,33.9333
53,0.14904,,123,,33.6
54,0.15222,,120,,33.6
55,0.15557,,123,,33.8
56,0.15863,,126,,33.8
57,0.16192,,129,,33.8
58,0.164971,,129.286,,33.8
59,0.168023,,129.571,,33.8
60,0.171074,,129.857,,33.8
61,0.174126,,130.143,,33.8
62,0.177177,,130.429,,33.8
63,0.180229,,130.714,,33.8
64,0.18328,,131,,33.8
65,0.186862,,131.167,,33.7667
66,0.190443,,131.333,,33.7333
67,0.194025,,131.5,,33.7
68,0.197607,,131.667,,33.6667
69,0.201188,,131.833,,33.6333
70,0.20477,,132,,33.6
71,0.20848,,132.75,,33.55
72,0.21219,,133.5,,33.5
73,0.2159,,134.25,,33.45
74,0.21961,,135,,33.4
75,0.22239,,133.667,,33.4
76,0.22517,,132.333,,33.4
77,0.22795,,131,,33.4
78,0.230532,,131.375,,33.4
79,0.233115,,131.75,,33.4
80,0.235697,,132.125,,33.4
81,0.23828,,132.5,,33.4
82,0.240862,,132.875,,33.4
83,0.243445,,133.25,,33.4
84,0.246028,,133.625,,33.4
85,0.24861,,134,,33.4
86,0.25163,,133.5,,33.4667
87,0.25465,,133,,33.5333
88,0.25767,,132.5,,33.6
89,0.26069,,132,,33.6667
90,0.26371,,131.5,,33.7333
91,0.26673,,131,,33.8
92,0.270235,,134,,34
93,0.27374,,137,,34.2
94,0.27698,,137,,34.4
95,0.279995,,135.5,,34.6
96,0.28301,,134,,34.8
97,0.285937,,134,,35
98,0.288864,,134,,35.2
99,0.291791,,134,,35.4
100,0.294719,,134,,35.6
101,0.297646,,134,,35.8
102,0.300573,,134,,36
103,0.3035,,134,,36.2
104,0.306497,,133.857,,36.3429
105,0.309494,,133.714,,36.4857
106,0.312491,,133.571,,36.6286
107,0.315489,,133.429,,36.7714
108,0.318486,,133.286,,36.9143
109,0.321483,,133.143,,37.0571
110,0.32448,,133,,37.2
111,0.327266,,133.25,,37.325
112,0.330053,,133.5,,37.45
113,0.332839,,133.75,,37.575
114,0.335625,,134,,37.7
115,0.338411,,134.25,,37.825
116,0.341197,,134.5,,37.95
117,0.343984,,134.75,,38.075
118,0.34677,,135,,38.2
119,0.349693,,135,,38.3714
120,0.352616,,135,,38.5429
121,0.355539,,135,,38.7143
122,0.358461,,135,,38.8857
123,0.361384,,135,,39.0571
124,0.364307,,135,,39.2286
125,0.36723,,135,,39.4
126,0.36997,,132.5,,39.5
127,0.37271,,130,,39.6
128,0.37472,,130,,39.6
129,0.377227,,130,,39.5556
130,0.379733,,130,,39.5111
131,0.38224,,130,,39.4667
132,0.384747,,130,,39.4222
133,0.387253,,130,,39.3778
134,0.38976,,130,,39.3333
135,0.392267,,130,,39.2889
136,0.394773,,130,,39.2444
137,0.39728,,130,,39.2
138,0.401808,,129.25,,38.95
139,0.406335,,128.5,,38.7
140,0.410863,,127.75,,38.45
141,0.41539,,127,,38.2
142,0.418507,,127.429,,38.1143
143,0.421624,,127.857,,38.0286
144,0.424741,,128.286,,37.9429
145,0.427859,,128.714,,37.8571
146,0.430976,,129.143,,37.7714
147,0.434093,,129.571,,37.6857
148,0.43721,,130,,37.6
149,0.439373,,129,,37.6
150,0.441537,,128,,37.6
151,0.4437,,127,,37.6
152,0.446068,,126.4,,37.52
