secs,km,power,hr,cad,alt
0,0,,81,,80.2
1,0.00226,,81,,79.6
2,0.00453,,80,,78.4
3,0.00743,,80,,77
4,0.00979,,80,,76
5,0.0131,,81,,74.6
6,0.01636,,82,,72.8
7,0.01985,,85,,72.4
8,0.02351,,88,,72
9,0.02646,,89,,71.6
10,0.03041,,92,,71.2
11,0.03403,,95,,70.8
12,0.03795,,96,,69
13,0.04095,,98,,67.6
14,0.04395,,101,,66.2
15,0.04659,,103,,64.8
16,0.04973,,105,,63.8
17,0.05304,,106,,62.4
18,0.05602,,107,,61.2
19,0.05912,,110,,60
20,0.06203,,112,,58.8
21,0.0649,,112,,57.8
22,0.06784,,113,,57
23,0.07041,,115,,55.6
24,0.07324,,115,,54.6
25,0.07627,,116,,53.2
26,0.07977,,117,,52
27,0.08315,,118,,50.4
28,0.08642,,119,,50
29,0.08958,,120,,48.6
30,0.09246,,121,,48.2
31,0.09553,,121,,47.2
32,0.09822,,122,,45.6
33,0.10134,,123,,44.4
34,0.10335,,124,,40.6
35,0.10605,,125,,38.4
36,0.10847,,125,,36
37,0.11087,,126,,34.4
38,0.11363,,127,,33.2
39,0.11626,,128,,32
40,0.11911,,129,,31
41,0.12213,,130,,30.4
42,0.12499,,130,,29.8
43,0.12803,,131,,29.2
44,0.13104,,132,,28.8
45,0.13435,,132,,28
46,0.13736,,132,,27.8
47,0.14075,,133,,27
48,0.14377,,133,,26.4
49,0.14699,,133,,26.2
50,0.15023,,133,,25.8
51,0.1535,,133,,25.4
52,0.15662,,133,,24.6
53,0.15959,,133,,24.2
54,0.16272,,134,,24
55,0.1657,,134,,23.8
56,0.16872,,134,,24
57,0.17207,,134,,24
58,0.17495,,135,,24.2
59,0.17825,,135,,23.8
60,0.1811,,135,,23.6
61,0.18404,,135,,23.6
62,0.18721,,136,,23
63,0.18994,,136,,22.6
64,0.19278,,136,,22
65,0.19583,,136,,21.8
66,0.19876,,137,,21.6
67,0.20151,,137,,21.2
68,0.20442,,137,,21
69,0.20755,,138,,20.8
70,0.21061,,138,,20.6
71,0.21381,,138,,20.2
