secs,km,power,hr,cad,alt
0,0,,134,,0
1,0.00121955,,111.667,,0
2,0.0024391,,89.3333,,0
3,0.00365865,,67,,0
4,0.00487819,,44.6667,,0
5,0.00609774,,22.3333,,0
6,0.00731729,,0,,0
7,0.00971574,,0,,0
8,0.0121142,,0,,0
9,0.0145126,,0,,0
10,0.0158907,,0,,0
11,0.0172688,,0,,0
12,0.0186469,,0,,0
13,0.020025,,0,,0
14,0.0214031,,0,,0
15,0.0243823,,0,,0
16,0.0273614,,0,,0
17,0.0297192,,0,,0
18,0.032077,,0,,0
19,0.0344348,,0,,0
20,0.037059,,0,,0
21,0.0396832,,0,,0
22,0.041374,,0,,0
23,0.0430648,,0,,0
24,0.0447556,,0,,0
25,0.0480117,,0,,0
26,0.0512678,,0,,0
27,0.0548847,,0,,14.2689
28,0.0585016,,0,,28.5377
29,0.0621184,,0,,42.8066
71,0.180206,,0,,42.8066
72,0.187648,,0,,42.8066
73,0.189622,,0,,42.8066
74,0.191596,,0,,42.8066
75,0.19357,,0,,42.8066
76,0.196386,,0,,42.8066
77,0.199203,,0,,42.8066
78,0.201611,,0,,42.8066
79,0.20402,,0,,42.8066
80,0.206429,,0,,42.8066
81,0.20973,,0,,42.8066
82,0.213031,,0,,42.8066
83,0.214875,,0,,42.8066
84,0.216719,,0,,42.8066
85,0.218563,,0,,42.8066
86,0.221679,,0,,42.8066
87,0.224795,,0,,42.8066
88,0.227385,,0,,42.8066
89,0.229975,,0,,42.8066
90,0.232565,,0,,42.8066
91,0.237906,,0,,42.8066
92,0.243247,,0,,42.8066
93,0.246087,,0,,42.8066
94,0.248926,,0,,42.8066
95,0.251765,,0,,42.8066
96,0.253936,,0,,42.8066
97,0.256106,,0,,42.8066
98,0.258276,,0,,42.8066
99,0.261837,,0,,42.8066
100,0.265398,,0,,42.8066
101,0.268978,,0,,42.8066
102,0.272558,,0,,42.8066
103,0.2744,,0,,42.8066
104,0.276243,,0,,42.8066
105,0.278086,,0,,42.8066
106,0.279906,,0,,42.8066
107,0.281727,,0,,42.8066
108,0.283548,,0,,42.8066
109,0.287276,,0,,42.8066
110,0.291005,,0,,42.8066
111,0.294071,,0,,42.8066
112,0.297138,,0,,42.8066
113,0.300205,,0,,42.8066
114,0.304419,,0,,42.8066
115,0.308633,,0,,42.8066
116,0.31104,,0,,42.8066
117,0.313448,,0,,42.8066
118,0.315855,,0,,42.8066
119,0.31855,,0,,42.8066
120,0.321245,,0,,42.8066
121,0.32394,,0,,42.8066
122,0.326968,,0,,42.8066
123,0.329997,,0,,42.8066
124,0.333041,,0,,42.8066
125,0.336086,,0,,42.8066
126,0.338061,,0,,42.8066
127,0.340036,,0,,42.8066
128,0.34201,,0,,42.8066
129,0.343711,,0,,42.8066
130,0.345412,,0,,42.8066
131,0.347113,,0,,42.8066
132,0.350816,,0,,42.8066
133,0.354519,,0,,42.8066
134,0.357716,,0,,42.8066
135,0.360913,,0,,42.8066
136,0.362574,,0,,42.8066
137,0.364235,,0,,42.8066
138,0.365896,,0,,42.8066
139,0.367009,,0,,42.8066
140,0.368122,,0,,42.8066
141,0.369235,,0,,42.8066
142,0.371557,,0,,42.8066
143,0.373879,,0,,42.8066
144,0.376178,,0,,42.8066
145,0.378476,,0,,42.8066
146,0.380774,,0,,42.8066
147,0.385981,,0,,42.8066
148,0.391187,,0,,42.8066
149,0.394792,,0,,42.8066
150,0.398397,,0,,42.8066
151,0.402001,,0,,42.8066
152,0.405465,,0,,42.8066
153,0.408929,,0,,42.8066
154,0.411549,,0,,42.8066
155,0.414168,,0,,42.8066
156,0.416788,,0,,42.8066
157,0.420706,,0,,42.8066
158,0.424625,,0,,42.8066
159,0.427248,,0,,42.8066
160,0.429871,,0,,42.8066
161,0.432495,,0,,42.8066
162,0.435813,,0,,42.8066
163,0.439132,,0,,42.8066
164,0.441051,,0,,42.8066
165,0.442969,,0,,42.8066
166,0.444887,,0,,42.8066
167,0.446008,,0,,42.8066
168,0.447129,,0,,42.8066
169,0.44825,,0,,42.8066
170,0.450282,,0,,42.8066
171,0.452315,,0,,42.8066
172,0.453756,,0,,42.8066
173,0.455197,,0,,42.8066
174,0.456638,,0,,42.8066
175,0.459295,,0,,42.8066
176,0.461951,,0,,42.8066
177,0.464252,,0,,42.8066
178,0.466552,,0,,42.8066
179,0.468852,,0,,42.8066
180,0.472277,,0,,42.8066
181,0.475701,,0,,42.8066
182,0.47826,,0,,42.8066
183,0.48082,,0,,42.8066
184,0.483379,,0,,42.8066
185,0.487639,,0,,42.8066
186,0.491898,,0,,42.8066
187,0.494425,,0,,42.8066
188,0.496951,,0,,42.8066
189,0.499477,,0,,42.8066
190,0.502865,,0,,42.8066
191,0.506253,,0,,42.8066
192,0.508848,,0,,42.8066
193,0.511443,,0,,42.8066
194,0.514038,,0,,42.8066
195,0.518329,,0,,42.8066
196,0.52262,,0,,42.8066
197,0.524952,,0,,42.8066
198,0.527284,,0,,42.8066
199,0.529616,,0,,42.8066
200,0.531799,,0,,42.8066
201,0.533983,,0,,42.8066
202,0.536166,,0,,42.8066
203,0.539913,,0,,42.8066
204,0.54366,,0,,42.8066
205,0.546917,,0,,42.8066
206,0.550175,,0,,42.8066
207,0.553432,,0,,42.8066
208,0.558582,,0,,42.8066
209,0.563733,,0,,42.8066
210,0.566743,,0,,42.8066
211,0.569752,,0,,42.8066
212,0.572762,,0,,42.8066
213,0.57655,,0,,42.8066
214,0.580337,,0,,42.8066
215,0.582971,,0,,42.8066
216,0.585604,,0,,42.8066
217,0.588237,,0,,42.8066
218,0.591951,,0,,42.8066
219,0.595665,,0,,42.8066
220,0.598206,,0,,42.8066
221,0.600747,,0,,42.8066
222,0.603287,,0,,42.8066
223,0.606702,,0,,42.8066
224,0.610117,,0,,42.8066
225,0.612589,,0,,42.8066
226,0.615061,,0,,42.8066
227,0.617532,,0,,42.8066
228,0.620046,,0,,42.8066
229,0.62256,,0,,42.8066
230,0.625074,,0,,42.8066
231,0.629255,,0,,42.8066
232,0.633436,,0,,42.8066
233,0.635955,,0,,42.8066
234,0.638474,,0,,42.8066
235,0.640992,,0,,42.8066
236,0.643829,,0,,42.8066
237,0.646666,,0,,42.8066
238,0.649304,,0,,42.8066
239,0.651943,,0,,42.8066
240,0.654581,,0,,42.8066
241,0.657656,,0,,42.8066
242,0.660731,,0,,42.8066
243,0.663468,,0,,42.8066
244,0.666205,,0,,42.8066
245,0.668942,,0,,42.8066
246,0.673472,,0,,42.8066
247,0.678002,,0,,42.8066
248,0.680114,,0,,42.8066
249,0.682225,,0,,42.8066
250,0.684336,,0,,42.8066
251,0.686502,,0,,42.8066
252,0.688667,,0,,42.8066
253,0.69052,,0,,42.8066
254,0.692374,,0,,42.8066
255,0.694227,,0,,42.8066
256,0.696552,,0,,42.8066
257,0.698876,,0,,42.8066
258,0.7012,,0,,42.8066
259,0.70572,,0,,42.8066
260,0.71024,,0,,42.8066
261,0.713114,,0,,42.8066
262,0.715988,,0,,42.8066
263,0.718861,,0,,42.8066
264,0.72284,,0,,42.8066
265,0.726819,,0,,42.8066
266,0.729604,,0,,42.8066
267,0.732388,,0,,42.8066
268,0.735173,,0,,42.8066
269,0.740359,,0,,42.8066
270,0.745546,,0,,42.8066
271,0.749195,,0,,42.8066
272,0.752844,,0,,42.8066
273,0.756494,,0,,42.8066
274,0.76177,,0,,42.8066
275,0.767046,,0,,42.8066
276,0.769965,,0,,42.8066
277,0.772883,,0,,42.8066
278,0.775801,,0,,42.8066
279,0.780519,,0,,42.8066
280,0.785238,,0,,42.8066
281,0.787847,,0,,42.8066
282,0.790456,,0,,42.8066
283,0.793064,,0,,42.8066
284,0.796258,,0,,42.8066
285,0.799451,,0,,42.8066
286,0.801826,,0,,42.8066
287,0.804201,,0,,42.8066
288,0.806576,,0,,42.8066
289,0.808022,,0,,42.5051
290,0.809468,,0,,42.2037
291,0.810913,,0,,41.9022
292,0.812359,,0,,41.6008
293,0.813805,,0,,41.2993
294,0.816544,,0,,41.2985
295,0.819283,,0,,41.2977
296,0.822021,,0,,41.297
297,0.82476,,0,,41.2962
298,0.827499,,0,,41.2954
299,0.830238,,0,,41.2946
300,0.832977,,0,,41.2938
301,0.835715,,0,,41.293
302,0.838454,,0,,41.2923
303,0.841193,,0,,41.2915
304,0.843932,,0,,41.2907
305,0.846671,,0,,41.2899
306,0.849409,,0,,41.2891
307,0.852148,,0,,41.2884
308,0.854887,,0,,41.2876
309,0.857626,,0,,41.2868
338,0.961722,,0,,41.2745
380,1.06035,,0,,41.2745
381,1.06465,,0,,41.2745
382,1.06895,,0,,41.2745
383,1.07278,,0,,41.2745
384,1.07661,,0,,41.2745
385,1.07996,,0,,41.2745
386,1.0833,,0,,41.2745
387,1.08664,,0,,41.2745
388,1.08993,,0,,41.2745
389,1.09322,,0,,41.2745
390,1.0965,,0,,41.2745
391,1.10125,,0,,41.2745
392,1.10601,,0,,41.2745
393,1.10896,,0,,41.2745
394,1.11192,,0,,41.2745
395,1.11487,,0,,41.2745
396,1.11938,,0,,41.2745
397,1.12388,,0,,41.2745
398,1.12613,,0,,41.2745
399,1.12838,,0,,41.2745
400,1.13064,,0,,41.2745
401,1.1342,,0,,41.2745
402,1.13777,,0,,41.2745
403,1.14048,,0,,41.2745
404,1.1432,,0,,41.2745
405,1.14592,,0,,41.2745
406,1.14987,,0,,41.2745
407,1.15381,,0,,41.2745
408,1.15703,,0,,41.2745
409,1.16024,,0,,41.2745
410,1.16345,,0,,41.2745
411,1.16784,,0,,41.2745
412,1.17222,,0,,41.2745
413,1.17484,,0,,41.2745
414,1.17747,,0,,41.2745
415,1.18009,,0,,41.2745
416,1.18378,,67,,41.2745
417,1.18747,,134,,41.2745
418,1.18991,,134,,41.2745
419,1.19236,,134,,41.2745
420,1.1948,,134,,41.2745
421,1.19724,,134,,41.2745
422,1.19968,,134,,41.2745
423,1.20212,,134,,41.2745
424,1.20648,,134,,41.2745
425,1.21083,,134,,41.2745
426,1.21285,,134,,41.2745
427,1.21487,,134,,41.2745
428,1.21689,,134,,41.2745
429,1.22071,,134,,41.2745
430,1.22453,,134,,41.2745
431,1.2278,,134,,41.2745
432,1.23107,,134,,41.2745
433,1.23434,,134,,41.2745
434,1.23862,,134,,41.2745
435,1.24291,,134,,41.2745
436,1.24553,,133.667,,41.2745
437,1.24815,,133.333,,41.2745
438,1.25077,,133,,41.2745
439,1.25164,,133,,41.1686
440,1.2525,,133,,41.0627
441,1.25336,,133,,40.9569
442,1.25527,,133,,40.9526
443,1.25748,,133,,40.9466
444,1.25928,,133,,40.9392
445,1.26262,,133,,40.9361
446,1.26539,,133,,40.932
447,1.26786,,133,,40.9281
448,1.27055,,133,,40.9285
449,1.27358,,133,,40.928
450,1.27687,,132,,40.9274
451,1.28017,,132,,40.9282
452,1.28349,,132,,40.929
453,1.28683,,132,,40.9294
454,1.29028,,132,,40.9294
455,1.29407,,132,,40.9297
456,1.29687,,132,,40.9278
457,1.30022,,132,,40.926
458,1.3029,,132,,40.9202
459,1.30524,,132,,40.9157
460,1.3085,,132,,40.9118
461,1.3116,,133,,40.9086
462,1.31371,,133,,40.9054
463,1.31713,,133,,40.9031
464,1.32042,,133,,40.9007
465,1.32348,,133,,40.8993
466,1.32667,,133,,40.8945
467,1.3302,,133,,40.8871
468,1.33409,,133,,40.8788
469,1.33733,,133,,40.8688
470,1.34063,,133,,40.8588
471,1.3436,,133,,40.8475
472,1.34615,,133,,40.8357
473,1.34875,,133,,40.8256
474,1.35191,,133,,40.8188
475,1.35473,,133,,40.8122
476,1.35775,,133,,40.8087
477,1.36029,,133,,40.8073
478,1.36354,,133,,40.8068
479,1.3669,,133,,40.8073
480,1.37042,,133,,40.808
481,1.37337,,134,,40.8087
482,1.37576,,134,,40.8073
483,1.37855,,134,,40.805
484,1.38163,,134,,40.8019
485,1.38451,,134,,40.7975
486,1.3871,,133,,40.7934
487,1.38962,,133,,40.7897
488,1.39206,,133,,40.7906
489,1.39493,,133,,40.7939
490,1.39777,,133,,40.7983
