secs,km,power,hr,cad,alt
0,0,,74,,0.4
1,0.0018,,75,,0.4
2,0.00465,,75.8,,0.36
3,0.0075,,76.6,,0.32
4,0.01035,,77.4,,0.28
5,0.0132,,78.2,,0.24
6,0.01605,,79,,0.2
7,0.019476,,79.6,,0.16
8,0.022902,,80.2,,0.12
9,0.026328,,80.8,,0.08
10,0.029754,,81.4,,0.04
11,0.03318,,82,,0
12,0.03652,,83.3333,,-0.133333
13,0.03986,,84.6667,,-0.266667
14,0.0432,,86,,-0.4
15,0.0465667,,87.3333,,-0.4
16,0.0499333,,88.6667,,-0.4
17,0.0533,,90,,-0.4
18,0.0567383,,90.3333,,-0.4
19,0.0601767,,90.6667,,-0.4
20,0.063615,,91,,-0.4
21,0.0670533,,91.3333,,-0.4
22,0.0704917,,91.6667,,-0.4
23,0.07393,,92,,-0.4
24,0.077345,,93.25,,-0.3
25,0.08076,,94.5,,-0.2
26,0.084175,,95.75,,-0.1
27,0.08759,,97,,0
28,0.09042,,98,,0.1
29,0.09325,,99,,0.2
30,0.0965829,,99.1429,,0.257143
31,0.0999157,,99.2857,,0.314286
32,0.103249,,99.4286,,0.371429
33,0.106581,,99.5714,,0.428571
34,0.109914,,99.7143,,0.485714
35,0.113247,,99.8571,,0.542857
36,0.11658,,100,,0.6
37,0.12005,,101.5,,0.8
38,0.12352,,103,,1
39,0.127072,,103.8,,1.12
40,0.130624,,104.6,,1.24
41,0.134176,,105.4,,1.36
42,0.137728,,106.2,,1.48
43,0.14128,,107,,1.6
44,0.144977,,107.167,,1.76667
45,0.148673,,107.333,,1.93333
46,0.15237,,107.5,,2.1
47,0.156067,,107.667,,2.26667
48,0.159763,,107.833,,2.43333
49,0.16346,,108,,2.6
50,0.167142,,108.333,,2.6
51,0.170823,,108.667,,2.6
52,0.174505,,109,,2.6
53,0.178187,,109.333,,2.6
54,0.181868,,109.667,,2.6
55,0.18555,,110,,2.6
56,0.189007,,110.333,,2.56667
57,0.192463,,110.667,,2.53333
58,0.19592,,111,,2.5
59,0.199377,,111.333,,2.46667
60,0.202833,,111.667,,2.43333
61,0.20629,,112,,2.4
62,0.209712,,112,,2.6
63,0.213133,,112,,2.8
64,0.216555,,112,,3
65,0.219977,,112,,3.2
66,0.223398,,112,,3.4
67,0.22682,,112,,3.6
68,0.230435,,113.5,,3.8
69,0.23405,,115,,4
70,0.23771,,117,,4.2
71,0.24137,,119,,4.4
72,0.244635,,119.75,,4.65
73,0.2479,,120.5,,4.9
74,0.251165,,121.25,,5.15
75,0.25443,,122,,5.4
76,0.25783,,123.5,,5.5
77,0.26123,,125,,5.6
78,0.264468,,126,,5.85
79,0.267705,,127,,6.1
80,0.270942,,128,,6.35
81,0.27418,,129,,6.6
82,0.277723,,129.333,,7.03333
83,0.281267,,129.667,,7.46667
84,0.28481,,130,,7.9
85,0.288353,,130.333,,8.33333
86,0.291897,,130.667,,8.76667
87,0.29544,,131,,9.2
88,0.298827,,131,,9.76667
89,0.302213,,131,,10.3333
90,0.3056,,131,,10.9
91,0.308987,,131,,11.4667
92,0.312373,,131,,12.0333
93,0.31576,,131,,12.6
94,0.318685,,131.5,,12.8667
95,0.32161,,132,,13.1333
96,0.324535,,132.5,,13.4
97,0.32746,,133,,13.6667
98,0.330385,,133.5,,13.9333
99,0.33331,,134,,14.2
100,0.33615,,135,,14.3333
101,0.33899,,136,,14.4667
102,0.34183,,137,,14.6
103,0.34469,,138,,14.8
104,0.34755,,139,,15
105,0.35041,,140,,15.2
106,0.353557,,140.286,,15.4286
107,0.356704,,140.571,,15.6571
108,0.359851,,140.857,,15.8857
109,0.362999,,141.143,,16.1143
110,0.366146,,141.429,,16.3429
111,0.369293,,141.714,,16.5714
112,0.37244,,142,,16.8
113,0.375295,,143.5,,17
114,0.37815,,145,,17.2
115,0.38127,,147,,17.5
116,0.38439,,149,,17.8
117,0.387644,,149.429,,17.9429
118,0.390899,,149.857,,18.0857
119,0.394153,,150.286,,18.2286
120,0.397407,,150.714,,18.3714
121,0.400661,,151.143,,18.5143
122,0.403916,,151.571,,18.6571
123,0.40717,,152,,18.8
124,0.41019,,152.143,,18.9429
