secs,km,power,hr,cad,alt
0,0,,95,,50.6
1,0.00239,,98,,49.6
2,0.005625,,99.5,,49.3
3,0.00886,,101,,49
4,0.01254,,102.5,,49
5,0.01622,,104,,49
6,0.019565,,105.5,,49
7,0.02291,,107,,49
8,0.026245,,108.5,,48.5
9,0.02958,,110,,48
10,0.03314,,111,,47.6
11,0.0365867,,112,,47.5333
12,0.0400333,,113,,47.4667
13,0.04348,,114,,47.4
14,0.046665,,115,,47.2
15,0.04985,,116,,47
16,0.05328,,116,,46.6
17,0.056365,,116.75,,46.8
18,0.05945,,117.5,,47
19,0.062535,,118.25,,47.2
20,0.06562,,119,,47.4
21,0.0687683,,119.5,,47.3333
22,0.0719167,,120,,47.2667
23,0.075065,,120.5,,47.2
24,0.0782133,,121,,47.1333
25,0.0813617,,121.5,,47.0667
26,0.08451,,122,,47
27,0.0878633,,122.333,,46.8667
28,0.0912167,,122.667,,46.7333
29,0.09457,,123,,46.6
30,0.0979233,,123.333,,46.4667
31,0.101277,,123.667,,46.3333
32,0.10463,,124,,46.2
33,0.107872,,124.5,,46
34,0.111115,,125,,45.8
35,0.114358,,125.5,,45.6
36,0.1176,,126,,45.4
37,0.121022,,126.4,,45.2
38,0.124444,,126.8,,45
39,0.127866,,127.2,,44.8
40,0.131288,,127.6,,44.6
41,0.13471,,128,,44.4
42,0.138505,,128.333,,44.3
43,0.1423,,128.667,,44.2
44,0.146095,,129,,44.1
45,0.14989,,129.333,,44
46,0.153685,,129.667,,43.9
47,0.15748,,130,,43.8
48,0.1612,,130.2,,43.72
49,0.16492,,130.4,,43.64
50,0.16864,,130.6,,43.56
51,0.17236,,130.8,,43.48
52,0.17608,,131,,43.4
53,0.179702,,131,,43.2333
54,0.183323,,131,,43.0667
55,0.186945,,131,,42.9
56,0.190567,,131,,42.7333
57,0.194188,,131,,42.5667
58,0.19781,,131,,42.4
59,0.201197,,131,,42.3333
60,0.204583,,131,,42.2667
61,0.20797,,131,,42.2
62,0.211177,,131.333,,42.0333
63,0.214383,,131.667,,41.8667
64,0.21759,,132,,41.7
65,0.220797,,132.333,,41.5333
66,0.224003,,132.667,,41.3667
67,0.22721,,133,,41.2
68,0.22993,,133,,40.8
69,0.23297,,133,,40.7
70,0.23601,,133,,40.6
71,0.23905,,133,,40.5
72,0.24209,,133,,40.4
73,0.24513,,133,,40.3
74,0.24817,,133,,40.2
75,0.2512,,133,,40.0857
76,0.25423,,133,,39.9714
77,0.25726,,133,,39.8571
78,0.26029,,133,,39.7429
79,0.26332,,133,,39.6286
80,0.26635,,133,,39.5143
81,0.26938,,133,,39.4
82,0.27253,,133.333,,39.2667
83,0.27568,,133.667,,39.1333
84,0.27883,,134,,39
85,0.282123,,134.143,,38.9429
86,0.285416,,134.286,,38.8857
87,0.288709,,134.429,,38.8286
88,0.292001,,134.571,,38.7714
89,0.295294,,134.714,,38.7143
90,0.298587,,134.857,,38.6571
91,0.30188,,135,,38.6
92,0.305139,,135,,38.5143
93,0.308397,,135,,38.4286
94,0.311656,,135,,38.3429
95,0.314914,,135,,38.2571
96,0.318173,,135,,38.1714
97,0.321431,,135,,38.0857
98,0.32469,,135,,38
99,0.327816,,134.857,,37.9143
100,0.330941,,134.714,,37.8286
101,0.334067,,134.571,,37.7429
102,0.337193,,134.429,,37.6571
103,0.340319,,134.286,,37.5714
104,0.343444,,134.143,,37.4857
105,0.34657,,134,,37.4
106,0.349632,,133.8,,37.32
107,0.352694,,133.6,,37.24
108,0.355756,,133.4,,37.16
109,0.358818,,133.2,,37.08
110,0.36188,,133,,37
111,0.365027,,132.857,,36.9143
112,0.368174,,132.714,,36.8286
113,0.371321,,132.571,,36.7429
114,0.374469,,132.429,,36.6571
115,0.377616,,132.286,,36.5714
116,0.380763,,132.143,,36.4857
117,0.38391,,132,,36.4
118,0.38706,,132,,36.2667
119,0.39021,,132,,36.1333
120,0.39336,,132,,36
121,0.39644,,131.857,,35.8571
122,0.39952,,131.714,,35.7143
123,0.4026,,131.571,,35.5714
