secs,km,power,hr,cad,alt
0,0,,97,,228.8
1,0.00172,,95,,229
2,0.00361,,95,,228.8
3,0.00756,,95,,228.8
4,0.01137,,95,,228.8
5,0.01489,,95,,229
6,0.01779,,95,,229.2
7,0.02192,,93,,230
8,0.02585,,93,,229.6
9,0.0296,,92,,229.2
10,0.03325,,91,,229
11,0.03666,,90,,228.6
12,0.04016,,89,,227.8
13,0.04348,,89,,227.6
14,0.04713,,89,,227.4
15,0.0509,,88,,227.2
16,0.05425,,88,,227.6
17,0.0581,,88,,227.6
18,0.06224,,88,,227.8
19,0.06576,,88,,227.8
20,0.06886,,88,,227.8
21,0.07264,,88,,227.6
22,0.07616,,88,,227.4
23,0.08027,,88,,227.2
24,0.08442,,89,,227
25,0.08841,,88,,227
26,0.09184,,89,,226.8
27,0.09544,,88,,226.4
28,0.09929,,88,,226.2
29,0.10273,,88,,226.4
30,0.10641,,88,,226.4
31,0.11014,,89,,226.2
32,0.11339,,89,,226
33,0.11731,,89,,225.4
34,0.1209,,89,,225
35,0.12174,,89,,224.8
36,0.12719,,89,,224
37,0.13065,,88,,223.8
38,0.13426,,89,,223.6
39,0.13758,,89,,223.4
40,0.14097,,88,,223.2
41,0.14421,,88,,223
42,0.14775,,89,,223.2
43,0.15124,,88,,223.2
44,0.15496,,89,,223.2
45,0.15817,,89,,223.4
46,0.16177,,89,,223.4
47,0.16461,,89,,223.4
48,0.16866,,89,,223.4
49,0.17171,,89,,223.6
50,0.17486,,88,,223.8
51,0.17809,,88,,223.8
52,0.1816,,88,,223.8
53,0.18445,,87,,223.8
54,0.18969,,87,,223.2
55,0.19344,,87,,222.8
56,0.19654,,88,,222.4
57,0.19994,,88,,222
58,0.20461,,88,,221.8
59,0.2074,,88,,222
60,0.21201,,88,,222.2
61,0.21565,,88,,222.6
62,0.21882,,93,,222.6
63,0.22285,,95,,222.6
64,0.22624,,95,,222.2
65,0.23,,95,,222
66,0.23342,,103,,221.2
67,0.23645,,107,,220.6
68,0.23962,,112,,220
69,0.24292,,114,,219.6
70,0.24651,,115,,219.2
71,0.25005,,117,,219
72,0.25351,,122,,218.8
73,0.25704,,122,,218.6
74,0.26061,,124,,218.8
75,0.26382,,124,,219.2
76,0.26683,,127,,219.4
77,0.27056,,129,,219.2
78,0.2745,,129,,219
79,0.27797,,129,,218.6
80,0.28141,,129,,218
81,0.28495,,129,,217.4
82,0.28833,,130,,217.4
83,0.29163,,130,,217
84,0.2952,,132,,217.2
85,0.29854,,135,,217
86,0.30183,,135,,217.2
87,0.30511,,135,,217.4
88,0.30891,,137,,217.6
89,0.31207,,138,,217.6
90,0.31588,,139,,217.4
91,0.31974,,140,,217
92,0.32285,,141,,216.6
93,0.32667,,141,,216.2
94,0.33012,,141,,215.8
95,0.33342,,141,,215.8
96,0.33672,,143,,215.6
97,0.33996,,144,,215.4
98,0.34348,,144,,215.2
99,0.3468,,144,,215.4
100,0.3499,,146,,215.6
101,0.35345,,147,,216
102,0.3567,,148,,216.4
103,0.36031,,149,,216.8
104,0.36353,,150,,216.6
105,0.36688,,151,,216.4
106,0.37011,,152,,215.8
107,0.37314,,153,,215.4
108,0.37737,,154,,214.8
109,0.38122,,155,,214.6
110,0.38442,,157,,214.8
111,0.38801,,158,,215
112,0.39096,,159,,215.6
113,0.39414,,159,,216
114,0.39769,,160,,216.6
115,0.40165,,161,,216.8
116,0.40556,,161,,217.2
117,0.40946,,161,,217.2
118,0.41391,,161,,217
119,0.41803,,162,,216.8
120,0.42237,,163,,216.4
121,0.42617,,163,,216
122,0.42985,,163,,215.4
123,0.43376,,163,,215.2
124,0.43777,,163,,215
125,0.44132,,164,,215
126,0.44545,,165,,215.2
127,0.44861,,166,,215.2
128,0.45278,,166,,215.4
129,0.4561,,166,,215.6
130,0.45993,,166,,216
131,0.46334,,166,,216.4
132,0.46679,,166,,216.8
133,0.47016,,166,,216.8
134,0.47397,,166,,216.6
135,0.47732,,166,,216.2
136,0.48068,,167,,215.6
137,0.48365,,168,,215
138,0.48752,,168,,214.4
139,0.49076,,168,,214
140,0.49382,,168,,213.8
141,0.49687,,169,,213.6
142,0.5002,,170,,213.4
143,0.50373,,171,,213.4
144,0.50736,,174,,213.6
145,0.51044,,175,,213.8
146,0.51432,,176,,214
147,0.5173,,177,,214.2
148,0.52062,,176,,214.4
149,0.52374,,177,,214.6
150,0.52733,,177,,214.4
151,0.53104,,176,,214.4
152,0.53434,,179,,214.6
153,0.53807,,178,,214.6
154,0.54133,,177,,214.8
155,0.54452,,177,,214.8
156,0.54801,,177,,215
157,0.5515,,177,,215
158,0.55496,,178,,215
159,0.55857,,178,,214.6
160,0.56171,,180,,214.2
161,0.56518,,180,,214
162,0.56819,,180,,213.8
163,0.57191,,180,,213.6
164,0.57516,,180,,213.4
165,0.57863,,180,,213.4
166,0.58177,,180,,213.4
167,0.58505,,180,,213.6
168,0.58851,,180,,213.6
169,0.59207,,180,,213.6
170,0.5951,,180,,213.6
171,0.59843,,180,,213.8
172,0.60183,,180,,214
173,0.60555,,180,,214.2
174,0.60886,,180,,214.4
175,0.61242,,180,,214.6
176,0.61563,,180,,214.6
177,0.61852,,180,,214.6
178,0.62162,,180,,214.4
179,0.62503,,178,,214.4
180,0.62855,,178,,214.2
181,0.63211,,178,,214.2
182,0.63517,,177,,214.2
183,0.63899,,178,,214
184,0.64219,,178,,213.6
185,0.6455,,178,,213.2
186,0.64927,,178,,213
187,0.65245,,178,,212.8
188,0.65626,,178,,212.8
189,0.65969,,178,,213
190,0.66258,,179,,213.2
191,0.66521,,179,,213.4
192,0.66861,,179,,213.4
193,0.67209,,179,,213.4
194,0.67532,,179,,213.4
195,0.67859,,179,,213.4
196,0.68193,,179,,213.6
197,0.68473,,179,,213.6
198,0.68875,,179,,213.8
199,0.69204,,179,,214
200,0.69533,,179,,214.4
201,0.69878,,179,,214.6
202,0.7018,,179,,214.8
203,0.70518,,179,,215
204,0.7086,,179,,215.2
205,0.71196,,179,,215.4
206,0.71521,,179,,215.4
207,0.71839,,179,,215.4
208,0.72201,,179,,215.4
209,0.72509,,179,,215.4
210,0.72839,,179,,215.4
211,0.73183,,179,,215.2
212,0.73502,,179,,215
213,0.7386,,179,,214.6
214,0.7419,,179,,214.4
215,0.74519,,175,,214.2
216,0.74924,,174,,214
217,0.75253,,175,,214
218,0.75583,,174,,214
219,0.75924,,175,,214
220,0.76215,,175,,213.8
221,0.76464,,176,,213.6
222,0.76789,,176,,213.4
223,0.77126,,176,,213.2
224,0.77438,,176,,213
225,0.77765,,175,,212.8
226,0.78102,,175,,212.8
227,0.78406,,175,,212.8
228,0.78787,,175,,212.8
229,0.79128,,175,,212.8
230,0.79461,,175,,213
231,0.79785,,175,,213
232,0.80108,,175,,213.2
233,0.80447,,176,,213.2
234,0.80805,,176,,213.4
235,0.81111,,176,,213.4
236,0.81462,,176,,213.6
237,0.81737,,176,,213.6
238,0.82105,,176,,213.6
239,0.82409,,176,,213.6
240,0.82711,,175,,213.4
241,0.83134,,173,,213.4
242,0.83521,,173,,213.4
243,0.83911,,173,,213.4
244,0.84262,,173,,213.4
245,0.84605,,173,,213.6
246,0.84953,,173,,213.8
247,0.85286,,173,,214
248,0.85665,,173,,214.4
249,0.86012,,173,,214.8
250,0.86399,,173,,215
251,0.86743,,173,,215.2
252,0.87089,,173,,215.4
253,0.8747,,174,,215.2
