secs,km,power,hr,cad,alt
0,0,,94,,20.8
1,0.00235,,95,,20.8
2,0.00441,,96,,20.8
3,0.00646,,99,,20.6
4,0.00865,,101,,20.6
5,0.01088,,101,,20.4
6,0.01288,,102,,20.4
7,0.01493,,100,,20.2
8,0.01715,,101,,20.2
9,0.01926,,104,,20
10,0.02146,,103,,20
11,0.02364,,108,,19.8
12,0.02563,,111,,19.6
13,0.02762,,116,,19.4
14,0.02965,,118,,19.2
15,0.03163,,124,,19.2
16,0.03388,,126,,19
17,0.03615,,125,,19
18,0.03831,,125,,18.8
19,0.04072,,128,,18.8
20,0.04309,,127,,18.8
21,0.04545,,127,,18.8
22,0.04786,,123,,18.8
23,0.05011,,127,,18.8
24,0.0523,,132,,19
25,0.05448,,132,,19
26,0.05665,,133,,19
27,0.059,,133,,19
28,0.06132,,133,,19
29,0.06366,,132,,19
30,0.06574,,130,,19
31,0.06806,,133,,19.2
32,0.07026,,135,,19.2
33,0.07237,,134,,19.4
34,0.07476,,136,,19.4
35,0.07701,,134,,19.4
36,0.07926,,133,,19.4
37,0.08141,,128,,19.4
38,0.08344,,127,,19.4
39,0.0857,,126,,19.2
40,0.08809,,125,,19.2
41,0.09033,,126,,19.2
42,0.09274,,134,,19.2
43,0.0951,,139,,19.2
44,0.09724,,139,,19
45,0.09963,,142,,18.8
46,0.10192,,142,,18.8
47,0.10444,,140,,18.6
48,0.10706,,139,,18.4
49,0.10962,,137,,18.4
50,0.11209,,138,,18.2
51,0.1144,,140,,18
52,0.11678,,142,,18
53,0.11913,,140,,18
54,0.12154,,139,,17.8
55,0.12362,,136,,17.8
56,0.12556,,139,,17.6
57,0.12763,,138,,17.6
58,0.12956,,133,,17.6
59,0.1315,,134,,17.6
60,0.13346,,137,,17.6
61,0.13522,,137,,17.8
62,0.13729,,137,,17.8
63,0.13939,,135,,17.8
64,0.14159,,131,,17.8
65,0.1438,,129,,17.6
66,0.14593,,123,,17.6
67,0.14792,,118,,17.6
68,0.15018,,117,,17.6
69,0.15227,,117,,17.6
70,0.15459,,117,,17.4
71,0.15685,,117,,17.4
72,0.15891,,117,,17.2
73,0.16096,,118,,17.2
74,0.1632,,118,,17
75,0.16534,,119,,17
76,0.16744,,119,,17
77,0.16953,,119,,17
78,0.17153,,119,,16.8
79,0.1734,,119,,16.8
80,0.17524,,120,,16.6
81,0.1774,,120,,16.6
82,0.17979,,120,,16.6
83,0.18243,,121,,16.4
84,0.18506,,121,,16.6
85,0.18779,,121,,16.6
86,0.19045,,121,,16.6
87,0.19289,,122,,16.6
88,0.19534,,122,,16.6
89,0.19777,,122,,16.8
90,0.20015,,123,,16.8
91,0.2025,,123,,16.8
92,0.20489,,123,,17
93,0.20736,,123,,17.4
94,0.20965,,123,,17.6
95,0.21198,,124,,17.6
96,0.21429,,124,,17.6
97,0.2166,,124,,17.8
98,0.21898,,125,,17.6
99,0.22122,,126,,17.6
100,0.22335,,126,,17.6
101,0.22563,,127,,17.4
102,0.22804,,127,,17.4
103,0.23061,,127,,17.2
104,0.23305,,128,,17.2
105,0.23559,,129,,17.2
106,0.23802,,129,,17.2
107,0.24047,,131,,17
108,0.24291,,131,,17
109,0.24537,,132,,17
110,0.24781,,133,,17.2
111,0.25023,,133,,17.2
112,0.25257,,133,,17.2
113,0.25517,,133,,17.4
114,0.25763,,134,,17.6
115,0.26007,,134,,17.6
116,0.2622,,134,,17.8
117,0.2639,,134,,18.2
118,0.26571,,134,,18.4
119,0.26728,,133,,18.6
120,0.26905,,133,,19
121,0.27111,,132,,19.2
122,0.27324,,132,,19.6
123,0.2751,,131,,19.8
124,0.27705,,131,,20.2
125,0.27866,,130,,20.2
126,0.28045,,130,,20.6
127,0.2825,,130,,20.8
128,0.28455,,131,,21.2
129,0.28653,,131,,21.4
130,0.28857,,131,,21.8
131,0.29067,,132,,22.2
132,0.29304,,132,,22.4
133,0.29572,,132,,22.8
134,0.29836,,131,,23.2
135,0.30106,,131,,23.4
136,0.3034,,131,,24
137,0.30629,,130,,24.2
138,0.309,,130,,24.6
139,0.31173,,131,,25
140,0.31472,,131,,25.4
141,0.31746,,131,,25.8
142,0.32036,,131,,26.4
143,0.32313,,132,,26.8
144,0.32581,,132,,27
145,0.32848,,132,,27.4
146,0.3309,,133,,27.8
147,0.33352,,133,,28
148,0.33615,,133,,28.4
149,0.33867,,133,,28.6
150,0.34119,,133,,29
151,0.34358,,133,,29.2
152,0.34615,,133,,29.4
153,0.34858,,133,,29.4
154,0.35098,,133,,29.6
155,0.35343,,133,,29.8
156,0.35578,,133,,30.2
157,0.35819,,133,,30.4
158,0.36077,,133,,30.6
159,0.36332,,133,,30.8
160,0.3661,,133,,30.8
161,0.36893,,133,,31
162,0.37162,,133,,31
163,0.37417,,133,,31.2
164,0.37666,,132,,31.2
165,0.37922,,132,,31.2
166,0.38175,,133,,31.2
167,0.38465,,133,,31.2
168,0.3875,,133,,31.4
169,0.39043,,133,,31.4
170,0.39317,,134,,31.4
171,0.39562,,134,,31.2
172,0.39812,,134,,31.2
173,0.40057,,134,,31
174,0.40292,,134,,30.8
175,0.40502,,134,,30.6
176,0.40754,,133,,30.6
177,0.41043,,133,,30.4
178,0.41344,,133,,30
179,0.41643,,133,,30
180,0.41922,,132,,29.6
181,0.42211,,132,,29.6
182,0.42504,,132,,29.4
183,0.42777,,132,,29
184,0.43071,,132,,29
185,0.43327,,132,,28.8
186,0.43581,,133,,28.6
187,0.43823,,133,,28.2
188,0.44043,,134,,27.8
189,0.44348,,134,,27.4
190,0.44623,,135,,27
191,0.44884,,135,,26.8
192,0.4517,,136,,26.6
193,0.45463,,136,,26.4
194,0.45793,,135,,26.4
195,0.4612,,135,,26
196,0.46437,,135,,25.8
197,0.46731,,135,,25.2
198,0.47035,,135,,25
199,0.47324,,134,,24.6
200,0.476,,134,,24.4
201,0.47881,,134,,24
202,0.48146,,134,,23.8
203,0.48408,,134,,23.4
204,0.48692,,134,,23.2
205,0.48997,,134,,23
206,0.49263,,134,,23
207,0.49532,,134,,22.8
208,0.498,,134,,22.8
209,0.5007,,133,,22.8
