secs,km,power,hr,cad,alt
0,0,,93,,50.6
1,0.00273,,95,,49.8
2,0.00589,,97,,50
3,0.00943,,99,,50.6
4,0.01299,,100,,50.8
5,0.01661,,102,,51
6,0.0198,,104,,51
7,0.02316,,106,,51.2
8,0.02685,,107,,51.2
9,0.03046,,109,,51.4
10,0.03401,,110,,51.4
11,0.0374,,111,,51.4
12,0.04042,,112,,51.4
13,0.04342,,113,,51.4
14,0.04623,,115,,51.4
15,0.04915,,115,,51.6
16,0.05217,,116,,51.6
17,0.0553,,117,,51.6
18,0.05872,,118,,51.4
19,0.06223,,119,,51.6
20,0.06552,,121,,51.6
21,0.06861,,122,,51.6
22,0.07176,,123,,51.6
23,0.07472,,124,,51.8
24,0.07777,,125,,51.8
25,0.08127,,126,,51.8
26,0.08475,,127,,51.8
27,0.08811,,128,,51.8
28,0.09162,,129,,51.8
29,0.09465,,129,,51.8
30,0.098,,130,,51.8
31,0.10128,,130,,52
32,0.10453,,131,,52.4
33,0.10769,,131,,52.4
34,0.1104,,131,,52.4
35,0.11339,,132,,52.4
36,0.1166,,132,,52.4
37,0.11991,,133,,52.4
38,0.12329,,133,,52.4
39,0.12705,,133,,52.6
40,0.13084,,134,,52.6
41,0.13444,,134,,52.6
42,0.13793,,134,,52.4
43,0.14144,,135,,52.4
44,0.14463,,135,,52.4
45,0.14773,,135,,52.4
46,0.15095,,135,,52.6
47,0.15437,,135,,52.4
48,0.15819,,136,,52.4
49,0.1621,,136,,52.2
50,0.16588,,136,,52.2
51,0.16967,,136,,52.2
52,0.17299,,136,,52
53,0.17647,,137,,51.8
54,0.18028,,137,,51.6
55,0.18401,,137,,51.4
56,0.18768,,137,,51.4
57,0.19121,,138,,51.2
58,0.19436,,138,,51.2
59,0.19777,,138,,51
60,0.20103,,138,,50.4
61,0.20447,,138,,50.4
62,0.20791,,138,,50.2
63,0.21128,,138,,50
64,0.21466,,138,,49.8
65,0.21781,,138,,49.6
66,0.22073,,138,,49.2
67,0.2243,,138,,48.8
68,0.22824,,137,,48.8
69,0.23262,,137,,48.6
70,0.23667,,137,,48.6
71,0.2406,,137,,48.4
72,0.24462,,136,,48.2
73,0.24837,,136,,48
74,0.25191,,136,,48
75,0.25528,,135,,47.8
76,0.25862,,135,,47.6
77,0.26216,,135,,47.4
78,0.26582,,134,,47.2
79,0.26951,,133,,47
80,0.27333,,133,,46.8
81,0.27696,,133,,46.4
82,0.28047,,133,,46.2
83,0.28393,,133,,46
84,0.28742,,132,,45.8
85,0.29106,,131,,45.6
86,0.29461,,129,,45.2
87,0.29816,,128,,45
88,0.3015,,127,,44.8
89,0.30509,,125,,44.8
90,0.30827,,124,,44.6
91,0.31124,,124,,44.4
92,0.31431,,124,,44.2
93,0.31764,,123,,43.8
94,0.32092,,123,,43.4
95,0.32424,,123,,43.2
96,0.32821,,123,,43.2
97,0.33208,,123,,42.8
98,0.33584,,122,,42.6
99,0.33915,,122,,42.4
100,0.34265,,121,,42.2
101,0.34634,,121,,41.8
102,0.35039,,120,,41.6
103,0.35435,,120,,41.2
104,0.35818,,119,,40.8
105,0.36219,,120,,40.8
106,0.36597,,120,,40.2
107,0.36949,,120,,39.8
108,0.3733,,121,,39.6
109,0.37718,,122,,39.2
110,0.38138,,123,,39
111,0.38485,,123,,38.8
112,0.38899,,123,,38.4
113,0.39352,,123,,38
114,0.39791,,122,,37.8
115,0.40251,,122,,37.6
116,0.40713,,122,,37.6
117,0.41152,,122,,37.4
118,0.4157,,122,,37
119,0.42018,,122,,36.8
120,0.42448,,122,,36.6
121,0.42911,,122,,36.2
122,0.43379,,122,,36
123,0.43863,,122,,35.8
124,0.44351,,122,,35.6
125,0.44817,,121,,35.4
126,0.45251,,120,,35.2
127,0.45706,,120,,34.6
128,0.46162,,120,,34.4
129,0.46607,,121,,33.8
130,0.47049,,121,,33.4
131,0.47474,,121,,33.4
132,0.47889,,121,,33.2
133,0.48307,,121,,32.8
134,0.48722,,121,,32.6
135,0.49135,,120,,32.4
136,0.49544,,120,,32.2
137,0.49944,,120,,32.2
138,0.50364,,121,,32
139,0.50802,,120,,31.8
140,0.51225,,121,,31.4
141,0.51621,,120,,31.2
142,0.52032,,120,,31.2
143,0.52441,,120,,31
144,0.52867,,120,,31
145,0.53264,,121,,31
146,0.53626,,121,,31.2
147,0.53962,,122,,31.2
148,0.54326,,123,,31.2
149,0.54691,,123,,31
150,0.55042,,124,,31
151,0.55378,,124,,31
152,0.55734,,125,,31
153,0.56081,,125,,30.8
154,0.56442,,125,,30.8
155,0.56804,,125,,30.8
156,0.57177,,126,,30.8
157,0.57577,,126,,30.6
158,0.57945,,127,,30.6
159,0.58306,,128,,30.8
160,0.58664,,128,,30.6
161,0.59016,,129,,30.6
162,0.59378,,130,,30.6
163,0.59731,,131,,30.6
164,0.60032,,131,,30.4
165,0.60318,,131,,30.4
166,0.60668,,131,,30.6
167,0.61025,,131,,30.6
168,0.6139,,132,,30.6
169,0.61746,,132,,30.6
170,0.62091,,132,,30.4
171,0.62431,,132,,30.4
172,0.62789,,132,,30.4
173,0.63153,,132,,30.2
174,0.63516,,133,,30.2
175,0.63836,,133,,30.2
176,0.64147,,133,,30
177,0.64461,,133,,29.8
178,0.64774,,132,,29.4
179,0.65127,,132,,29
180,0.65501,,132,,28.6
181,0.65838,,132,,28.2
182,0.66194,,132,,27.8
183,0.66484,,132,,27.4
184,0.66767,,131,,26.8
185,0.67083,,132,,26.6
186,0.67435,,132,,26.4
187,0.67801,,132,,26.2
188,0.68157,,132,,25.8
189,0.68557,,132,,25.4
190,0.68954,,132,,25.2
191,0.69346,,132,,24.8
192,0.69771,,132,,24.8
193,0.70156,,132,,24.8
194,0.70524,,132,,24.4
195,0.70907,,132,,24
196,0.71285,,132,,23.6
197,0.7166,,132,,23.4
198,0.72113,,132,,23.2
199,0.72605,,131,,23.2
200,0.73072,,131,,23.2
201,0.73537,,131,,23.2
202,0.7399,,130,,22.8
203,0.74424,,130,,22.6
204,0.74859,,129,,22.4
205,0.75298,,129,,22.4
206,0.75738,,129,,22.2
207,0.76153,,129,,22
208,0.76564,,129,,21.8
209,0.76984,,128,,21.8
210,0.77407,,128,,21.6
211,0.77808,,127,,21.2
212,0.78233,,127,,21
213,0.78636,,127,,20.8
214,0.79044,,126,,20.6
215,0.79477,,126,,20.4
216,0.79897,,126,,20.4
217,0.80331,,126,,20
218,0.8072,,126,,20
219,0.81082,,125,,19.8
220,0.8147,,124,,19.4
221,0.81869,,124,,19.2
222,0.82258,,123,,19.2
223,0.82662,,123,,19.2
224,0.83073,,123,,19.2
225,0.83467,,124,,19
226,0.83842,,124,,18.4
227,0.842,,125,,18
228,0.84575,,125,,17.8
229,0.84932,,126,,17.6
230,0.85279,,126,,17.4
231,0.85639,,126,,17.2
232,0.86028,,125,,17
233,0.86379,,125,,16.8
234,0.86735,,125,,16.8
235,0.87071,,125,,16.8
236,0.87413,,125,,16.6
237,0.87749,,126,,16.6
238,0.88106,,126,,16.2
239,0.88433,,127,,16.2
240,0.88758,,128,,16
241,0.89074,,128,,15.8
242,0.89396,,129,,15.8
243,0.89742,,129,,15.8
244,0.90102,,130,,15.8
245,0.90451,,130,,15.6
246,0.90747,,130,,15.4
247,0.91085,,129,,15.4
248,0.91427,,129,,15.2
249,0.91819,,129,,15
250,0.92216,,128,,15
251,0.92595,,128,,15
252,0.92989,,128,,14.8
253,0.93318,,128,,14.8
254,0.93656,,128,,14.8
255,0.94026,,129,,14.6
256,0.94408,,129,,14.8
257,0.94818,,129,,14.8
258,0.95194,,130,,14.6
259,0.95525,,130,,14.6
260,0.9584,,131,,14.2
261,0.96169,,131,,14.2
262,0.96482,,132,,14.4
263,0.9678,,133,,14.4
264,0.97134,,133,,14.4
265,0.97531,,133,,14.6
266,0.9788,,133,,14.8
267,0.9835,,134,,14.6
268,0.98796,,134,,14.8
269,0.99276,,134,,14.8
270,0.99742,,134,,15
271,1.00144,,135,,15.2
272,1.00528,,135,,15
273,1.00894,,136,,14.2
274,1.0121,,136,,14
275,1.01552,,136,,13.8
276,1.01925,,137,,13.6
277,1.02336,,137,,13.4
278,1.02705,,137,,13.4
279,1.03173,,138,,13.4
280,1.03609,,138,,13.2
281,1.04065,,139,,13
282,1.04462,,139,,12.8
283,1.04908,,140,,12.8
284,1.05328,,141,,12.8
285,1.05709,,141,,12.8
286,1.06104,,141,,13.8
287,1.06476,,142,,13.6
288,1.06915,,143,,13.6
289,1.07345,,143,,13.4
290,1.07715,,143,,13.4
291,1.08129,,144,,13.2
292,1.08586,,144,,13.4
293,1.08976,,145,,13.4
294,1.0933,,145,,13.2
295,1.0968,,144,,13
296,1.10059,,145,,13
297,1.10484,,144,,13
298,1.10904,,144,,12.8
299,1.11307,,144,,12.4
300,1.11711,,144,,11.8
301,1.12134,,145,,12
302,1.12518,,144,,12
303,1.12925,,145,,12.2
304,1.13365,,145,,11.8
305,1.13766,,144,,11.6
306,1.14135,,144,,12
307,1.14456,,144,,11.6
308,1.14779,,144,,10.2
309,1.15138,,143,,10
310,1.1546,,143,,10.8
311,1.15727,,143,,11.2
312,1.16013,,143,,11.4
313,1.16343,,143,,11.8
314,1.16706,,143,,11.6
315,1.17071,,143,,11.8
316,1.17426,,143,,11.8
317,1.17794,,142,,11.8
318,1.1817,,142,,12
319,1.1859,,142,,12.4
320,1.18962,,142,,12
321,1.19365,,142,,12
322,1.19753,,142,,11.8
323,1.20139,,142,,11.8
324,1.20558,,142,,11.4
325,1.20942,,143,,11.6
326,1.21315,,143,,11.8
327,1.21723,,143,,11.8
328,1.22158,,143,,12
329,1.22607,,143,,12
330,1.23023,,144,,12.2
331,1.23418,,144,,12.4
332,1.23805,,144,,12.4
333,1.2422,,144,,12.4
334,1.24638,,143,,12.2
335,1.25045,,143,,12
336,1.25464,,144,,11.8
337,1.25878,,143,,11.6
338,1.26301,,144,,11.6
339,1.26699,,144,,11.6
340,1.27083,,144,,11.4
341,1.27487,,144,,11.4
342,1.27898,,144,,11.4
343,1.28307,,144,,11.4
344,1.28715,,144,,11.4
345,1.29128,,144,,11.4
346,1.29537,,144,,11.6
347,1.29937,,144,,11.4
348,1.30347,,145,,11.2
349,1.30735,,145,,11
350,1.31144,,145,,10.8
351,1.31536,,145,,11
352,1.31909,,146,,11.6
353,1.3229,,146,,11.6
354,1.32651,,145,,11.4
355,1.33022,,145,,11.4
356,1.33394,,145,,11
357,1.3378,,145,,10.6
358,1.34168,,145,,10.6
359,1.34556,,145,,10.8
360,1.34955,,145,,11.2
361,1.35343,,145,,11.2
362,1.35718,,145,,11.2
363,1.36081,,145,,11.2
364,1.36434,,145,,11
365,1.36793,,145,,10.6
366,1.37155,,145,,10.2
367,1.37528,,144,,10
368,1.37927,,144,,10.2
369,1.38332,,144,,10.8
370,1.38722,,143,,10.6
371,1.39085,,143,,10.6
372,1.3945,,143,,10.8
373,1.39804,,143,,10.8
374,1.40151,,143,,10.8
375,1.4049,,143,,10.6
376,1.40811,,143,,10.4
377,1.41149,,142,,10
378,1.41533,,142,,9.8
379,1.41922,,142,,9.6
380,1.42296,,141,,10
381,1.42675,,142,,10.2
382,1.43035,,141,,10.4
383,1.43417,,142,,10.6
384,1.43806,,142,,11
385,1.44187,,142,,10.8
386,1.4456,,142,,10.8
387,1.44947,,142,,11.2
388,1.45309,,143,,11.8
389,1.45658,,143,,11.4
390,1.46041,,143,,11
391,1.46456,,143,,10.8
392,1.46876,,144,,10.6
393,1.47288,,143,,10.8
394,1.47731,,144,,11.2
395,1.48138,,144,,11.2
396,1.48528,,143,,11
397,1.48954,,144,,11
398,1.49378,,144,,10.8
399,1.49793,,144,,10.8
400,1.50223,,144,,10.8
401,1.50644,,144,,10.6
402,1.51069,,144,,10
403,1.51463,,144,,10
404,1.51843,,144,,10
405,1.52235,,145,,10
406,1.52623,,144,,10.2
407,1.52994,,144,,10.6
408,1.53372,,144,,11.2
409,1.53804,,143,,11.4
410,1.54238,,143,,11
411,1.54666,,142,,10.8
412,1.55061,,143,,10.8
413,1.55458,,142,,10.8
414,1.55869,,142,,10.8
415,1.56304,,142,,10.8
416,1.56713,,142,,11
417,1.57147,,142,,11.2
418,1.57546,,142,,11
419,1.57899,,142,,10.8
420,1.58212,,143,,10.2
421,1.58553,,143,,10.4
422,1.58923,,143,,10.2
423,1.593,,143,,10.2
424,1.59703,,143,,10.4
425,1.60127,,143,,10.2
426,1.60532,,143,,10.2
427,1.60924,,143,,10.2
428,1.61313,,143,,10.4
429,1.61684,,143,,10.6
430,1.62057,,143,,10.6
431,1.62414,,143,,10.6
432,1.62781,,143,,10.6
433,1.63166,,143,,10.4
434,1.63549,,143,,10
435,1.63919,,143,,10
436,1.64303,,144,,10.2
437,1.64672,,144,,10.2
438,1.65052,,144,,10.4
439,1.65453,,145,,10.4
440,1.65838,,146,,10.6
441,1.66184,,146,,10.4
