secs,km,power,hr,cad,alt
0,0,,63,,322
1,0.00027,,68,,322.2
2,0.00154,,69,,322
3,0.00275,,69,,322.2
4,0.00405,,69,,322.6
5,0.00616,,69,,322.2
6,0.00822,,69,,322.2
7,0.01041,,70,,322.2
8,0.01308,,70,,322
9,0.01599,,72,,322
10,0.01856,,72,,321.8
11,0.02156,,74,,321.8
12,0.02448,,75,,321.8
13,0.02737,,76,,321.6
14,0.03073,,78,,321.8
15,0.03393,,79,,322
16,0.03665,,80,,322
17,0.03953,,81,,322.2
18,0.04246,,81,,322.4
19,0.045,,81,,322.4
20,0.04753,,80,,322.6
21,0.04964,,81,,322.6
22,0.05173,,81,,322.6
23,0.05481,,81,,322.8
24,0.05771,,81,,323
25,0.05991,,81,,323.4
26,0.06245,,81,,323.6
27,0.06499,,81,,323.4
28,0.06711,,81,,323.6
29,0.06971,,81,,323.8
30,0.07248,,81,,323.6
31,0.07539,,81,,323.6
32,0.07757,,81,,323.4
33,0.08005,,81,,323.4
34,0.08191,,81,,323.4
35,0.08393,,81,,323.4
36,0.08635,,82,,323.4
37,0.08929,,83,,323.8
38,0.09216,,84,,324
39,0.09515,,86,,324.2
40,0.0977,,87,,324.2
41,0.09999,,88,,324.4
42,0.10224,,89,,324.4
43,0.10514,,90,,324.4
44,0.10797,,91,,324.2
45,0.11071,,92,,324.2
46,0.11405,,93,,324.2
47,0.11717,,94,,324.2
48,0.11999,,96,,324.4
49,0.12303,,98,,324.4
50,0.12618,,100,,324.4
51,0.12905,,100,,324.4
52,0.13178,,101,,324.4
53,0.1345,,103,,324.6
54,0.13723,,106,,324.6
55,0.13992,,107,,324.4
56,0.14276,,106,,324.4
57,0.14561,,107,,324.2
58,0.14839,,107,,324.2
59,0.15106,,107,,324.4
60,0.15391,,107,,324.4
61,0.15705,,108,,324.6
62,0.15993,,109,,324.6
63,0.16273,,108,,324.8
64,0.16559,,109,,325
65,0.16835,,110,,325
66,0.17134,,110,,325
67,0.17427,,111,,325
68,0.17736,,113,,325
69,0.18022,,114,,325
70,0.18274,,114,,325
71,0.1855,,114,,325
72,0.1883,,115,,325.2
73,0.19099,,116,,325.2
74,0.19362,,117,,325.2
75,0.19648,,116,,325.6
76,0.19941,,116,,325.6
77,0.20216,,117,,325.8
78,0.20473,,118,,325.8
79,0.20734,,118,,325.6
80,0.20996,,119,,325.6
81,0.21278,,119,,325.6
82,0.21573,,119,,325.6
83,0.21859,,119,,325.6
84,0.22143,,120,,325.6
85,0.22431,,121,,325.6
86,0.22709,,121,,325.6
87,0.23011,,121,,325.6
88,0.23282,,123,,325.6
89,0.23542,,123,,325.8
90,0.23834,,122,,325.6
91,0.24097,,122,,325.6
92,0.24367,,123,,325.6
93,0.2466,,124,,325.6
94,0.24935,,126,,325.8
95,0.25194,,126,,326
96,0.25465,,125,,326
97,0.2572,,125,,326
98,0.25999,,125,,326.2
99,0.26283,,126,,326.2
100,0.26555,,128,,326.4
101,0.26827,,128,,326.6
102,0.27096,,128,,326.4
103,0.27388,,129,,326.6
104,0.27718,,129,,327
105,0.28002,,129,,326.8
106,0.28303,,129,,327
107,0.28592,,130,,327
108,0.28906,,130,,326.8
109,0.29201,,132,,326.8
110,0.29507,,131,,326.6
111,0.29793,,131,,326.6
112,0.30073,,131,,326.6
113,0.30356,,131,,326.4
114,0.3063,,131,,326.4
115,0.30907,,132,,326.4
116,0.31208,,132,,326.4
117,0.31507,,132,,326.4
118,0.31805,,131,,326.6
119,0.32097,,132,,326.4
120,0.3238,,133,,326.4
121,0.32682,,133,,326.4
122,0.32968,,134,,326.4
123,0.33239,,134,,326.4
124,0.33531,,135,,326.6
125,0.33823,,134,,326.6
126,0.34099,,135,,326.8
127,0.34358,,136,,327
128,0.346,,136,,327
129,0.3485,,135,,327
130,0.35093,,135,,327
131,0.35351,,137,,327
132,0.35614,,136,,327
133,0.35891,,137,,327
134,0.36149,,137,,326.8
135,0.36401,,137,,326.8
136,0.36678,,137,,326.6
137,0.36959,,137,,326.6
138,0.3726,,138,,326.6
139,0.37557,,138,,326.4
140,0.37839,,138,,326.6
141,0.3813,,137,,326.6
142,0.38401,,138,,326.6
143,0.38667,,139,,326.8
144,0.38961,,138,,327
145,0.39229,,138,,327
146,0.39505,,138,,327.2
147,0.39859,,138,,327.4
148,0.40149,,138,,327.6
149,0.40447,,138,,327.6
150,0.40745,,140,,327.8
151,0.41029,,139,,327.8
152,0.41299,,139,,327.8
153,0.4156,,140,,327.8
154,0.41823,,141,,327.8
155,0.421,,141,,327.8
156,0.42385,,143,,327.8
157,0.42631,,143,,327.8
158,0.42885,,143,,327.8
159,0.43169,,143,,328.2
160,0.43454,,143,,328.6
161,0.43726,,143,,329
162,0.43974,,142,,329.4
163,0.44208,,143,,329.6
164,0.44472,,143,,330
165,0.44746,,142,,330.4
166,0.45009,,142,,330.6
167,0.45329,,142,,330.8
168,0.45596,,143,,331.2
169,0.45861,,143,,331.6
170,0.46125,,142,,331.8
171,0.46404,,143,,332
172,0.46698,,143,,332.2
173,0.46995,,144,,332.4
174,0.47291,,145,,332.6
175,0.47572,,145,,333
176,0.47824,,146,,333.2
177,0.48107,,144,,333.4
178,0.48379,,144,,333.6
179,0.48667,,145,,333.6
180,0.48959,,144,,333.8
181,0.49223,,145,,333.8
182,0.49488,,145,,334
183,0.49763,,144,,334.2
184,0.50029,,145,,334
185,0.50295,,146,,334
186,0.50632,,145,,334
187,0.50926,,145,,333.8
188,0.51219,,146,,333.8
189,0.51514,,146,,333.8
190,0.51873,,146,,333.6
191,0.52167,,145,,333.6
192,0.52507,,145,,333.6
193,0.52773,,147,,333.6
194,0.53056,,146,,333.6
195,0.5333,,146,,333.4
196,0.53584,,145,,333.4
197,0.53835,,145,,333.2
198,0.54101,,145,,333.2
199,0.54416,,145,,333.2
200,0.54674,,145,,333
201,0.54975,,145,,333
202,0.55268,,146,,332.8
203,0.55533,,146,,332.6
204,0.55815,,145,,332.4
205,0.56151,,144,,332.4
206,0.56423,,144,,332
207,0.56717,,144,,332
208,0.57022,,144,,331.8
209,0.57305,,145,,331.6
210,0.5758,,145,,331.2
211,0.57837,,145,,330.8
212,0.58102,,145,,330.4
213,0.58361,,145,,330
214,0.58607,,146,,329.8
215,0.5888,,146,,329.6
216,0.59178,,146,,329.4
217,0.59442,,146,,329.2
218,0.59743,,145,,329
219,0.60032,,145,,328.8
220,0.60334,,145,,328.4
221,0.60653,,146,,328.2
222,0.60928,,147,,328
223,0.6117,,146,,327.8
224,0.61426,,147,,327.8
225,0.61693,,146,,327.6
226,0.61968,,146,,327.4
227,0.62269,,147,,327
228,0.62556,,147,,326.6
229,0.62871,,146,,326.4
230,0.63175,,146,,326.2
231,0.63531,,146,,326
232,0.63885,,146,,325.6
233,0.64213,,146,,325.4
234,0.64534,,146,,325
235,0.64829,,146,,324.6
236,0.65111,,147,,324.4
237,0.65387,,147,,324.2
238,0.6567,,147,,324
239,0.65981,,148,,323.8
240,0.66261,,148,,323.8
241,0.66549,,147,,323.4
242,0.66826,,147,,323.2
243,0.67115,,146,,323
244,0.674,,147,,322.8
245,0.67624,,147,,322.6
246,0.67825,,148,,322.6
247,0.68107,,147,,322.4
248,0.68391,,147,,322
249,0.68661,,147,,321.6
250,0.68946,,147,,321.4
251,0.69229,,146,,321.2
252,0.69507,,146,,320.8
253,0.69804,,147,,320.4
254,0.70085,,147,,320.2
255,0.70384,,148,,319.8
256,0.70712,,149,,319.6
257,0.71005,,148,,319.6
258,0.71319,,148,,319.2
259,0.7161,,147,,319
260,0.71901,,147,,318.6
261,0.72158,,147,,318.6
262,0.7243,,147,,318.6
263,0.72691,,147,,318.4
264,0.72983,,147,,318.4
265,0.73246,,148,,318.4
266,0.73555,,148,,318.2
267,0.73899,,148,,318.2
268,0.74281,,148,,318
269,0.74701,,148,,318
270,0.75033,,148,,318
271,0.75333,,148,,318.2
272,0.75664,,148,,318.4
273,0.75961,,148,,318.4
274,0.7628,,148,,318.6
275,0.76565,,147,,318.6
276,0.76846,,148,,318.6
277,0.77158,,147,,318.6
278,0.77438,,148,,318.6
279,0.77707,,148,,318.6
280,0.77966,,147,,318.4
281,0.78248,,147,,318.4
282,0.78542,,148,,318.4
283,0.78827,,149,,318.4
284,0.79138,,149,,318.6
285,0.79435,,149,,318.4
286,0.79717,,149,,318.2
287,0.80022,,150,,318.2
288,0.80323,,149,,318.2
289,0.80639,,148,,318.2
290,0.80956,,149,,318.2
291,0.81246,,149,,318
292,0.81615,,151,,318
293,0.81995,,152,,318
294,0.82313,,151,,318
295,0.82627,,151,,317.8
296,0.82932,,152,,317.8
297,0.83256,,152,,317.8
298,0.83566,,152,,317.8
299,0.83863,,152,,317.8
300,0.84145,,151,,317.8
301,0.84426,,153,,317.8
302,0.84696,,154,,317.8
303,0.84974,,153,,317.8
304,0.85292,,153,,317.8
305,0.85582,,152,,317.8
306,0.85893,,152,,317.8
307,0.86225,,151,,317.6
308,0.86502,,151,,317.6
309,0.86749,,153,,317.6
310,0.87019,,153,,317.4
311,0.87252,,152,,317.4
312,0.87478,,152,,317.4
313,0.87728,,152,,317.6
314,0.87952,,152,,317.6
315,0.88212,,153,,317.8
316,0.88467,,153,,317.8
317,0.88745,,153,,317.8
318,0.89042,,153,,317.8
319,0.89295,,153,,317.8
320,0.89572,,154,,317.8
321,0.89854,,155,,317.6
322,0.90106,,154,,317.4
323,0.90355,,154,,317.4
324,0.90638,,154,,317.6
325,0.90893,,154,,317.6
326,0.91157,,154,,317.6
327,0.91347,,154,,317.6
328,0.91437,,154,,317.4
329,0.91498,,154,,317.4
330,0.91795,,154,,317.4
331,0.92078,,155,,317.2
332,0.92326,,155,,317.2
333,0.92596,,155,,317.2
334,0.92859,,155,,317
335,0.931,,155,,317
336,0.93381,,155,,317
337,0.93633,,155,,317
338,0.93918,,154,,317
339,0.9419,,155,,317
340,0.94418,,154,,317
341,0.94687,,155,,317
342,0.95008,,155,,317
343,0.9527,,156,,317
344,0.95517,,156,,317
345,0.95715,,156,,317
346,0.95953,,155,,317
347,0.9623,,155,,317
348,0.96511,,155,,317
349,0.96762,,154,,317
350,0.97012,,153,,317.2
351,0.9733,,154,,317.2
352,0.97564,,155,,317.2
353,0.97848,,156,,317.2
354,0.98163,,156,,317.2
355,0.98423,,156,,317.2
356,0.98694,,155,,317.2
357,0.98931,,156,,317.2
358,0.99163,,156,,317.2
359,0.99388,,155,,317.4
360,0.99684,,156,,317.4
361,0.99939,,156,,317.4
362,1.00197,,156,,317.4
363,1.00448,,157,,317.4
364,1.00708,,154,,317.4
365,1.00963,,153,,317.4
366,1.01259,,153,,317.2
367,1.01519,,155,,317.2
368,1.01796,,156,,317
369,1.02078,,155,,317
370,1.0237,,154,,317
