secs,km,power,hr,cad,alt
0,0,,70,62,35
1,0.00191,,73,89,35
2,0.00432,,79,91,35.4
3,0.00715,,83,91,35.6
4,0.01008,,87,92,35.2
5,0.01308,,94,98,35.4
6,0.01591,,97.5,98,35.4
7,0.01874,,101,98,35.4
8,0.02185,,101,98,35.6
9,0.02484,,105,97.5,35.6
10,0.02783,,109,97,35.6
11,0.0305933,,110.333,97.3333,35.7333
12,0.0333567,,111.667,97.6667,35.8667
13,0.03612,,113,98,36
14,0.039048,,113.6,97.6,35.96
15,0.041976,,114.2,97.2,35.92
16,0.044904,,114.8,96.8,35.88
17,0.047832,,115.4,96.4,35.84
18,0.05076,,116,96,35.8
19,0.053692,,116.2,95.8,35.88
20,0.056624,,116.4,95.6,35.96
21,0.059556,,116.6,95.4,36.04
22,0.062488,,116.8,95.2,36.12
23,0.06542,,117,95,36.2
24,0.06808,,117.5,95,36.2
25,0.07074,,118,95,36.2
26,0.0734,,118.5,95,36.2
27,0.07606,,119,95,36.2
28,0.07872,,119.5,95,36.2
29,0.08138,,120,95,36.2
30,0.0841967,,120.5,95.1667,36.2
31,0.0870133,,121,95.3333,36.2
32,0.08983,,121.5,95.5,36.2
33,0.0926467,,122,95.6667,36.2
34,0.0954633,,122.5,95.8333,36.2
35,0.09828,,123,96,36.2
36,0.101213,,124,95.6667,36.2667
37,0.104147,,125,95.3333,36.3333
38,0.10708,,126,95,36.4
39,0.109971,,126.286,95.1429,36.4286
40,0.112863,,126.571,95.2857,36.4571
41,0.115754,,126.857,95.4286,36.4857
42,0.118646,,127.143,95.5714,36.5143
43,0.121537,,127.429,95.7143,36.5429
44,0.124429,,127.714,95.8571,36.5714
45,0.12732,,128,96,36.6
46,0.130055,,128.25,95.5,36.625
47,0.13279,,128.5,95,36.65
48,0.135525,,128.75,94.5,36.675
49,0.13826,,129,94,36.7
50,0.140995,,129.25,93.5,36.725
51,0.14373,,129.5,93,36.75
52,0.146465,,129.75,92.5,36.775
53,0.1492,,130,92,36.8
54,0.151977,,130.333,92.6667,36.8667
55,0.154753,,130.667,93.3333,36.9333
56,0.15753,,131,94,37
57,0.160307,,131.333,94.6667,37.0667
58,0.163083,,131.667,95.3333,37.1333
59,0.16586,,132,96,37.2
60,0.168588,,132.25,96,37.225
61,0.171315,,132.5,96,37.25
62,0.174043,,132.75,96,37.275
63,0.17677,,133,96,37.3
64,0.179498,,133.25,96,37.325
65,0.182225,,133.5,96,37.35
66,0.184953,,133.75,96,37.375
67,0.18768,,134,96,37.4
68,0.19031,,133.875,95.875,37.4
69,0.19294,,133.75,95.75,37.4
70,0.19557,,133.625,95.625,37.4
71,0.1982,,133.5,95.5,37.4
72,0.20083,,133.375,95.375,37.4
73,0.20346,,133.25,95.25,37.4
74,0.20609,,133.125,95.125,37.4
75,0.20872,,133,95,37.4
76,0.211439,,133.25,94.875,37.375
77,0.214158,,133.5,94.75,37.35
78,0.216876,,133.75,94.625,37.325
79,0.219595,,134,94.5,37.3
80,0.222314,,134.25,94.375,37.275
81,0.225032,,134.5,94.25,37.25
82,0.227751,,134.75,94.125,37.225
83,0.23047,,135,94,37.2
84,0.233126,,134.875,94,37.25
85,0.235783,,134.75,94,37.3
86,0.238439,,134.625,94,37.35
87,0.241095,,134.5,94,37.4
88,0.243751,,134.375,94,37.45
89,0.246408,,134.25,94,37.5
90,0.249064,,134.125,94,37.55
91,0.25172,,134,94,37.6
92,0.25441,,134.125,94,37.625
93,0.2571,,134.25,94,37.65
94,0.25979,,134.375,94,37.675
95,0.26248,,134.5,94,37.7
96,0.26517,,134.625,94,37.725
97,0.26786,,134.75,94,37.75
98,0.27055,,134.875,94,37.775
99,0.27324,,135,94,37.8
100,0.275911,,135.125,94,37.825
101,0.278582,,135.25,94,37.85
102,0.281254,,135.375,94,37.875
103,0.283925,,135.5,94,37.9
104,0.286596,,135.625,94,37.925
105,0.289268,,135.75,94,37.95
106,0.291939,,135.875,94,37.975
107,0.29461,,136,94,38
108,0.29728,,136,94,38
109,0.29995,,136,94,38
110,0.30262,,136,94,38
111,0.305079,,135.875,94,38.175
112,0.307538,,135.75,94,38.35
113,0.309996,,135.625,94,38.525
114,0.312455,,135.5,94,38.7
115,0.314914,,135.375,94,38.875
116,0.317373,,135.25,94,39.05
117,0.319831,,135.125,94,39.225
118,0.32229,,135,94,39.4
119,0.324856,,135,94.25,39.375
120,0.327423,,135,94.5,39.35
121,0.329989,,135,94.75,39.325
122,0.332555,,135,95,39.3
123,0.335121,,135,95.25,39.275
124,0.337688,,135,95.5,39.25
125,0.340254,,135,95.75,39.225
126,0.34282,,135,96,39.2
127,0.345519,,135,96,39.15
128,0.348218,,135,96,39.1
129,0.350916,,135,96,39.05
130,0.353615,,135,96,39
131,0.356314,,135,96,38.95
132,0.359013,,135,96,38.9
133,0.361711,,135,96,38.85
134,0.36441,,135,96,38.8
135,0.36719,,135,95.875,38.85
136,0.36997,,135,95.75,38.9
137,0.37275,,135,95.625,38.95
138,0.37553,,135,95.5,39
139,0.37831,,135,95.375,39.05
140,0.38109,,135,95.25,39.1
141,0.38387,,135,95.125,39.15
142,0.38665,,135,95,39.2
143,0.389496,,134.875,95,39.15
144,0.392342,,134.75,95,39.1
145,0.395189,,134.625,95,39.05
146,0.398035,,134.5,95,39
147,0.400881,,134.375,95,38.95
148,0.403728,,134.25,95,38.9
149,0.406574,,134.125,95,38.85
150,0.40942,,134,95,38.8
151,0.412234,,134,95.125,38.85
152,0.415048,,134,95.25,38.9
153,0.417861,,134,95.375,38.95
154,0.420675,,134,95.5,39
155,0.423489,,134,95.625,39.05
156,0.426302,,134,95.75,39.1
157,0.429116,,134,95.875,39.15
158,0.43193,,134,96,39.2
159,0.434707,,134.25,95.875,39.175
160,0.437485,,134.5,95.75,39.15
161,0.440263,,134.75,95.625,39.125
162,0.44304,,135,95.5,39.1
163,0.445817,,135.25,95.375,39.075
164,0.448595,,135.5,95.25,39.05
165,0.451373,,135.75,95.125,39.025
166,0.45415,,136,95,39
167,0.456721,,136,95,39.025
168,0.459292,,136,95,39.05
169,0.461864,,136,95,39.075
170,0.464435,,136,95,39.1
171,0.467006,,136,95,39.125
172,0.469577,,136,95,39.15
173,0.472149,,136,95,39.175
174,0.47472,,136,95,39.2
175,0.477435,,136.25,95,39.25
176,0.48015,,136.5,95,39.3
177,0.482865,,136.75,95,39.35
178,0.48558,,137,95,39.4
179,0.488295,,137.25,95,39.45
180,0.49101,,137.5,95,39.5
181,0.493725,,137.75,95,39.55
182,0.49644,,138,95,39.6
183,0.499191,,138.125,95,39.6
184,0.501942,,138.25,95,39.6
185,0.504694,,138.375,95,39.6
186,0.507445,,138.5,95,39.6
187,0.510196,,138.625,95,39.6
188,0.512948,,138.75,95,39.6
189,0.515699,,138.875,95,39.6
190,0.51845,,139,95,39.6
191,0.52109,,138.875,94.875,39.625
192,0.52373,,138.75,94.75,39.65
193,0.52637,,138.625,94.625,39.675
194,0.52901,,138.5,94.5,39.7
195,0.53165,,138.375,94.375,39.725
196,0.53429,,138.25,94.25,39.75
197,0.53693,,138.125,94.125,39.775
198,0.53957,,138,94,39.8
199,0.542174,,138.125,94,39.85
200,0.544778,,138.25,94,39.9
201,0.547381,,138.375,94,39.95
202,0.549985,,138.5,94,40
203,0.552589,,138.625,94,40.05
204,0.555192,,138.75,94,40.1
205,0.557796,,138.875,94,40.15
206,0.5604,,139,94,40.2
207,0.562895,,139,93.5,40.3
208,0.56539,,139,93,40.4
209,0.567957,,139.125,93,40.375
210,0.570525,,139.25,93,40.35
211,0.573093,,139.375,93,40.325
212,0.57566,,139.5,93,40.3
213,0.578227,,139.625,93,40.275
214,0.580795,,139.75,93,40.25
215,0.583363,,139.875,93,40.225
216,0.58593,,140,93,40.2
217,0.58863,,140.125,93.25,40.25
218,0.59133,,140.25,93.5,40.3
219,0.59403,,140.375,93.75,40.35
220,0.59673,,140.5,94,40.4
221,0.59943,,140.625,94.25,40.45
222,0.60213,,140.75,94.5,40.5
223,0.60483,,140.875,94.75,40.55
224,0.60753,,141,95,40.6
225,0.61032,,141,95,40.65
226,0.61311,,141,95,40.7
227,0.6159,,141,95,40.75
228,0.61869,,141,95,40.8
229,0.62148,,141,95,40.85
230,0.62427,,141,95,40.9
231,0.62706,,141,95,40.95
232,0.62985,,141,95,41
233,0.632553,,141,95,41.0667
234,0.635257,,141,95,41.1333
235,0.63796,,141,95,41.2
236,0.640663,,141,95,41.2667
237,0.643367,,141,95,41.3333
238,0.64607,,141,95,41.4
239,0.64863,,140.25,94.5,41.4
240,0.65119,,139.5,94,41.4
241,0.65375,,138.75,93.5,41.4
242,0.65631,,138,93,41.4
243,0.658752,,138,92.8889,41.4667
244,0.661194,,138,92.7778,41.5333
245,0.663637,,138,92.6667,41.6
246,0.666079,,138,92.5556,41.6667
247,0.668521,,138,92.4444,41.7333
248,0.670963,,138,92.3333,41.8
249,0.673406,,138,92.2222,41.8667
250,0.675848,,138,92.1111,41.9333
251,0.67829,,138,92,42
252,0.680885,,138.125,92.125,42
253,0.68348,,138.25,92.25,42
254,0.686075,,138.375,92.375,42
255,0.68867,,138.5,92.5,42
256,0.691265,,138.625,92.625,42
257,0.69386,,138.75,92.75,42
258,0.696455,,138.875,92.875,42
259,0.69905,,139,93,42
260,0.701642,,138.875,93,42
261,0.704235,,138.75,93,42
262,0.706827,,138.625,93,42
263,0.70942,,138.5,93,42
264,0.712013,,138.375,93,42
265,0.714605,,138.25,93,42
266,0.717198,,138.125,93,42
267,0.71979,,138,93,42
268,0.722585,,138,93,42.2
269,0.72538,,138,93,42.4
270,0.728061,,137.875,93.25,42.375
271,0.730743,,137.75,93.5,42.35
272,0.733424,,137.625,93.75,42.325
273,0.736105,,137.5,94,42.3
274,0.738786,,137.375,94.25,42.275
275,0.741467,,137.25,94.5,42.25
276,0.744149,,137.125,94.75,42.225
277,0.74683,,137,95,42.2
278,0.749449,,137.25,94.75,42.275
279,0.752067,,137.5,94.5,42.35
280,0.754686,,137.75,94.25,42.425
281,0.757305,,138,94,42.5
282,0.759924,,138.25,93.75,42.575
283,0.762543,,138.5,93.5,42.65
284,0.765161,,138.75,93.25,42.725
285,0.76778,,139,93,42.8
286,0.770361,,138.875,93.125,42.825
287,0.772942,,138.75,93.25,42.85
