secs,km,power,hr,cad,alt
0,0,,85,,554
1,0.00131,,85,,554
2,0.00302286,,85.5714,,554
3,0.00473571,,86.1429,,554
4,0.00644857,,86.7143,,554
5,0.00816143,,87.2857,,554
6,0.00987429,,87.8571,,554
7,0.0115871,,88.4286,,554
8,0.0133,,89,,554
9,0.01457,,95,,553.8
10,0.01597,,99,,553.8
11,0.01774,,101.5,,553.9
12,0.01951,,104,,554
13,0.02152,,107,,554
14,0.023745,,109,,554.1
15,0.02597,,111,,554.2
16,0.028355,,113.5,,554.2
17,0.03074,,116,,554.2
18,0.033585,,117.5,,554.3
19,0.03643,,119,,554.4
20,0.0392467,,120,,554.4
21,0.0420633,,121,,554.4
22,0.04488,,122,,554.4
23,0.0481067,,123,,554.4
24,0.0513333,,124,,554.4
25,0.05456,,125,,554.4
26,0.05773,,126,,554.467
27,0.0609,,127,,554.533
28,0.06407,,128,,554.6
29,0.067075,,128.75,,554.65
30,0.07008,,129.5,,554.7
31,0.073085,,130.25,,554.75
32,0.07609,,131,,554.8
33,0.0790533,,132,,554.8
34,0.0820167,,133,,554.8
35,0.08498,,134,,554.8
36,0.08809,,135.5,,554.8
37,0.0912,,137,,554.8
38,0.09451,,138,,554.733
39,0.09782,,139,,554.667
40,0.10113,,140,,554.6
41,0.105575,,140.75,,554.55
42,0.11002,,141.5,,554.5
43,0.114465,,142.25,,554.45
44,0.11891,,143,,554.4
45,0.122157,,143.75,,554.35
46,0.125405,,144.5,,554.3
47,0.128652,,145.25,,554.25
48,0.1319,,146,,554.2
49,0.13488,,146.75,,554.15
50,0.13786,,147.5,,554.1
51,0.14084,,148.25,,554.05
52,0.14382,,149,,554
53,0.146862,,149.5,,554
54,0.149903,,150,,554
55,0.152945,,150.5,,554
56,0.155987,,151,,554
57,0.159028,,151.5,,554
58,0.16207,,152,,554
59,0.164949,,152.286,,554
60,0.167827,,152.571,,554
61,0.170706,,152.857,,554
62,0.173584,,153.143,,554
63,0.176463,,153.429,,554
64,0.179341,,153.714,,554
65,0.18222,,154,,554
66,0.185035,,154,,554
67,0.18785,,154,,554
68,0.190665,,154,,554
69,0.19348,,154,,554
70,0.196295,,154,,554
71,0.19911,,154,,554
72,0.201925,,154,,554
73,0.20474,,154,,554
74,0.207544,,153.875,,554
75,0.210347,,153.75,,554
76,0.213151,,153.625,,554
77,0.215955,,153.5,,554
78,0.218759,,153.375,,554
79,0.221563,,153.25,,554
80,0.224366,,153.125,,554
81,0.22717,,153,,554
82,0.22983,,153,,554
83,0.23249,,153,,554
84,0.23515,,153,,554
85,0.23781,,153,,554
86,0.24047,,153,,554
87,0.24313,,153,,554
88,0.24579,,153,,554
89,0.24845,,153,,554
90,0.251035,,153.125,,554
91,0.25362,,153.25,,554
92,0.256205,,153.375,,554
93,0.25879,,153.5,,554
94,0.261375,,153.625,,554
95,0.26396,,153.75,,554
96,0.266545,,153.875,,554
97,0.26913,,154,,554
98,0.271071,,153.5,,554.025
99,0.273012,,153,,554.05
100,0.274954,,152.5,,554.075
101,0.276895,,152,,554.1
102,0.278836,,151.5,,554.125
103,0.280777,,151,,554.15
104,0.282719,,150.5,,554.175
105,0.28466,,150,,554.2
106,0.28628,,149,,554.2
107,0.2879,,148,,554.2
108,0.28952,,147,,554.2
109,0.291679,,146.9,,554.14
110,0.293838,,146.8,,554.08
111,0.295997,,146.7,,554.02
112,0.298156,,146.6,,553.96
113,0.300315,,146.5,,553.9
114,0.302474,,146.4,,553.84
115,0.304633,,146.3,,553.78
116,0.306792,,146.2,,553.72
117,0.308951,,146.1,,553.66
118,0.31111,,146,,553.6
119,0.314154,,146,,553.514
120,0.317199,,146,,553.429
121,0.320243,,146,,553.343
122,0.323287,,146,,553.257
123,0.326331,,146,,553.171
124,0.329376,,146,,553.086
125,0.33242,,146,,553
126,0.335451,,146.143,,553.029
127,0.338483,,146.286,,553.057
128,0.341514,,146.429,,553.086
129,0.344546,,146.571,,553.114
130,0.347577,,146.714,,553.143
131,0.350609,,146.857,,553.171
132,0.35364,,147,,553.2
133,0.356679,,147,,553.286
134,0.359717,,147,,553.371
135,0.362756,,147,,553.457
136,0.365794,,147,,553.543
137,0.368833,,147,,553.629
138,0.371871,,147,,553.714
139,0.37491,,147,,553.8
140,0.377676,,147,,553.875
141,0.380442,,147,,553.95
142,0.383209,,147,,554.025
143,0.385975,,147,,554.1
144,0.388741,,147,,554.175
145,0.391507,,147,,554.25
146,0.394274,,147,,554.325
147,0.39704,,147,,554.4
148,0.399734,,146.4,,554.4
149,0.402428,,145.8,,554.4
150,0.405122,,145.2,,554.4
151,0.407816,,144.6,,554.4
152,0.41051,,144,,554.4
153,0.412809,,144,,554.38
154,0.415108,,144,,554.36
155,0.417407,,144,,554.34
156,0.419706,,144,,554.32
157,0.422005,,144,,554.3
158,0.424304,,144,,554.28
159,0.426603,,144,,554.26
160,0.428902,,144,,554.24
161,0.431201,,144,,554.22
162,0.4335,,144,,554.2
163,0.436167,,144,,554.175
164,0.438835,,144,,554.15
165,0.441502,,144,,554.125
166,0.44417,,144,,554.1
167,0.446837,,144,,554.075
168,0.449505,,144,,554.05
169,0.452172,,144,,554.025
170,0.45484,,144,,554
171,0.458477,,144.333,,553.967
172,0.462113,,144.667,,553.933
173,0.46575,,145,,553.9
174,0.469387,,145.333,,553.867
175,0.473023,,145.667,,553.833
176,0.47666,,146,,553.8
177,0.479428,,146.6,,553.72
178,0.482196,,147.2,,553.64
179,0.484964,,147.8,,553.56
180,0.487732,,148.4,,553.48
181,0.4905,,149,,553.4
182,0.4933,,149,,553.2
183,0.49583,,148.875,,553.225
184,0.49836,,148.75,,553.25
185,0.50089,,148.625,,553.275
186,0.50342,,148.5,,553.3
187,0.50595,,148.375,,553.325
188,0.50848,,148.25,,553.35
189,0.51101,,148.125,,553.375
190,0.51354,,148,,553.4
191,0.516427,,147.667,,553.4
192,0.519313,,147.333,,553.4
193,0.5222,,147,,553.4
194,0.525087,,146.667,,553.4
195,0.527973,,146.333,,553.4
196,0.53086,,146,,553.4
197,0.533588,,145.875,,553.35
198,0.536315,,145.75,,553.3
199,0.539043,,145.625,,553.25
200,0.54177,,145.5,,553.2
201,0.544498,,145.375,,553.15
202,0.547225,,145.25,,553.1
203,0.549953,,145.125,,553.05
204,0.55268,,145,,553
205,0.55558,,146,,553
206,0.55848,,147,,553
207,0.56138,,148,,553
208,0.56428,,149,,553
209,0.566733,,149.111,,553.022
210,0.569187,,149.222,,553.044
211,0.57164,,149.333,,553.067
212,0.574093,,149.444,,553.089
213,0.576547,,149.556,,553.111
214,0.579,,149.667,,553.133
215,0.581453,,149.778,,553.156
216,0.583907,,149.889,,553.178
217,0.58636,,150,,553.2
218,0.5897,,151,,553.2
219,0.593292,,151.333,,553.2
