secs,km,power,hr,cad,alt
0,0,,98,,129.6
1,0.00062,,98,,129.4
2,0.00269429,,98.4286,,129.257
3,0.00476857,,98.8571,,129.114
4,0.00684286,,99.2857,,128.971
5,0.00891714,,99.7143,,128.829
6,0.0109914,,100.143,,128.686
7,0.0130657,,100.571,,128.543
8,0.01514,,101,,128.4
9,0.01732,,102,,128.2
10,0.0200667,,103,,127.867
11,0.0228133,,104,,127.533
12,0.02556,,105,,127.2
13,0.028085,,106.5,,126.9
14,0.03061,,108,,126.6
15,0.033075,,109.5,,126.2
16,0.03554,,111,,125.8
17,0.03838,,111.75,,125.55
18,0.04122,,112.5,,125.3
19,0.04406,,113.25,,125.05
20,0.0469,,114,,124.8
21,0.0497471,,114.429,,124.714
22,0.0525943,,114.857,,124.629
23,0.0554414,,115.286,,124.543
24,0.0582886,,115.714,,124.457
25,0.0611357,,116.143,,124.371
26,0.0639829,,116.571,,124.286
27,0.06683,,117,,124.2
28,0.069715,,117.5,,124.167
29,0.0726,,118,,124.133
30,0.075485,,118.5,,124.1
31,0.07837,,119,,124.067
32,0.081255,,119.5,,124.033
33,0.08414,,120,,124
34,0.0870533,,120.5,,123.933
35,0.0899667,,121,,123.867
36,0.09288,,121.5,,123.8
37,0.0957933,,122,,123.733
38,0.0987067,,122.5,,123.667
39,0.10162,,123,,123.6
40,0.104398,,123.5,,123.667
41,0.107177,,124,,123.733
42,0.109955,,124.5,,123.8
43,0.112733,,125,,123.867
44,0.115512,,125.5,,123.933
45,0.11829,,126,,124
46,0.12131,,126,,123.8
47,0.124169,,126.429,,123.8
48,0.127027,,126.857,,123.8
49,0.129886,,127.286,,123.8
50,0.132744,,127.714,,123.8
51,0.135603,,128.143,,123.8
52,0.138461,,128.571,,123.8
53,0.14132,,129,,123.8
54,0.144273,,129.286,,123.657
55,0.147226,,129.571,,123.514
56,0.150179,,129.857,,123.371
57,0.153131,,130.143,,123.229
58,0.156084,,130.429,,123.086
59,0.159037,,130.714,,122.943
60,0.16199,,131,,122.8
61,0.16458,,131.429,,122.743
62,0.16717,,131.857,,122.686
63,0.16976,,132.286,,122.629
64,0.17235,,132.714,,122.571
65,0.17494,,133.143,,122.514
66,0.17753,,133.571,,122.457
67,0.18012,,134,,122.4
68,0.182981,,134,,122.45
69,0.185842,,134,,122.5
70,0.188704,,134,,122.55
71,0.191565,,134,,122.6
72,0.194426,,134,,122.65
73,0.197288,,134,,122.7
74,0.200149,,134,,122.75
75,0.20301,,134,,122.8
76,0.20588,,133.857,,122.943
77,0.20875,,133.714,,123.086
78,0.21162,,133.571,,123.229
79,0.21449,,133.429,,123.371
80,0.21736,,133.286,,123.514
81,0.22023,,133.143,,123.657
82,0.2231,,133,,123.8
83,0.22612,,133.143,,123.971
84,0.22914,,133.286,,124.143
85,0.23216,,133.429,,124.314
86,0.23518,,133.571,,124.486
87,0.2382,,133.714,,124.657
88,0.24122,,133.857,,124.829
89,0.24424,,134,,125
90,0.246697,,134.167,,125.133
91,0.249153,,134.333,,125.267
92,0.25161,,134.5,,125.4
93,0.254067,,134.667,,125.533
94,0.256523,,134.833,,125.667
95,0.25898,,135,,125.8
96,0.261402,,135.111,,125.822
97,0.263824,,135.222,,125.844
98,0.266247,,135.333,,125.867
99,0.268669,,135.444,,125.889
100,0.271091,,135.556,,125.911
101,0.273513,,135.667,,125.933
102,0.275936,,135.778,,125.956
103,0.278358,,135.889,,125.978
104,0.28078,,136,,126
105,0.28341,,136,,126.375
106,0.28604,,136,,126.75
107,0.28867,,136,,127.125
108,0.2913,,136,,127.5
109,0.29393,,136,,127.875
110,0.29656,,136,,128.25
111,0.29919,,136,,128.625
112,0.30182,,136,,129
113,0.304746,,136.143,,129.914
114,0.307671,,136.286,,130.829
115,0.310597,,136.429,,131.743
116,0.313523,,136.571,,132.657
117,0.316449,,136.714,,133.571
118,0.319374,,136.857,,134.486
119,0.3223,,137,,135.4
120,0.325129,,137.125,,136.1
121,0.327957,,137.25,,136.8
122,0.330786,,137.375,,137.5
123,0.333615,,137.5,,138.2
124,0.336444,,137.625,,138.9
125,0.339273,,137.75,,139.6
126,0.342101,,137.875,,140.3
127,0.34493,,138,,141
128,0.347609,,138,,141.575
129,0.350288,,138,,142.15
130,0.352966,,138,,142.725
131,0.355645,,138,,143.3
132,0.358324,,138,,143.875
133,0.361002,,138,,144.45
134,0.363681,,138,,145.025
135,0.36636,,138,,145.6
136,0.368591,,137.667,,145.978
137,0.370822,,137.333,,146.356
138,0.373053,,137,,146.733
139,0.375284,,136.667,,147.111
140,0.377516,,136.333,,147.489
141,0.379747,,136,,147.867
142,0.381978,,135.667,,148.244
143,0.384209,,135.333,,148.622
144,0.38644,,135,,149
145,0.388547,,134.8,,149.2
146,0.390654,,134.6,,149.4
147,0.392761,,134.4,,149.6
148,0.394868,,134.2,,149.8
149,0.396975,,134,,150
150,0.399082,,133.8,,150.2
151,0.401189,,133.6,,150.4
152,0.403296,,133.4,,150.6
153,0.405403,,133.2,,150.8
154,0.40751,,133,,151
155,0.40906,,133.5,,151.1
156,0.41061,,134,,151.2
157,0.412277,,134.5,,151.067
158,0.413943,,135,,150.933
159,0.41561,,135.5,,150.8
160,0.417277,,136,,150.667
161,0.418943,,136.5,,150.533
162,0.42061,,137,,150.4
163,0.422758,,137.5,,150.2
164,0.424907,,138,,150
165,0.427055,,138.5,,149.8
166,0.429203,,139,,149.6
167,0.431352,,139.5,,149.4
168,0.4335,,140,,149.2
169,0.435778,,140.5,,148.8
170,0.438057,,141,,148.4
171,0.440335,,141.5,,148
172,0.442613,,142,,147.6
173,0.444892,,142.5,,147.2
174,0.44717,,143,,146.8
175,0.449414,,143.111,,146.111
176,0.451659,,143.222,,145.422
177,0.453903,,143.333,,144.733
178,0.456148,,143.444,,144.044
179,0.458392,,143.556,,143.356
180,0.460637,,143.667,,142.667
181,0.462881,,143.778,,141.978
182,0.465126,,143.889,,141.289
183,0.46737,,144,,140.6
184,0.470281,,143.857,,139.857
185,0.473193,,143.714,,139.114
186,0.476104,,143.571,,138.371
187,0.479016,,143.429,,137.629
188,0.481927,,143.286,,136.886
189,0.484839,,143.143,,136.143
190,0.48775,,143,,135.4
191,0.490686,,142.857,,135.029
192,0.493621,,142.714,,134.657
193,0.496557,,142.571,,134.286
194,0.499493,,142.429,,133.914
195,0.502429,,142.286,,133.543
196,0.505364,,142.143,,133.171
197,0.5083,,142,,132.8
198,0.51124,,141.857,,132.543
199,0.51418,,141.714,,132.286
200,0.51712,,141.571,,132.029
201,0.52006,,141.429,,131.771
202,0.523,,141.286,,131.514
203,0.52594,,141.143,,131.257
204,0.52888,,141,,131
205,0.53158,,141,,130.725
206,0.53428,,141,,130.45
207,0.53698,,141,,130.175
208,0.53968,,141,,129.9
209,0.54238,,141,,129.625
210,0.54508,,141,,129.35
211,0.54778,,141,,129.075
212,0.55048,,141,,128.8
213,0.553471,,141.286,,128.714
214,0.556463,,141.571,,128.629
215,0.559454,,141.857,,128.543
216,0.562446,,142.143,,128.457
217,0.565437,,142.429,,128.371
218,0.568429,,142.714,,128.286
219,0.57142,,143,,128.2
220,0.574483,,143.286,,128.2
221,0.577546,,143.571,,128.2
222,0.580609,,143.857,,128.2
223,0.583671,,144.143,,128.2
224,0.586734,,144.429,,128.2
225,0.589797,,144.714,,128.2
226,0.59286,,145,,128.2
227,0.595766,,145,,128.343
228,0.598671,,145,,128.486
229,0.601577,,145,,128.629
230,0.604483,,145,,128.771
231,0.607389,,145,,128.914
232,0.610294,,145,,129.057
233,0.6132,,145,,129.2
234,0.61579,,144,,129
235,0.6186,,144.125,,128.975
236,0.62141,,144.25,,128.95
237,0.62422,,144.375,,128.925
238,0.62703,,144.5,,128.9
239,0.62984,,144.625,,128.875
240,0.63265,,144.75,,128.85
241,0.63546,,144.875,,128.825
242,0.63827,,145,,128.8
243,0.641419,,145.143,,128.943
244,0.644567,,145.286,,129.086
245,0.647716,,145.429,,129.229
246,0.650864,,145.571,,129.371
247,0.654013,,145.714,,129.514
248,0.657161,,145.857,,129.657
249,0.66031,,146,,129.8
250,0.663477,,145.857,,130.086
251,0.666644,,145.714,,130.371
252,0.669811,,145.571,,130.657
253,0.672979,,145.429,,130.943
254,0.676146,,145.286,,131.229
255,0.679313,,145.143,,131.514
256,0.68248,,145,,131.8
257,0.6856,,144.857,,132.257
258,0.68872,,144.714,,132.714
259,0.69184,,144.571,,133.171
260,0.69496,,144.429,,133.629
261,0.69808,,144.286,,134.086
262,0.7012,,144.143,,134.543
263,0.70432,,144,,135
264,0.707257,,143.714,,135.2
265,0.710194,,143.429,,135.4
266,0.713131,,143.143,,135.6
267,0.716069,,142.857,,135.8
268,0.719006,,142.571,,136
269,0.721943,,142.286,,136.2
270,0.72488,,142,,136.4
271,0.727856,,141.857,,136.771
272,0.730831,,141.714,,137.143
273,0.733807,,141.571,,137.514
274,0.736783,,141.429,,137.886
275,0.739759,,141.286,,138.257
276,0.742734,,141.143,,138.629
277,0.74571,,141,,139
278,0.74837,,140.667,,139.067
279,0.75103,,140.333,,139.133
280,0.75369,,140,,139.2
281,0.756295,,140.25,,139.525
282,0.7589,,140.5,,139.85
283,0.761505,,140.75,,140.175
284,0.76411,,141,,140.5
285,0.766715,,141.25,,140.825
286,0.76932,,141.5,,141.15
287,0.771925,,141.75,,141.475
288,0.77453,,142,,141.8
289,0.777213,,142.5,,141.7
290,0.779897,,143,,141.6
291,0.78258,,143.5,,141.5
292,0.785263,,144,,141.4
293,0.787947,,144.5,,141.3
294,0.79063,,145,,141.2
295,0.793967,,145.5,,141.333
296,0.797303,,146,,141.467
297,0.80064,,146.5,,141.6
298,0.803977,,147,,141.733
299,0.807313,,147.5,,141.867
300,0.81065,,148,,142
301,0.81375,,148.143,,142.057
302,0.81685,,148.286,,142.114
303,0.81995,,148.429,,142.171
304,0.82305,,148.571,,142.229
305,0.82615,,148.714,,142.286
306,0.82925,,148.857,,142.343
307,0.83235,,149,,142.4
308,0.83569,,149.167,,142.833
309,0.83903,,149.333,,143.267
310,0.84237,,149.5,,143.7
311,0.84571,,149.667,,144.133
312,0.84905,,149.833,,144.567
313,0.85239,,150,,145
314,0.855758,,150,,145.4
315,0.859127,,150,,145.8
316,0.862495,,150,,146.2
317,0.865863,,150,,146.6
318,0.869232,,150,,147
319,0.8726,,150,,147.4
320,0.87403,,150,,148.5
321,0.87546,,150,,149.6
322,0.87689,,150,,150.7
323,0.87832,,150,,151.8
324,0.880573,,150,,152.667
325,0.882827,,150,,153.533
326,0.88508,,150,,154.4
327,0.888139,,150,,154.543
328,0.891197,,150,,154.686
329,0.894256,,150,,154.829
330,0.897314,,150,,154.971
331,0.900373,,150,,155.114
332,0.903431,,150,,155.257
333,0.90649,,150,,155.4
334,0.90809,,150.5,,154.8
335,0.90969,,151,,154.2
336,0.912262,,151.125,,153.95
337,0.914835,,151.25,,153.7
338,0.917408,,151.375,,153.45
339,0.91998,,151.5,,153.2
340,0.922552,,151.625,,152.95
341,0.925125,,151.75,,152.7
342,0.927698,,151.875,,152.45
343,0.93027,,152,,152.2
344,0.93202,,152,,152.4
345,0.935187,,152,,151.257
346,0.938354,,152,,150.114
347,0.941521,,152,,148.971
348,0.944689,,152,,147.829
349,0.947856,,152,,146.686
350,0.951023,,152,,145.543
351,0.95419,,152,,144.4
352,0.957387,,152,,143.2
353,0.960584,,152,,142
354,0.963781,,152,,140.8
355,0.966979,,152,,139.6
356,0.970176,,152,,138.4
357,0.973373,,152,,137.2
358,0.97657,,152,,136
359,0.97928,,152,,135.2
360,0.981754,,152.222,,134.911
361,0.984229,,152.444,,134.622
362,0.986703,,152.667,,134.333
363,0.989178,,152.889,,134.044
364,0.991652,,153.111,,133.756
365,0.994127,,153.333,,133.467
366,0.996601,,153.556,,133.178
367,0.999076,,153.778,,132.889
368,1.00155,,154,,132.6
369,1.00357,,154.1,,132.44
370,1.00558,,154.2,,132.28
371,1.0076,,154.3,,132.12
372,1.00962,,154.4,,131.96
373,1.01164,,154.5,,131.8
374,1.01365,,154.6,,131.64
375,1.01567,,154.7,,131.48
376,1.01769,,154.8,,131.32
377,1.0197,,154.9,,131.16
378,1.02172,,155,,131
379,1.02378,,154.9,,130.76
380,1.02584,,154.8,,130.52
381,1.02791,,154.7,,130.28
382,1.02997,,154.6,,130.04
383,1.03203,,154.5,,129.8
384,1.03409,,154.4,,129.56
385,1.03615,,154.3,,129.32
386,1.03822,,154.2,,129.08
387,1.04028,,154.1,,128.84
388,1.04234,,154,,128.6
389,1.04443,,154,,128.6
390,1.0465,,154.3,,128.54
391,1.04857,,154.6,,128.48
392,1.05064,,154.9,,128.42
393,1.05271,,155.2,,128.36
394,1.05478,,155.5,,128.3
395,1.05686,,155.8,,128.24
396,1.05893,,156.1,,128.18
397,1.061,,156.4,,128.12
398,1.06307,,156.7,,128.06
399,1.06514,,157,,128
400,1.06794,,157,,128.2
401,1.07074,,157,,128.4
402,1.07354,,157,,128.6
403,1.07634,,157,,128.8
404,1.07914,,157,,129
405,1.08209,,157,,129.714
406,1.08504,,157,,130.429
407,1.08799,,157,,131.143
408,1.09094,,157,,131.857
409,1.09389,,157,,132.571
410,1.09684,,157,,133.286
411,1.09979,,157,,134
412,1.10221,,157,,134.55
413,1.10464,,157,,135.1
414,1.10706,,157,,135.65
415,1.10948,,157,,136.2
416,1.11191,,157,,136.75
417,1.11433,,157,,137.3
418,1.11676,,157,,137.85
419,1.11918,,157,,138.4
420,1.1215,,157,,139.022
421,1.12381,,157,,139.644
422,1.12613,,157,,140.267
423,1.12844,,157,,140.889
424,1.13076,,157,,141.511
425,1.13307,,157,,142.133
426,1.13539,,157,,142.756
427,1.1377,,157,,143.378
428,1.14002,,157,,144
429,1.14271,,156.714,,143.8
430,1.14541,,156.429,,143.6
431,1.1481,,156.143,,143.4
432,1.15079,,155.857,,143.2
433,1.15348,,155.571,,143
434,1.15618,,155.286,,142.8
435,1.15887,,155,,142.6
436,1.16165,,154.875,,143.525
437,1.16443,,154.75,,144.45
438,1.16721,,154.625,,145.375
439,1.16999,,154.5,,146.3
440,1.17277,,154.375,,147.225
441,1.17555,,154.25,,148.15
