secs,km,power,hr,cad,alt
0,0,,67,,20.6
1,0.00205,,68,,21.2
2,0.00532,,68,,19.6
3,0.00841,,69,,19.6
4,0.01224,,70,,19.6
5,0.01618,,69,,19.6
6,0.02032,,66,,18.2
7,0.02426,,66,,17
8,0.02798,,69,,16.2
9,0.0317,,74,,15.4
10,0.03551,,74,,14.6
11,0.03932,,76,,14
12,0.04309,,79,,13.2
13,0.04675,,79,,12.8
14,0.05013,,83,,12.4
15,0.05372,,83,,12
16,0.05729,,87,,12
17,0.06065,,88,,11.6
18,0.06402,,89,,11.6
19,0.06743,,91,,11.6
20,0.07101,,91,,11.2
21,0.07447,,91,,11
22,0.07762,,92,,11
23,0.08019,,92,,11
24,0.08279,,92,,10.8
25,0.08583,,93,,10.6
26,0.08901,,93,,10.6
27,0.09235,,93,,10.8
28,0.09559,,93,,10.8
29,0.09889,,95,,11
30,0.10225,,96,,11
31,0.10561,,98,,11
32,0.10883,,99,,11
33,0.11219,,100,,10.8
34,0.11521,,100,,11
35,0.11837,,101,,11
36,0.12152,,100,,11
37,0.12459,,99,,10.8
38,0.12774,,100,,11
39,0.13068,,101,,11
40,0.13391,,99,,11
41,0.137,,99,,11.2
42,0.13993,,100,,11.2
43,0.14276,,101,,11.4
44,0.14578,,102,,11.4
45,0.14888,,102,,11.8
46,0.15209,,102,,11.6
47,0.15525,,100,,11.8
48,0.15831,,102,,12
49,0.16147,,103,,12.2
50,0.16463,,102,,12.2
51,0.16772,,100,,12.2
52,0.17071,,102,,12.2
53,0.17368,,104,,12.4
54,0.17687,,104,,12.4
55,0.18007,,107,,12.6
56,0.18331,,106,,12.8
57,0.18654,,106,,13
58,0.18985,,109,,13
59,0.19308,,110,,13.4
60,0.19642,,110,,13.4
61,0.19967,,110,,13.8
62,0.20288,,111,,14
63,0.20613,,111,,14.2
64,0.20961,,111,,14
65,0.21289,,111,,14.2
66,0.21632,,111,,14
67,0.21954,,111,,13.8
68,0.22269,,111,,13.6
69,0.22567,,110,,13.8
70,0.22908,,110,,13.4
71,0.23231,,109,,13.6
72,0.2356,,109,,13.4
73,0.2386,,107,,13.4
74,0.24167,,107,,13
75,0.24478,,107,,12.8
76,0.24794,,106,,12.8
77,0.25104,,105,,12.6
78,0.25395,,104,,12.6
79,0.25701,,104,,12.6
80,0.2602,,104,,12.6
81,0.26353,,107,,12.6
82,0.26664,,109,,12.4
83,0.26976,,108,,12.4
84,0.27302,,109,,12.4
85,0.27637,,111,,12.6
86,0.27965,,111,,12.6
87,0.28276,,112,,12.6
88,0.28572,,114,,12.4
89,0.28861,,114,,12.6
90,0.29136,,114,,12.6
91,0.294,,114,,12.2
92,0.29687,,113,,12
93,0.29979,,113,,11.8
94,0.3026,,113,,11.6
95,0.30536,,113,,11.2
96,0.30791,,112,,11
97,0.31071,,112,,10.8
98,0.31369,,113,,10.6
99,0.31698,,113,,10.2
100,0.32015,,114,,10
101,0.32353,,114,,9.8
102,0.32641,,115,,9.6
103,0.32954,,115,,9.4
104,0.33279,,115,,9.4
105,0.33594,,115,,9.2
106,0.33902,,114,,9.2
107,0.34216,,114,,9.2
108,0.34522,,114,,9.2
109,0.34828,,114,,9.2
110,0.35139,,114,,8.8
111,0.35483,,113,,8.6
112,0.3581,,114,,8.6
113,0.36149,,116,,8.6
114,0.36469,,116,,8.6
115,0.36802,,116,,8.8
116,0.37118,,116,,8.8
117,0.3743,,116,,8.6
118,0.37724,,116,,8.4
119,0.38038,,116,,8.2
120,0.38343,,116,,8.2
121,0.38659,,116,,8
122,0.38958,,116,,8
123,0.3926,,116,,7.8
124,0.3957,,116,,7.6
125,0.3988,,116,,7.4
126,0.4018,,116,,7.4
127,0.40479,,116,,7
128,0.40765,,116,,7
129,0.41073,,116,,6.6
130,0.4139,,116,,6.4
131,0.41727,,116,,6.2
132,0.42089,,116,,6.2
133,0.42428,,116,,6
134,0.42737,,116,,5.8
135,0.43044,,116,,5.6
136,0.43332,,116,,5.4
137,0.43633,,116,,5.4
138,0.43926,,116,,5.2
139,0.4424,,116,,5
140,0.44534,,116,,5
141,0.44839,,116,,4.6
142,0.4514,,116,,4.6
143,0.45476,,116,,4.4
144,0.45796,,114,,4.4
145,0.46107,,113,,4.4
146,0.46419,,113,,4.2
147,0.46733,,110,,4
148,0.47044,,110,,3.6
149,0.47363,,110,,3.4
150,0.47675,,110,,3.4
151,0.47986,,110,,3.4
152,0.48309,,109,,3.4
153,0.48632,,109,,3.2
154,0.48957,,109,,3
155,0.49282,,109,,2.8
156,0.49604,,112,,2.6
157,0.49924,,112,,2.6
158,0.50249,,113,,2.4
159,0.50559,,115,,2.4
160,0.50883,,117,,2.4
161,0.51203,,116,,2.6
162,0.51527,,114,,2.6
163,0.51855,,117,,3
164,0.52164,,117,,3.2
165,0.52468,,117,,3
166,0.52751,,116,,3
167,0.53016,,116,,3
168,0.533,,116,,3
169,0.53605,,116,,3.2
170,0.53945,,116,,3.4
171,0.54279,,117,,3.8
172,0.54628,,117,,3.8
173,0.54964,,117,,4
174,0.55318,,116,,3.8
175,0.55657,,116,,4.2
176,0.56011,,116,,4.6
177,0.56351,,116,,5
178,0.56697,,115,,5.2
179,0.57029,,115,,5.6
180,0.5739,,114,,5.6
181,0.57742,,114,,5.8
182,0.58096,,114,,6
183,0.58441,,114,,6.4
184,0.58804,,114,,6.8
185,0.59163,,114,,7
186,0.59535,,114,,7
187,0.5989,,114,,7.2
188,0.60248,,114,,7
189,0.60606,,114,,7.2
190,0.6096,,114,,7.2
191,0.61347,,114,,7.6
192,0.61716,,113,,8
193,0.62066,,113,,8
194,0.624,,113,,8.2
195,0.62724,,113,,8
196,0.63064,,113,,8
197,0.6339,,113,,7.6
198,0.6372,,112,,7.6
199,0.64042,,111,,7.2
200,0.64369,,112,,7.2
201,0.64712,,114,,7
202,0.65034,,114,,7
203,0.65367,,114,,6.6
204,0.65695,,115,,7
205,0.66029,,117,,6.6
206,0.66352,,117,,6.6
207,0.66685,,117,,6.6
208,0.67021,,116,,6.6
209,0.67355,,116,,6.4
210,0.67644,,116,,6.2
211,0.67931,,116,,6
212,0.68209,,116,,5.8
213,0.68525,,117,,5.4
214,0.68839,,117,,5.4
215,0.69178,,116,,5.2
216,0.69503,,116,,5.2
217,0.69838,,116,,5
218,0.70184,,116,,5.2
219,0.70583,,116,,5.2
220,0.70968,,116,,5.2
221,0.71357,,114,,4.8
222,0.71709,,114,,4.6
223,0.72065,,114,,4.4
224,0.72395,,115,,4.4
225,0.7274,,115,,4
226,0.7306,,115,,3.8
