secs,km,power,hr,cad,alt
0,0,,90,59,397.2
1,0.00202,,93,59,397.4
2,0.00447,,94,70,397.6
3,0.00727,,94,75,397.4
4,0.01042,,93,80,397.4
5,0.01598,,92,80,397.4
6,0.01963,,92,80,397.2
7,0.02307,,93,80,397
8,0.02654,,94,81,396.8
9,0.02967,,95,81,396.8
10,0.03278,,96,81,396.8
11,0.0358,,96,80,396.8
12,0.03842,,97,80,396.8
13,0.04105,,97,80,396.8
14,0.0436,,97,80,396.8
15,0.0461,,97,80,396.8
16,0.0487,,97,80,396.8
17,0.05139,,98,79,396.8
18,0.05395,,99,79,396.8
19,0.05655,,99,79,396.6
20,0.05925,,100,79,396.6
21,0.06183,,100,79,396.6
22,0.06453,,101,80,396.6
23,0.0673,,101,79,396.6
24,0.07003,,100,79,396.6
25,0.07273,,100,79,396.4
26,0.07554,,101,79,396.2
27,0.07827,,101,79,396.2
28,0.08112,,103,80,396.4
29,0.08404,,104,80,396.4
30,0.08678,,105,80,396.4
31,0.08945,,105,80,396.4
32,0.09222,,105,79,396.2
33,0.09495,,105,79,396.2
34,0.0976,,105,80,396
35,0.10026,,106,80,396
36,0.10284,,107,80,396
37,0.10538,,108,79,396
38,0.10807,,110,80,396
39,0.11077,,110,80,396
40,0.1135,,111,80,396
41,0.11627,,111,80,396
42,0.11899,,110,80,395.8
43,0.12191,,109,80,395.8
44,0.12505,,109,80,395.8
45,0.12812,,110,79,395.8
46,0.13129,,110,79,395.6
47,0.13454,,109,79,395.6
48,0.13756,,109,79,395.6
49,0.14051,,110,79,395.6
50,0.14362,,110,79,395.6
51,0.1466,,111,79,395.6
52,0.14945,,111,79,395.8
53,0.15243,,112,79,395.6
54,0.1553,,112,79,395.4
55,0.15805,,111,80,395.4
56,0.16089,,111,80,395.6
57,0.16358,,113,80,395.8
58,0.16609,,113,80,395.8
59,0.16884,,114,80,396
60,0.17157,,115,80,396.2
61,0.1744,,115,80,396.2
62,0.17733,,115,80,396.4
63,0.18014,,116,80,396.4
64,0.18296,,116,79,396.6
65,0.18578,,117,79,396.6
66,0.18876,,118,79,396.6
67,0.19181,,118,79,396.6
68,0.19467,,119,80,396.6
69,0.19755,,119,80,396.6
70,0.20037,,119,79,396.4
71,0.20335,,120,78,396.4
72,0.20627,,119,78,396.4
73,0.209,,118,78,396.2
74,0.21176,,119,79,396.2
75,0.2147,,119,79,396
76,0.2176,,119,79,396
77,0.22049,,118,79,396.2
78,0.22341,,119,79,396
79,0.22622,,120,79,395.8
80,0.22923,,122,78,395.8
81,0.23235,,123,78,395.8
82,0.23554,,123,78,395.6
83,0.23863,,122,78,395.4
84,0.24175,,122,78,395.2
85,0.24499,,122,78,395.2
86,0.24803,,121,78,395
87,0.25108,,122,78,394.8
88,0.25416,,122,78,394.8
89,0.25697,,122,78,394.6
90,0.25979,,122,78,394.4
91,0.26287,,122,78,394.2
92,0.26589,,122,78,394
93,0.26893,,120,77,393.8
94,0.27221,,120,77,393.6
95,0.2753,,119,78,393.4
96,0.2787,,119,78,392.8
97,0.28205,,118,78,392.6
98,0.28553,,118,78,392.4
99,0.289,,118,78,392
100,0.29238,,117,78,391.6
101,0.29586,,115,78,391.4
102,0.29938,,114,78,391
103,0.30271,,113,78,390.6
104,0.30602,,114,78,390.4
105,0.30951,,114,78,390.2
106,0.31273,,114,78,390
107,0.31579,,117,78,389.6
108,0.31886,,115,78,389.6
109,0.32186,,114,78,389.6
110,0.32489,,114,78,389.4
111,0.32796,,114,78,389.4
112,0.33106,,114,77,389.2
113,0.33411,,114,78,389
114,0.33728,,114,78,388.8
115,0.34033,,114,78,388.6
116,0.34337,,113,78,388.4
117,0.34666,,112,78,388
118,0.35012,,111,78,387.8
119,0.35358,,109,77,387.4
120,0.35687,,108,78,387
121,0.36,,107,78,386.4
122,0.36328,,106,78,386
123,0.36668,,107,78,385.4
124,0.36994,,108,78,385
125,0.373,,109,77,384.6
126,0.37583,,108,77,384.2
127,0.37884,,108,77,383.8
128,0.38192,,108,78,383.2
129,0.38495,,108,78,382.8
130,0.38778,,106,78,382.4
131,0.39068,,105,78,381.8
132,0.39376,,105,78,381.6
133,0.39698,,106,77,381
134,0.40024,,108,78,380.4
135,0.40358,,109,78,380
136,0.40669,,112,78,379.2
137,0.40996,,112,78,378.6
138,0.41344,,112,78,378.2
139,0.41698,,110,78,377.4
140,0.42018,,110,79,377
141,0.42339,,110,79,376.4
142,0.42655,,110,78,376
143,0.42963,,109,78,375.4
144,0.43252,,109,78,375
145,0.43584,,108,78,374.4
146,0.43946,,108,78,374.2
147,0.44339,,108,78,373.8
148,0.44705,,108,79,373.4
149,0.45057,,106,78,372.8
150,0.45398,,107,78,372.4
151,0.45706,,108,78,372.2
152,0.46048,,108,78,371.4
153,0.46369,,108,78,370.8
154,0.4669,,108,78,370.4
155,0.47046,,109,78,370
156,0.47409,,113,78,369.4
157,0.47732,,112,78,369
158,0.48037,,110,78,368.4
159,0.48313,,108,78,367.6
160,0.48591,,106,78,367
161,0.48823,,106,78,366.6
162,0.49072,,107,78,366
163,0.49348,,109,78,365.6
164,0.4966,,110,77,365.2
165,0.49957,,109,76,364.6
166,0.50258,,108,77,364.2
167,0.50557,,106,77,363.8
168,0.50833,,107,77,363.2
169,0.51079,,108,89,362.6
170,0.5134,,108,94,362
171,0.51577,,107,84,361.6
172,0.51805,,108,94,361
173,0.52036,,109,103,360.4
174,0.5227,,110,103,359.6
175,0.5252,,110,102,359
176,0.52773,,110,101,358.2
177,0.53005,,109,102,357.6
178,0.53242,,109,102,357
179,0.53621,,103,103,356.4
180,0.5404,,102,101,355.6
181,0.54398,,102,100,355
182,0.54707,,102,119,354.2
183,0.54993,,103,105,353.6
184,0.55246,,103,100,353
185,0.55509,,103,99,352.4
186,0.5577,,101,98,351.8
187,0.56018,,100,98,351.2
188,0.56273,,100,98,350.6
189,0.56538,,99,102,350
190,0.56799,,99,101,349.4
191,0.5708,,99,100,348.6
192,0.57332,,103,100,348
193,0.57573,,103,101,347.4
194,0.57841,,104,103,346.8
195,0.58093,,105,107,346.2
196,0.58345,,106,105,345.4
197,0.58597,,107,106,344.8
198,0.58837,,110,105,344.2
199,0.59081,,112,103,343.6
200,0.59376,,113,87,342.6
201,0.59694,,114,78,342
202,0.60023,,111,82,341.2
203,0.60342,,110,86,340.6
204,0.60654,,109,104,339.8
205,0.60951,,110,99,339.2
206,0.61281,,111,101,338.4
207,0.61594,,111,102,337.6
208,0.61879,,111,103,337
209,0.62159,,114,98,336.2
210,0.6244,,115,101,335.4
211,0.62745,,115,101,334.6
212,0.6303,,113,99,333.8
213,0.63291,,113,101,333.2
214,0.63564,,114,103,332.4
215,0.63855,,115,102,331.8
216,0.64159,,118,102,331
217,0.64497,,118,98,329.8
218,0.64864,,118,80,328.6
219,0.65282,,117,81,327.6
220,0.65685,,117,81,327.2
221,0.66075,,116,80,326.8
222,0.66477,,115,79,326.4
223,0.6687,,115,80,325.6
224,0.67258,,115,80,325.4
225,0.67676,,115,81,325
226,0.68082,,114,81,324.6
227,0.68505,,114,80,324.4
228,0.68923,,116,80,324.2
229,0.69328,,117,80,324
230,0.69693,,118,80,323.8
231,0.70048,,118,80,323.8
232,0.70401,,117,79,323.8
233,0.70749,,117,79,323.4
234,0.71092,,116,79,323.4
235,0.71447,,117,79,323.2
236,0.71768,,117,79,323.2
237,0.7207,,118,78,323.2
238,0.72401,,119,78,323.2
239,0.72752,,119,78,323.2
240,0.73087,,119,78,323.2
241,0.73418,,119,78,323
242,0.73754,,118,78,323
243,0.7409,,118,78,323
244,0.74441,,120,78,323
245,0.748,,122,78,323
246,0.75149,,123,78,323.2
247,0.75468,,124,78,323.2
248,0.75779,,124,78,323.2
249,0.76104,,126,78,323.4
250,0.7643,,124,78,323.2
251,0.76728,,124,78,323.2
252,0.77048,,124,78,323.2
253,0.77382,,122,78,323
254,0.7773,,121,78,323
255,0.78079,,121,78,323.2
256,0.78402,,121,78,323.2
257,0.78721,,123,78,323
258,0.79045,,125,78,323
259,0.79346,,125,78,323
260,0.79649,,126,77,322.8
261,0.79977,,125,77,322.8
262,0.80294,,125,77,322.8
263,0.80621,,125,77,322.8
264,0.80932,,125,77,322.8
265,0.81265,,126,77,322.8
266,0.81583,,127,77,322.8
267,0.81916,,127,77,322.6
268,0.82245,,128,77,322.6
269,0.82574,,128,77,322.6
270,0.82873,,129,78,322.6
271,0.83153,,129,78,322.6
272,0.83429,,128,78,322.6
273,0.83717,,128,77,322.4
274,0.84026,,127,77,322.4
275,0.84379,,127,77,322.4
276,0.84703,,127,77,322.4
277,0.85033,,128,77,322.4
278,0.85378,,126,77,322.4
279,0.85694,,126,77,322.4
280,0.8601,,126,77,322.4
281,0.86344,,126,77,322.4
282,0.8669,,126,77,322.4
283,0.87036,,125,77,322.4
284,0.87365,,125,77,322.2
285,0.87701,,125,77,322.2
286,0.88018,,125,78,322.2
287,0.88349,,125,78,322.2
288,0.88655,,125,78,322.2
289,0.88968,,126,77,322.2
290,0.89291,,126,77,322.4
291,0.89623,,127,78,322.4
292,0.89978,,128,78,322.4
293,0.90343,,128,78,322.4
294,0.90682,,128,77,322.4
295,0.90996,,130,77,322.2
296,0.91321,,130,77,322.2
297,0.9163,,130,77,322.2
298,0.91972,,130,78,322.2
299,0.92272,,129,81,322
300,0.92545,,128,79,322.2
301,0.92821,,129,79,322.4
302,0.93141,,129,78,322.4
303,0.93506,,129,78,322.4
304,0.93855,,128,78,322.4
305,0.9421,,128,78,322.6
306,0.94571,,129,77,322.4
307,0.94884,,128,77,322.4
308,0.95225,,129,78,322.4
309,0.95565,,129,78,322.6
310,0.95879,,129,78,322.6
311,0.96168,,129,78,322.6
312,0.96484,,129,78,322.6
313,0.96781,,129,78,322.4
314,0.97081,,128,78,322.4
315,0.97405,,129,78,322.4
316,0.97709,,127,77,322.4
317,0.98013,,130,77,322.4
318,0.98348,,131,77,322.4
319,0.98699,,132,77,322.4
320,0.99007,,132,77,322.4
321,0.99273,,131,77,322.2
322,0.9958,,130,77,322.2
323,0.99889,,130,77,322.2
324,1.00222,,129,77,322.4
325,1.00571,,128,77,322.4
326,1.00884,,128,77,322.4
327,1.01174,,130,77,322.4
328,1.01459,,131,77,322.4
329,1.01758,,132,77,322.4
330,1.02061,,132,77,322.4
331,1.02356,,132,77,322.2
332,1.02664,,132,77,322.4
333,1.02982,,130,77,322.4
334,1.03294,,130,77,322.2
335,1.03594,,129,77,322.2
336,1.0391,,129,77,322.4
337,1.04232,,129,78,322.4
338,1.04533,,128,78,322.4
339,1.0486,,127,78,322.4
340,1.0517,,126,78,322.4
341,1.05471,,126,78,322.4
342,1.05769,,125,78,322.4
343,1.06047,,127,78,322.4
344,1.06342,,127,78,322.4
345,1.06662,,126,78,322.2
346,1.07025,,126,78,322.2
347,1.07379,,126,78,322.4
348,1.07739,,125,78,322.4
349,1.08097,,127,77,322.2
350,1.08454,,126,77,322.2
351,1.08787,,127,77,322.2
352,1.09122,,126,77,322.2
353,1.0948,,127,76,322.2
354,1.09821,,127,76,322.2
355,1.10148,,127,76,322.2
356,1.10511,,128,76,322.2
357,1.10858,,128,77,322.2
358,1.11203,,129,77,322.2
359,1.11538,,128,77,322
360,1.11879,,128,77,322
361,1.12194,,128,78,322.2
362,1.12521,,128,78,322.2
363,1.12883,,128,78,322.2
364,1.13246,,129,78,322
365,1.13592,,129,79,322.2
366,1.13945,,131,78,322.2
367,1.14288,,131,78,322
368,1.14643,,131,78,322
369,1.14984,,131,78,322
370,1.1532,,131,84,322.2
371,1.15632,,130,82,322.2
372,1.15957,,131,79,322.2
373,1.16292,,131,79,322.2
374,1.16624,,130,79,322.2
375,1.16965,,132,78,322.2
