secs,km,power,hr,cad,alt
0,0,,65,,278.2
1,0.00013,,63,,278.2
2,0.00013,,63.6667,,278.167
3,0.00013,,64.3333,,278.133
4,0.00013,,65,,278.1
5,0.00013,,65.6667,,278.067
6,0.00013,,66.3333,,278.033
7,0.00013,,67,,278
8,0.00277,,67,,278.2
9,0.00523,,67,,278.4
10,0.00756,,68,,278.6
11,0.0099,,72,,278.6
12,0.01252,,75,,278.8
13,0.01571,,76,,278
14,0.01878,,80,,277.8
15,0.02173,,83,,278.4
16,0.0248,,84,,278.8
17,0.02778,,87,,278.4
18,0.03087,,89,,278.6
19,0.03414,,92,,278.4
20,0.03713,,94,,278.4
21,0.04034,,97,,278.4
22,0.04362,,99,,278.4
23,0.04703,,100,,278.4
24,0.05035,,102,,278.4
25,0.05405,,107,,278.4
26,0.05736,,111,,278.4
27,0.06165,,113,,278.4
28,0.06587,,115,,278.6
29,0.06961,,115,,278.6
30,0.07283,,116,,278.6
31,0.07543,,117,,278.8
32,0.07899,,117,,278.8
33,0.08229,,119,,278.8
34,0.08636,,119,,278.8
35,0.08991,,120,,278.8
36,0.09336,,120,,278.8
37,0.09691,,121,,278.8
38,0.10047,,122,,278.8
39,0.10413,,123,,278.8
40,0.1077,,124,,278.6
41,0.11119,,124,,278.6
42,0.11446,,124,,278.4
43,0.11771,,125,,278.2
44,0.12073,,126,,278.2
45,0.124,,126,,278
46,0.12717,,127,,278
47,0.13011,,127,,278.2
48,0.13298,,127,,278.4
49,0.13552,,127,,278.4
50,0.13862,,127,,278.6
51,0.14186,,128,,278.6
52,0.14544,,128,,278.6
53,0.14923,,129,,278.6
54,0.15249,,129,,278.6
55,0.15598,,129,,278.6
56,0.15923,,129,,278.6
57,0.16283,,130,,278.6
58,0.16625,,130,,278.6
59,0.16939,,130,,278.8
60,0.17234,,131,,278.8
61,0.17533,,131,,278.8
62,0.1788,,131,,278.8
63,0.182,,131,,278.8
64,0.18534,,132,,278.8
65,0.18846,,132,,278.8
66,0.19146,,133,,278.8
67,0.19439,,132,,278.8
68,0.19718,,133,,278.8
69,0.19997,,134,,278.6
70,0.20277,,133,,278.8
71,0.20572,,133,,279
72,0.20868,,133,,279
73,0.21183,,134,,279
74,0.21494,,133,,279.2
75,0.21807,,135,,279.2
76,0.22076,,134,,279.2
77,0.22613,,135,,279.2
78,0.22986,,134,,279.4
79,0.23324,,134,,279.4
80,0.23532,,135,,279.4
81,0.23773,,135,,279.6
82,0.24056,,136,,279.6
83,0.24385,,136,,279.6
84,0.24696,,136,,279.6
85,0.25058,,136,,279.6
86,0.25381,,136,,279.6
87,0.25711,,136,,279.6
88,0.26042,,136,,279.6
89,0.26356,,136,,279.6
90,0.26658,,136,,279.6
91,0.26944,,136,,279.8
92,0.27266,,136,,279.8
93,0.27581,,137,,279.8
94,0.27894,,137,,279.8
95,0.28263,,137,,279.8
96,0.28677,,137,,280
97,0.29019,,137,,280.2
98,0.29361,,138,,280.2
99,0.29717,,138,,280.2
