secs,km,power,hr,cad,alt
0,0,,103,,2712.8
1,0.00317,,103,,2712.8
2,0.00753,,103,,2665.4
3,0.01142,,103,,2613.8
4,0.01605,,103,,2563
5,0.02027,,103,,6892.8
6,0.024394,,103.4,,6892.8
7,0.028518,,103.8,,6892.8
8,0.032642,,104.2,,6892.8
9,0.036766,,104.6,,6892.8
10,0.04089,,105,,6892.8
11,0.04406,,105,,6892.8
12,0.047995,,107,,6892.8
13,0.05193,,109,,6892.8
14,0.0558233,,109,,6892.8
15,0.0597167,,109,,6892.8
16,0.06361,,109,,6892.8
17,0.067655,,115,,6892.8
18,0.0717,,121,,6892.8
19,0.07543,,121,,6892.8
20,0.07893,,126,,6892.8
21,0.082355,,126.5,,6892.8
22,0.08578,,127,,6892.8
23,0.0895333,,128.667,,6892.8
24,0.0932867,,130.333,,6892.8
25,0.09704,,132,,6892.8
26,0.10056,,136,,6892.8
27,0.10451,,136,,6892.8
28,0.108317,,137,,6892.8
29,0.112123,,138,,6892.8
30,0.11593,,139,,6892.8
31,0.11858,,139,,6892.8
32,0.12181,,143,,6892.8
33,0.12493,,143,,6892.8
34,0.12805,,143,,6892.8
35,0.13117,,143,,6892.8
36,0.134627,,145,,6892.8
37,0.138083,,147,,6892.8
38,0.14154,,149,,6892.8
39,0.14492,,149,,6892.8
40,0.14849,,152,,6892.8
41,0.152103,,153,,6892.8
42,0.155717,,154,,6892.8
43,0.15933,,155,,6892.8
44,0.1631,,155,,6892.8
45,0.1666,,158,,6892.8
46,0.170582,,158.25,,6892.8
47,0.174565,,158.5,,6892.8
48,0.178548,,158.75,,6892.8
49,0.18253,,159,,6892.8
50,0.185805,,161,,6892.8
51,0.18908,,163,,6892.8
52,0.19315,,162,,6892.8
53,0.19722,,161,,6892.8
54,0.200667,,161,,6892.8
55,0.204113,,161,,6892.8
56,0.20756,,161,,6892.8
57,0.21186,,161.25,,6892.8
58,0.21616,,161.5,,6892.8
59,0.22046,,161.75,,6892.8
60,0.22476,,162,,6892.8
61,0.22878,,165,,6892.8
62,0.2328,,168,,6892.8
63,0.236325,,168.5,,6892.8
64,0.23985,,169,,6892.8
65,0.243069,,169.286,,6892.8
66,0.246287,,169.571,,6892.8
67,0.249506,,169.857,,6892.8
68,0.252724,,170.143,,6892.8
69,0.255943,,170.429,,6892.8
70,0.259161,,170.714,,6892.8
71,0.26238,,171,,6892.8
72,0.265998,,170.6,,6892.8
73,0.269616,,170.2,,6892.8
74,0.273234,,169.8,,6892.8
75,0.276852,,169.4,,6892.8
76,0.28047,,169,,6892.8
77,0.283848,,168.4,,6892.8
78,0.287226,,167.8,,6892.8
79,0.290604,,167.2,,6892.8
80,0.293982,,166.6,,6892.8
81,0.29736,,166,,6892.8
82,0.29998,,166,,6892.8
83,0.303973,,165.75,,6892.8
84,0.307965,,165.5,,6892.8
85,0.311958,,165.25,,6892.8
86,0.31595,,165,,6892.8
87,0.3198,,165,,6892.8
88,0.32365,,165,,6892.8
89,0.3275,,165,,6892.8
90,0.33135,,165,,6892.8
91,0.334647,,165.25,,6892.8
92,0.337945,,165.5,,6892.8
93,0.341242,,165.75,,6892.8
94,0.34454,,166,,6892.8
95,0.348452,,165.8,,6892.8
96,0.352364,,165.6,,6892.8
97,0.356276,,165.4,,6892.8
98,0.360188,,165.2,,6892.8
99,0.3641,,165,,6892.8
100,0.36782,,164.4,,6892.8
101,0.37154,,163.8,,6892.8
102,0.37526,,163.2,,6892.8
103,0.37898,,162.6,,6892.8
104,0.3827,,162,,6892.8
105,0.386248,,162.25,,6892.8
106,0.389795,,162.5,,6892.8
107,0.393343,,162.75,,6892.8
108,0.39689,,163,,6892.8
109,0.400566,,163.2,,6892.8
110,0.404242,,163.4,,6892.8
111,0.407918,,163.6,,6892.8
112,0.411594,,163.8,,6892.8
113,0.41527,,164,,6892.8
114,0.41907,,164.167,,6892.8
115,0.42287,,164.333,,6892.8
116,0.42667,,164.5,,6892.8
117,0.43047,,164.667,,6892.8
118,0.43427,,164.833,,6892.8
119,0.43807,,165,,6892.8
120,0.441967,,165.167,,6892.8
121,0.445863,,165.333,,6892.8
122,0.44976,,165.5,,6892.8
123,0.453657,,165.667,,6892.8
124,0.457553,,165.833,,6892.8
125,0.46145,,166,,6892.8
126,0.465362,,166.2,,6892.8
127,0.469274,,166.4,,6892.8
128,0.473186,,166.6,,6892.8
129,0.477098,,166.8,,6892.8
130,0.48101,,167,,6892.8
131,0.484698,,167,,6892.8
132,0.488386,,167,,6892.8
133,0.492074,,167,,6892.8
134,0.495762,,167,,6892.8
135,0.49945,,167,,6892.8
136,0.50341,,174,,6892.8
137,0.50739,,173,,6892.8
138,0.5115,,171.5,,6892.8
139,0.51561,,170,,6892.8
140,0.51995,,177,,6892.8
141,0.52407,,177,,6892.8
142,0.52819,,177,,6892.8
143,0.53231,,177,,6892.8
144,0.53579,,185,,6892.8
145,0.53949,,185,,6892.8
146,0.54313,,180,,6892.8
147,0.54699,,180,,6892.8
148,0.55162,,178,,6892.8
149,0.55514,,178,,6892.8
150,0.558857,,177,,6892.8
151,0.562573,,176,,6892.8
152,0.56629,,175,,6892.8
153,0.5699,,173,,6892.8
154,0.573915,,172.5,,6892.8
155,0.57793,,172,,6892.8
156,0.581945,,171.5,,6892.8
157,0.58596,,171,,6892.8
158,0.589525,,169.5,,6892.8
159,0.59309,,168,,6892.8
160,0.59692,,168,,6892.8
161,0.60075,,168,,6892.8
162,0.60458,,168,,6892.8
163,0.60769,,168,,6892.8
164,0.610975,,168,,6892.8
165,0.61426,,168,,6892.8
166,0.618042,,167.4,,6892.8
167,0.621824,,166.8,,6892.8
168,0.625606,,166.2,,6892.8
169,0.629388,,165.6,,6892.8
170,0.63317,,165,,6892.8
171,0.63669,,165,,6892.8
172,0.64077,,165,,6892.8
173,0.64485,,165,,6892.8
174,0.64893,,165,,6892.8
175,0.65301,,165,,6892.8
176,0.65667,,166,,6892.8
177,0.66033,,167,,6892.8
178,0.66399,,168,,6892.8
179,0.667285,,168,,6892.8
180,0.67058,,168,,6892.8
181,0.6743,,176,,6892.8
182,0.67853,,176,,6892.8
183,0.682223,,178,,6892.8
184,0.685915,,180,,6892.8
185,0.689607,,182,,6892.8
186,0.6933,,184,,6892.8
187,0.69713,,182,,6892.8
188,0.700745,,179.5,,6892.8
189,0.70436,,177,,6892.8
190,0.70836,,177,,6892.8
191,0.71228,,175,,6892.8
192,0.7162,,173,,6892.8
193,0.720013,,172.667,,6892.8
194,0.723827,,172.333,,6892.8
195,0.72764,,172,,6892.8
196,0.731685,,173.5,,6892.8
197,0.73573,,175,,6892.8
198,0.739775,,176.5,,6892.8
199,0.74382,,178,,6892.8
200,0.74764,,178,,6892.8
201,0.751483,,177,,6892.8
202,0.755327,,176,,6892.8
203,0.75917,,175,,6892.8
204,0.76318,,175,,6892.8
205,0.76693,,174.8,,6892.8
206,0.77068,,174.6,,6892.8
207,0.77443,,174.4,,6892.8
208,0.77818,,174.2,,6892.8
209,0.78193,,174,,6892.8
210,0.785832,,174,,6892.8
211,0.789733,,174,,6892.8
212,0.793635,,174,,6892.8
213,0.797537,,174,,6892.8
214,0.801438,,174,,6892.8
215,0.80534,,174,,6892.8
216,0.809248,,173,,6892.8
217,0.813155,,172,,6892.8
218,0.817063,,171,,6892.8
219,0.82097,,170,,6892.8
220,0.82374,,179,,6892.8
221,0.82739,,179,,6892.8
222,0.83137,,178.667,,6892.8
223,0.83535,,178.333,,6892.8
224,0.83933,,178,,6892.8
225,0.839877,,180.333,,6892.8
226,0.840423,,182.667,,6892.8
227,0.84097,,185,,6892.8
228,0.84365,,185,,6892.8
229,0.84722,,185,,6892.8
230,0.85079,,185,,6892.8
231,0.85436,,185,,6892.8
232,0.85942,,182,,6892.8
233,0.86373,,179,,6892.8
234,0.86763,,179,,6892.8
235,0.8711,,178,,6892.8
236,0.87457,,177,,6892.8
237,0.87841,,174.5,,6892.8
238,0.88225,,172,,6892.8
239,0.885926,,172.2,,6892.8
240,0.889602,,172.4,,6892.8
241,0.893278,,172.6,,6892.8
242,0.896954,,172.8,,6892.8
243,0.90063,,173,,6892.8
244,0.904362,,173,,6892.8
245,0.908093,,173,,6892.8
