secs,km,power,hr,cad,alt
0,0,,102,,169.4
1,0.002435,,102.75,,169.5
2,0.00487,,103.5,,169.6
3,0.007305,,104.25,,169.7
4,0.00974,,105,,169.8
5,0.0133317,,104.5,,169.9
6,0.0169233,,104,,170
7,0.020515,,103.5,,170.1
8,0.0241067,,103,,170.2
9,0.0276983,,102.5,,170.3
10,0.03129,,102,,170.4
11,0.03503,,96,,170.4
12,0.03886,,94.5,,170.5
13,0.04269,,93,,170.6
14,0.04634,,94,,170.733
15,0.04999,,95,,170.867
16,0.05364,,96,,171
17,0.05715,,97.6667,,171.067
18,0.06066,,99.3333,,171.133
19,0.06417,,101,,171.2
20,0.06774,,104,,171.4
21,0.07122,,106.333,,171.4
22,0.0747,,108.667,,171.4
23,0.07818,,111,,171.4
24,0.081845,,111.833,,171.433
25,0.08551,,112.667,,171.467
26,0.089175,,113.5,,171.5
27,0.09284,,114.333,,171.533
28,0.096505,,115.167,,171.567
29,0.10017,,116,,171.6
30,0.1036,,124,,171.6
31,0.10709,,124,,171.6
32,0.11041,,134,,171.6
33,0.11396,,134,,171.8
34,0.117648,,133.5,,171.833
35,0.121337,,133,,171.867
36,0.125025,,132.5,,171.9
37,0.128713,,132,,171.933
38,0.132402,,131.5,,171.967
39,0.13609,,131,,172
40,0.139638,,130.833,,172
41,0.143187,,130.667,,172
42,0.146735,,130.5,,172
43,0.150283,,130.333,,172
44,0.153832,,130.167,,172
45,0.15738,,130,,172
46,0.160975,,129.667,,171.967
47,0.16457,,129.333,,171.933
48,0.168165,,129,,171.9
49,0.17176,,128.667,,171.867
50,0.175355,,128.333,,171.833
51,0.17895,,128,,171.8
52,0.182595,,129.5,,171.8
53,0.18624,,131,,171.8
54,0.189913,,132,,171.733
55,0.193587,,133,,171.667
56,0.19726,,134,,171.6
57,0.200887,,133.167,,171.6
58,0.204513,,132.333,,171.6
59,0.20814,,131.5,,171.6
60,0.211767,,130.667,,171.6
61,0.215393,,129.833,,171.6
62,0.21902,,129,,171.6
63,0.22274,,129.333,,171.567
64,0.22646,,129.667,,171.533
65,0.23018,,130,,171.5
66,0.2339,,130.333,,171.467
67,0.23762,,130.667,,171.433
68,0.24134,,131,,171.4
69,0.24504,,134,,171.2
70,0.24888,,134,,171.2
71,0.25254,,134,,171.167
72,0.2562,,134,,171.133
73,0.25986,,134,,171.1
74,0.26352,,134,,171.067
75,0.26718,,134,,171.033
76,0.27084,,134,,171
77,0.27436,,134.333,,171.067
78,0.27788,,134.667,,171.133
79,0.2814,,135,,171.2
80,0.28492,,135.333,,171.267
81,0.28844,,135.667,,171.333
82,0.29196,,136,,171.4
83,0.295537,,135,,171.467
84,0.299113,,134,,171.533
85,0.30269,,133,,171.6
86,0.306522,,132.833,,171.667
87,0.310353,,132.667,,171.733
88,0.314185,,132.5,,171.8
89,0.318017,,132.333,,171.867
90,0.321848,,132.167,,171.933
91,0.32568,,132,,172
92,0.329463,,132.333,,172.033
93,0.333247,,132.667,,172.067
94,0.33703,,133,,172.1
95,0.340813,,133.333,,172.133
96,0.344597,,133.667,,172.167
97,0.34838,,134,,172.2
98,0.352253,,134,,172.267
99,0.356127,,134,,172.333
100,0.36,,134,,172.4
101,0.363873,,134,,172.467
102,0.367747,,134,,172.533
103,0.37162,,134,,172.6
104,0.375254,,133.4,,172.56
105,0.378888,,132.8,,172.52
106,0.382522,,132.2,,172.48
107,0.386156,,131.6,,172.44
108,0.38979,,131,,172.4
109,0.393442,,131,,172.367
110,0.397093,,131,,172.333
111,0.400745,,131,,172.3
112,0.404397,,131,,172.267
113,0.408048,,131,,172.233
114,0.4117,,131,,172.2
115,0.415327,,131.167,,172.2
116,0.418953,,131.333,,172.2
117,0.42258,,131.5,,172.2
118,0.426207,,131.667,,172.2
119,0.429833,,131.833,,172.2
120,0.43346,,132,,172.2
121,0.43711,,132.6,,172.2
122,0.44076,,133.2,,172.2
123,0.44441,,133.8,,172.2
124,0.44806,,134.4,,172.2
125,0.45171,,135,,172.2
126,0.45534,,136,,172.133
127,0.45897,,137,,172.067
128,0.4626,,138,,172
129,0.466183,,138.167,,172
130,0.469767,,138.333,,172
131,0.47335,,138.5,,172
132,0.476933,,138.667,,172
133,0.480517,,138.833,,172
134,0.4841,,139,,172
135,0.487678,,139,,172
136,0.491257,,139,,172
137,0.494835,,139,,172
138,0.498413,,139,,172
139,0.501992,,139,,172
140,0.50557,,139,,172
141,0.509158,,139.167,,171.967
142,0.512747,,139.333,,171.933
143,0.516335,,139.5,,171.9
144,0.519923,,139.667,,171.867
145,0.523512,,139.833,,171.833
146,0.5271,,140,,171.8
147,0.530822,,139.833,,171.8
148,0.534543,,139.667,,171.8
149,0.538265,,139.5,,171.8
150,0.541987,,139.333,,171.8
151,0.545708,,139.167,,171.8
152,0.54943,,139,,171.8
153,0.553178,,138.833,,171.8
154,0.556927,,138.667,,171.8
155,0.560675,,138.5,,171.8
156,0.564423,,138.333,,171.8
157,0.568172,,138.167,,171.8
158,0.57192,,138,,171.8
159,0.575563,,137.833,,171.833
160,0.579207,,137.667,,171.867
161,0.58285,,137.5,,171.9
162,0.586493,,137.333,,171.933
163,0.590137,,137.167,,171.967
164,0.59378,,137,,172
165,0.59734,,133,,172.2
166,0.60097,,133,,172.2
167,0.604613,,133.167,,172.233
168,0.608257,,133.333,,172.267
169,0.6119,,133.5,,172.3
170,0.615543,,133.667,,172.333
171,0.619187,,133.833,,172.367
172,0.62283,,134,,172.4
173,0.62626,,134,,172.433
174,0.62969,,134,,172.467
175,0.63312,,134,,172.5
176,0.63655,,134,,172.533
177,0.63998,,134,,172.567
178,0.64341,,134,,172.6
179,0.647105,,134.167,,172.633
180,0.6508,,134.333,,172.667
181,0.654495,,134.5,,172.7
182,0.65819,,134.667,,172.733
183,0.661885,,134.833,,172.767
184,0.66558,,135,,172.8
185,0.669408,,135.333,,172.833
186,0.673237,,135.667,,172.867
187,0.677065,,136,,172.9
188,0.680893,,136.333,,172.933
189,0.684722,,136.667,,172.967
190,0.68855,,137,,173
191,0.6923,,137.167,,173.067
192,0.69605,,137.333,,173.133
193,0.6998,,137.5,,173.2
194,0.70355,,137.667,,173.267
195,0.7073,,137.833,,173.333
196,0.71105,,138,,173.4
197,0.714772,,138,,173.467
198,0.718493,,138,,173.533
199,0.722215,,138,,173.6
200,0.725937,,138,,173.667
201,0.729658,,138,,173.733
202,0.73338,,138,,173.8
203,0.736778,,137.667,,173.867
204,0.740177,,137.333,,173.933
205,0.743575,,137,,174
206,0.746973,,136.667,,174.067
207,0.750372,,136.333,,174.133
208,0.75377,,136,,174.2
209,0.75714,,135.667,,174.233
210,0.76051,,135.333,,174.267
211,0.76388,,135,,174.3
212,0.76725,,134.667,,174.333
213,0.77062,,134.333,,174.367
214,0.77399,,134,,174.4
215,0.777927,,133.833,,174.433
216,0.781863,,133.667,,174.467
217,0.7858,,133.5,,174.5
218,0.789737,,133.333,,174.533
219,0.793673,,133.167,,174.567
220,0.79761,,133,,174.6
221,0.80182,,133.2,,174.64
222,0.80603,,133.4,,174.68
223,0.81024,,133.6,,174.72
224,0.81445,,133.8,,174.76
225,0.81866,,134,,174.8
226,0.822132,,134.667,,174.867
227,0.825603,,135.333,,174.933
228,0.829075,,136,,175
229,0.832547,,136.667,,175.067
230,0.836018,,137.333,,175.133
231,0.83949,,138,,175.2
232,0.84321,,134,,175.2
233,0.84701,,134.167,,175.233
234,0.85081,,134.333,,175.267
235,0.85461,,134.5,,175.3
236,0.85841,,134.667,,175.333
237,0.86221,,134.833,,175.367
238,0.86601,,135,,175.4
239,0.869902,,135.167,,175.433
240,0.873793,,135.333,,175.467
241,0.877685,,135.5,,175.5
242,0.881577,,135.667,,175.533
243,0.885468,,135.833,,175.567
244,0.88936,,136,,175.6
245,0.893327,,136,,175.65
246,0.897295,,136,,175.7
247,0.901262,,136,,175.75
248,0.90523,,136,,175.8
249,0.909326,,136,,175.84
250,0.913422,,136,,175.88
251,0.917518,,136,,175.92
252,0.921614,,136,,175.96
253,0.92571,,136,,176
254,0.929643,,136.167,,176
255,0.933577,,136.333,,176
256,0.93751,,136.5,,176
257,0.941443,,136.667,,176
258,0.945377,,136.833,,176
259,0.94931,,137,,176
260,0.95318,,136.75,,176
261,0.95705,,136.5,,176
262,0.96092,,136.25,,176
263,0.96479,,136,,176
264,0.968972,,136.2,,176.04
265,0.973154,,136.4,,176.08
266,0.977336,,136.6,,176.12
267,0.981518,,136.8,,176.16
268,0.9857,,137,,176.2
269,0.989773,,137,,176.2
270,0.993845,,137,,176.2
271,0.997917,,137,,176.2
272,1.00199,,137,,176.2
273,1.00603,,138,,176.2
274,1.01001,,138,,176.2
275,1.01399,,138,,176.2
276,1.01797,,138,,176.2
277,1.02194,,138,,176.2
278,1.02592,,138,,176.2
279,1.0299,,138,,176.2
280,1.03362,,137.667,,176.167
281,1.03733,,137.333,,176.133
282,1.04104,,137,,176.1
283,1.04476,,136.667,,176.067
284,1.04847,,136.333,,176.033
285,1.05219,,136,,176
286,1.05594,,136,,175.967
287,1.05969,,136,,175.933
288,1.06344,,136,,175.9
289,1.0672,,136,,175.867
290,1.07095,,136,,175.833
291,1.0747,,136,,175.8
292,1.07833,,135.4,,175.76
293,1.08195,,134.8,,175.72
294,1.08558,,134.2,,175.68
295,1.0892,,133.6,,175.64
296,1.09283,,133,,175.6
297,1.09672,,133.75,,175.6
298,1.10061,,134.5,,175.6
299,1.10451,,135.25,,175.6
300,1.1084,,136,,175.6
301,1.11231,,137,,175.533
302,1.11622,,138,,175.467
303,1.12013,,139,,175.4
304,1.12391,,138.833,,175.4
305,1.12768,,138.667,,175.4
306,1.13146,,138.5,,175.4
307,1.13523,,138.333,,175.4
308,1.13901,,138.167,,175.4
309,1.14278,,138,,175.4
310,1.14665,,138,,175.433
311,1.15052,,138,,175.467
312,1.1544,,138,,175.5
