secs,km,power,hr,cad,alt
0,0,,102,,14.8
1,0.0028,,102,,14.8
2,0.00553571,,102.429,,14.8857
3,0.00827143,,102.857,,14.9714
4,0.0110071,,103.286,,15.0571
5,0.0137429,,103.714,,15.1429
6,0.0164786,,104.143,,15.2286
7,0.0192143,,104.571,,15.3143
8,0.02195,,105,,15.4
9,0.0247967,,106,,15.4
10,0.0276433,,107,,15.4
11,0.03049,,108,,15.4
12,0.0332113,,108.25,,15.3
13,0.0359325,,108.5,,15.2
14,0.0386538,,108.75,,15.1
15,0.041375,,109,,15
16,0.0440963,,109.25,,14.9
17,0.0468175,,109.5,,14.8
18,0.0495387,,109.75,,14.7
19,0.05226,,110,,14.6
20,0.0550967,,110,,14.4667
21,0.0579333,,110,,14.3333
22,0.06077,,110,,14.2
23,0.0636067,,110,,14.0667
24,0.0664433,,110,,13.9333
25,0.06928,,110,,13.8
26,0.072112,,110.6,,13.8
27,0.074944,,111.2,,13.8
28,0.077776,,111.8,,13.8
29,0.080608,,112.4,,13.8
30,0.08344,,113,,13.8
31,0.0864457,,113.429,,13.8286
32,0.0894514,,113.857,,13.8571
33,0.0924571,,114.286,,13.8857
34,0.0954629,,114.714,,13.9143
35,0.0984686,,115.143,,13.9429
36,0.101474,,115.571,,13.9714
37,0.10448,,116,,14
38,0.107466,,116.429,,13.8571
39,0.110451,,116.857,,13.7143
40,0.113437,,117.286,,13.5714
41,0.116423,,117.714,,13.4286
42,0.119409,,118.143,,13.2857
43,0.122394,,118.571,,13.1429
44,0.12538,,119,,13
45,0.128159,,119,,12.975
46,0.130937,,119,,12.95
47,0.133716,,119,,12.925
48,0.136495,,119,,12.9
49,0.139274,,119,,12.875
50,0.142052,,119,,12.85
51,0.144831,,119,,12.825
52,0.14761,,119,,12.8
53,0.150657,,119.75,,12.95
54,0.153705,,120.5,,13.1
55,0.156752,,121.25,,13.25
56,0.1598,,122,,13.4
57,0.162801,,122.143,,13.4
58,0.165803,,122.286,,13.4
59,0.168804,,122.429,,13.4
60,0.171806,,122.571,,13.4
61,0.174807,,122.714,,13.4
62,0.177809,,122.857,,13.4
63,0.18081,,123,,13.4
64,0.183571,,123,,13.375
65,0.186333,,123,,13.35
66,0.189094,,123,,13.325
67,0.191855,,123,,13.3
68,0.194616,,123,,13.275
69,0.197377,,123,,13.25
70,0.200139,,123,,13.225
71,0.2029,,123,,13.2
72,0.205826,,123.143,,13.1429
73,0.208751,,123.286,,13.0857
74,0.211677,,123.429,,13.0286
75,0.214603,,123.571,,12.9714
76,0.217529,,123.714,,12.9143
77,0.220454,,123.857,,12.8571
78,0.22338,,124,,12.8
79,0.226405,,124,,12.8
80,0.22943,,124,,12.8
81,0.23238,,124,,12.7429
82,0.23533,,124,,12.6857
83,0.23828,,124,,12.6286
84,0.24123,,124,,12.5714
