secs,km,power,hr,cad,alt
0,0,,81,,0
1,0.00168,,82,,0
2,0.0033675,,82.75,,0
3,0.005055,,83.5,,0
4,0.0067425,,84.25,,0
5,0.00843,,85,,0
6,0.010165,,85.75,,0
7,0.0119,,86.5,,0
8,0.013635,,87.25,,0
9,0.01537,,88,,0
10,0.0173567,,89,,0
11,0.0193433,,90,,0
12,0.02133,,91,,0
13,0.023755,,92.5,,0
14,0.02618,,94,,0
15,0.028855,,96,,0
16,0.03153,,98,,0
17,0.03432,,99.5,,0
18,0.03711,,101,,0
19,0.039955,,102.5,,0
20,0.0428,,104,,0
21,0.04565,,105.5,,0
22,0.0485,,107,,0
23,0.05133,,107.75,,0
24,0.05416,,108.5,,0
25,0.05699,,109.25,,0
26,0.05982,,110,,0
27,0.0626538,,110.375,,0
28,0.0654875,,110.75,,0
29,0.0683213,,111.125,,0
30,0.071155,,111.5,,0
31,0.0739888,,111.875,,0
32,0.0768225,,112.25,,0
33,0.0796563,,112.625,,0
34,0.08249,,113,,0
35,0.0853333,,113.5,,0
36,0.0881767,,114,,0
37,0.09102,,114.5,,0
38,0.0938633,,115,,0
39,0.0967067,,115.5,,0
40,0.09955,,116,,0
41,0.102406,,116.429,,0
42,0.105261,,116.857,,0
43,0.108117,,117.286,,0
44,0.110973,,117.714,,0
45,0.113829,,118.143,,0
46,0.116684,,118.571,,0
47,0.11954,,119,,0
48,0.122395,,119.25,,0
49,0.12525,,119.5,,0
50,0.128105,,119.75,,0
51,0.13096,,120,,0
52,0.133815,,120.25,,0
53,0.13667,,120.5,,0
54,0.139525,,120.75,,0
55,0.14238,,121,,0
56,0.145228,,121.375,,0
57,0.148075,,121.75,,0
58,0.150923,,122.125,,0
59,0.15377,,122.5,,0
60,0.156617,,122.875,,0
61,0.159465,,123.25,,0
62,0.162312,,123.625,,0
63,0.16516,,124,,0
64,0.168006,,124.125,,0
65,0.170852,,124.25,,0
66,0.173699,,124.375,,0
67,0.176545,,124.5,,0
68,0.179391,,124.625,,0
69,0.182237,,124.75,,0
70,0.185084,,124.875,,0
71,0.18793,,125,,0
72,0.190769,,125.125,,0
73,0.193607,,125.25,,0
74,0.196446,,125.375,,0
75,0.199285,,125.5,,0
76,0.202124,,125.625,,0
77,0.204962,,125.75,,0
78,0.207801,,125.875,,0
79,0.21064,,126,,0
80,0.213468,,126.125,,0
81,0.216295,,126.25,,0
82,0.219122,,126.375,,0
83,0.22195,,126.5,,0
84,0.224777,,126.625,,0
85,0.227605,,126.75,,0
86,0.230432,,126.875,,0
87,0.23326,,127,,0
88,0.236093,,127.125,,0
89,0.238925,,127.25,,0
90,0.241757,,127.375,,0
91,0.24459,,127.5,,0
92,0.247423,,127.625,,0
93,0.250255,,127.75,,0
94,0.253088,,127.875,,0
95,0.25592,,128,,0
96,0.258778,,128.25,,0
97,0.261635,,128.5,,0
98,0.264493,,128.75,,0
99,0.26735,,129,,0
100,0.270208,,129.25,,0
101,0.273065,,129.5,,0
102,0.275923,,129.75,,0
103,0.27878,,130,,0
104,0.281654,,130.143,,0
105,0.284529,,130.286,,0
106,0.287403,,130.429,,0
107,0.290277,,130.571,,0
108,0.293151,,130.714,,0
109,0.296026,,130.857,,0
110,0.2989,,131,,0
111,0.301774,,131.143,,0
112,0.304649,,131.286,,0
113,0.307523,,131.429,,0
114,0.310397,,131.571,,0
115,0.313271,,131.714,,0
116,0.316146,,131.857,,0
117,0.31902,,132,,0
118,0.321904,,132,,0
119,0.324789,,132,,0
120,0.327673,,132,,0
121,0.330557,,132,,0
122,0.333441,,132,,0
123,0.336326,,132,,0
124,0.33921,,132,,0
125,0.342093,,131.857,,0
126,0.344976,,131.714,,0
127,0.347859,,131.571,,0
128,0.350741,,131.429,,0
129,0.353624,,131.286,,0
130,0.356507,,131.143,,0
131,0.35939,,131,,0
132,0.362279,,131,,0
133,0.365167,,131,,0
134,0.368056,,131,,0
135,0.370944,,131,,0
136,0.373833,,131,,0
137,0.376721,,131,,0
138,0.37961,,131,,0
139,0.382494,,131,,0
140,0.385379,,131,,0
141,0.388263,,131,,0
142,0.391147,,131,,0
143,0.394031,,131,,0
144,0.396916,,131,,0
145,0.3998,,131,,0
146,0.402693,,131.143,,0
147,0.405586,,131.286,,0
148,0.408479,,131.429,,0
149,0.411371,,131.571,,0
150,0.414264,,131.714,,0
151,0.417157,,131.857,,0
152,0.42005,,132,,0
153,0.422951,,132.143,,0
154,0.425853,,132.286,,0
155,0.428754,,132.429,,0
156,0.431656,,132.571,,0
157,0.434557,,132.714,,0
158,0.437459,,132.857,,0
159,0.44036,,133,,0
