secs,km,power,hr,cad,alt
0,0,,98,,0
1,0.00069,,99,,0
2,0.00154,,100,,0
3,0.00246,,100,,0
4,0.0034,,100,,0
5,0.00434,,100,,0
6,0.00576,,102,,0
7,0.00777,,102,,0
8,0.00977,,102,,1
9,0.01174,,102,,1
10,0.01378,,104,,1
11,0.01593,,106,,1
12,0.01811,,107,,1
13,0.02037,,109,,1
14,0.02258,,110,,1
15,0.02499,,112,,1
16,0.02768,,112,,1
17,0.03039,,114,,1
18,0.03304,,115,,1
19,0.03583,,116,,1
20,0.03842,,116,,1
21,0.04104,,117,,1
22,0.04369,,117,,1
23,0.0464,,118,,1
24,0.04908,,118,,1
25,0.05175,,119,,1
26,0.05446,,120,,1
27,0.05715,,120,,1
28,0.05992,,121,,1
29,0.0625,,122,,1
30,0.06518,,122,,1
31,0.06784,,123,,1
32,0.07049,,123,,1
33,0.07306,,123,,1
34,0.07571,,124,,1
35,0.07825,,124,,1
36,0.08076,,125,,1
37,0.08346,,125,,1
38,0.08609,,125,,1
39,0.08869,,125,,1
40,0.09132,,126,,1
41,0.09399,,126,,1
42,0.09657,,126,,1
43,0.09919,,127,,1
44,0.10176,,127,,1
45,0.10437,,127,,1
46,0.10698,,127,,1
47,0.10958,,128,,1
48,0.11218,,128,,1
49,0.11476,,128,,1
50,0.11731,,128,,1
51,0.11983,,128,,1
52,0.12236,,128,,1
53,0.12486,,129,,1
54,0.12745,,129,,1
55,0.12996,,129,,1
56,0.13254,,129,,1
57,0.13521,,129,,1
58,0.13775,,130,,1
59,0.1403,,130,,1
60,0.1429,,130,,1
61,0.14548,,130,,1
62,0.14807,,131,,1
63,0.1506,,131,,1
64,0.15326,,131,,1
65,0.1558,,131,,1
66,0.15838,,131,,1
67,0.16101,,130,,1
68,0.16371,,130,,1
69,0.16631,,130,,1
70,0.16904,,130,,1
71,0.1716,,130,,1
72,0.17427,,129,,1
73,0.17682,,129,,1
74,0.17942,,129,,1
75,0.18204,,129,,1
76,0.18468,,129,,1
77,0.18731,,129,,1
78,0.18991,,129,,1
79,0.1926,,129,,1
80,0.19534,,129,,1
81,0.19795,,129,,1
82,0.20059,,129,,1
83,0.2032,,128,,1
84,0.20588,,128,,1
85,0.20845,,128,,1
86,0.21094,,128,,1
87,0.21345,,128,,1
88,0.21599,,128,,1
89,0.21856,,128,,1
90,0.2211,,128,,1
91,0.22366,,129,,1
92,0.2261,,128,,1
93,0.22865,,128,,1
94,0.23133,,128,,1
95,0.23391,,128,,1
96,0.23641,,128,,1
97,0.23892,,128,,1
98,0.24148,,129,,1
99,0.24402,,128,,1
100,0.24667,,128,,1
101,0.24928,,128,,1
102,0.25189,,128,,1
103,0.25449,,128,,1
104,0.25704,,128,,1
105,0.25968,,128,,1
106,0.26233,,128,,1
107,0.26484,,128,,1
108,0.26743,,129,,1
109,0.27006,,129,,1
110,0.27265,,129,,1
111,0.2752,,129,,1
112,0.27777,,129,,1
113,0.28027,,129,,1
114,0.28285,,129,,1
115,0.28533,,129,,1
116,0.28793,,129,,1
117,0.29042,,129,,1
118,0.29302,,130,,1
119,0.29553,,130,,1
120,0.29814,,129,,1
121,0.30064,,129,,1
122,0.30322,,129,,1
123,0.30572,,129,,1
124,0.30834,,129,,1
125,0.31094,,129,,1
126,0.31353,,129,,1
127,0.31607,,129,,1
128,0.31872,,129,,1
129,0.32134,,129,,1
130,0.32393,,129,,1
131,0.32656,,128,,1
132,0.3293,,128,,1
133,0.33192,,128,,1
134,0.3345,,128,,1
135,0.33709,,128,,1
136,0.3398,,128,,1
137,0.34239,,128,,1
138,0.34501,,128,,1
139,0.3476,,128,,1
140,0.35023,,128,,1
141,0.35294,,128,,1
142,0.35546,,128,,1
143,0.35808,,127,,1
144,0.3607,,127,,1
145,0.36326,,127,,1
146,0.36582,,127,,1
147,0.36831,,127,,1
148,0.37084,,127,,1
149,0.37329,,128,,1
150,0.37583,,128,,1
151,0.37836,,128,,1
152,0.38098,,128,,1
153,0.38349,,128,,1
154,0.38611,,128,,1
155,0.38872,,127,,1
156,0.39147,,127,,1
157,0.39411,,127,,1
158,0.39683,,127,,1
159,0.39941,,126,,1
160,0.40209,,126,,1
161,0.40456,,126,,1
162,0.40713,,126,,1
163,0.40969,,126,,1
164,0.4122,,126,,1
165,0.41475,,126,,1
166,0.4173,,127,,1
167,0.41975,,127,,1
168,0.42234,,127,,1
169,0.42487,,127,,1
170,0.42748,,127,,1
171,0.43014,,127,,1
172,0.43268,,127,,1
173,0.4353,,127,,1
174,0.43792,,127,,1
175,0.44058,,127,,1
176,0.44326,,128,,1
177,0.44583,,128,,1
178,0.44851,,128,,1
179,0.45109,,128,,1
180,0.45364,,129,,1
181,0.45633,,129,,1
182,0.45892,,129,,1
183,0.46138,,128,,1
184,0.46398,,128,,1
185,0.46642,,128,,1
186,0.46899,,128,,1
187,0.47157,,128,,1
188,0.4741,,128,,1
189,0.47663,,128,,1
190,0.47919,,128,,1
191,0.4818,,129,,1
192,0.48437,,129,,1
193,0.48689,,128,,1
194,0.48955,,128,,1
195,0.49223,,128,,1
196,0.49483,,128,,1
197,0.49746,,128,,1
198,0.49999,,128,,1
199,0.50259,,128,,1
200,0.50515,,129,,1
201,0.5077,,129,,1
202,0.51029,,128,,1
203,0.51272,,128,,1
204,0.51523,,128,,1
205,0.51776,,128,,1
206,0.52031,,128,,1
207,0.52277,,128,,1
208,0.52526,,128,,1
209,0.52788,,128,,1
210,0.53045,,128,,1
211,0.53296,,128,,1
212,0.5355,,128,,1
213,0.53795,,128,,1
214,0.54051,,127,,1
215,0.54295,,127,,1
216,0.54551,,127,,1
217,0.54807,,127,,1
218,0.55071,,127,,1
219,0.55332,,127,,1
220,0.55585,,127,,1
221,0.55844,,128,,1
222,0.56106,,128,,1
223,0.56365,,128,,1
224,0.56614,,128,,1
225,0.56872,,128,,1
