secs,km,power,hr,cad,alt
0,0,,127,,26.2
1,0.00232,,127,,26.4
2,0.00467,,127.222,,26.4444
3,0.00702,,127.444,,26.4889
4,0.00937,,127.667,,26.5333
5,0.01172,,127.889,,26.5778
6,0.01407,,128.111,,26.6222
7,0.01642,,128.333,,26.6667
8,0.01877,,128.556,,26.7111
9,0.02112,,128.778,,26.7556
10,0.02347,,129,,26.8
11,0.026028,,129.6,,26.92
12,0.028586,,130.2,,27.04
13,0.031144,,130.8,,27.16
14,0.033702,,131.4,,27.28
15,0.03626,,132,,27.4
16,0.0392757,,132.143,,27.2857
17,0.0422914,,132.286,,27.1714
18,0.0453071,,132.429,,27.0571
19,0.0483229,,132.571,,26.9429
20,0.0513386,,132.714,,26.8286
21,0.0543543,,132.857,,26.7143
22,0.05737,,133,,26.6
23,0.060135,,133,,26.55
24,0.0629,,133,,26.5
25,0.065665,,133,,26.45
26,0.06843,,133,,26.4
27,0.071195,,133,,26.35
28,0.07396,,133,,26.3
29,0.076725,,133,,26.25
30,0.07949,,133,,26.2
31,0.0821288,,133.125,,25.925
32,0.0847675,,133.25,,25.65
33,0.0874063,,133.375,,25.375
34,0.090045,,133.5,,25.1
35,0.0926838,,133.625,,24.825
36,0.0953225,,133.75,,24.55
37,0.0979613,,133.875,,24.275
38,0.1006,,134,,24
39,0.103376,,134,,23.825
40,0.106153,,134,,23.65
41,0.108929,,134,,23.475
42,0.111705,,134,,23.3
43,0.114481,,134,,23.125
44,0.117258,,134,,22.95
45,0.120034,,134,,22.775
46,0.12281,,134,,22.6
47,0.125469,,134,,22.725
48,0.128128,,134,,22.85
49,0.130786,,134,,22.975
50,0.133445,,134,,23.1
51,0.136104,,134,,23.225
52,0.138762,,134,,23.35
53,0.141421,,134,,23.475
54,0.14408,,134,,23.6
55,0.146145,,134,,23.6
56,0.14821,,134,,23.6
57,0.150275,,134,,23.6
58,0.15234,,134,,23.6
59,0.154726,,134.286,,23.4
60,0.157111,,134.571,,23.2
61,0.159497,,134.857,,23
62,0.161883,,135.143,,22.8
63,0.164269,,135.429,,22.6
64,0.166654,,135.714,,22.4
65,0.16904,,136,,22.2
66,0.17178,,136,,22.325
67,0.17452,,136,,22.45
68,0.17726,,136,,22.575
69,0.18,,136,,22.7
70,0.18274,,136,,22.825
71,0.18548,,136,,22.95
72,0.18822,,136,,23.075
73,0.19096,,136,,23.2
74,0.193629,,136.125,,23.275
75,0.196297,,136.25,,23.35
76,0.198966,,136.375,,23.425
77,0.201635,,136.5,,23.5
78,0.204304,,136.625,,23.575
79,0.206973,,136.75,,23.65
80,0.209641,,136.875,,23.725
81,0.21231,,137,,23.8
82,0.215018,,136.875,,23.75
83,0.217725,,136.75,,23.7
84,0.220433,,136.625,,23.65
85,0.22314,,136.5,,23.6
86,0.225847,,136.375,,23.55
87,0.228555,,136.25,,23.5
88,0.231262,,136.125,,23.45
89,0.23397,,136,,23.4
90,0.236586,,136.125,,23.575
91,0.239202,,136.25,,23.75
92,0.241819,,136.375,,23.925
93,0.244435,,136.5,,24.1
94,0.247051,,136.625,,24.275
95,0.249668,,136.75,,24.45
96,0.252284,,136.875,,24.625
97,0.2549,,137,,24.8
98,0.257437,,137,,24.85
99,0.259975,,137,,24.9
100,0.262513,,137,,24.95
101,0.26505,,137,,25
102,0.267587,,137,,25.05
103,0.270125,,137,,25.1
104,0.272663,,137,,25.15
105,0.2752,,137,,25.2
106,0.277889,,136.875,,25.325
107,0.280578,,136.75,,25.45
108,0.283266,,136.625,,25.575
109,0.285955,,136.5,,25.7
110,0.288644,,136.375,,25.825
111,0.291332,,136.25,,25.95
112,0.294021,,136.125,,26.075
113,0.29671,,136,,26.2
114,0.29878,,136.375,,25.95
115,0.30085,,136.75,,25.7
116,0.30292,,137.125,,25.45
117,0.30499,,137.5,,25.2
118,0.30706,,137.875,,24.95
119,0.30913,,138.25,,24.7
120,0.3112,,138.625,,24.45
121,0.31327,,139,,24.2
122,0.315668,,139.111,,24.1333
123,0.318066,,139.222,,24.0667
124,0.320463,,139.333,,24
125,0.322861,,139.444,,23.9333
126,0.325259,,139.556,,23.8667
127,0.327657,,139.667,,23.8
128,0.330054,,139.778,,23.7333
129,0.332452,,139.889,,23.6667
130,0.33485,,140,,23.6
131,0.337705,,140.25,,23.575
