secs,km,power,hr,cad,alt
0,0,,94,,334.2
1,0.00036,,95,,334.2
2,0.002835,,97,,334.2
3,0.00531,,99,,334.2
4,0.01033,,101,,335.2
5,0.015515,,104.5,,334.6
6,0.0207,,108,,334
7,0.025115,,112,,334.2
8,0.02953,,116,,334.4
9,0.03505,,120,,334.2
10,0.03975,,124,,334.4
11,0.04488,,129,,334.4
12,0.049475,,131,,334.3
13,0.05407,,133,,334.2
14,0.05882,,136,,334.2
15,0.06414,,139,,334
16,0.06849,,142,,334.4
17,0.07324,,143,,334.2
18,0.07777,,146,,334.2
19,0.081805,,147,,334.3
20,0.08584,,148,,334.4
21,0.09073,,150,,334.6
22,0.09477,,150.5,,334.9
23,0.09881,,151,,335.2
24,0.10343,,151.667,,335.267
25,0.10805,,152.333,,335.333
26,0.11267,,153,,335.4
27,0.116868,,153.2,,335.36
28,0.121066,,153.4,,335.32
29,0.125264,,153.6,,335.28
30,0.129462,,153.8,,335.24
31,0.13366,,154,,335.2
32,0.137733,,154.333,,335.533
33,0.141807,,154.667,,335.867
34,0.14588,,155,,336.2
35,0.15024,,155,,336.2
36,0.15491,,155,,336.3
37,0.15958,,155,,336.4
38,0.16425,,155,,336.5
39,0.16892,,155,,336.6
40,0.17332,,155.25,,336.75
41,0.17772,,155.5,,336.9
42,0.18212,,155.75,,337.05
43,0.18652,,156,,337.2
44,0.19136,,156,,337.2
45,0.19545,,157,,336.8
46,0.200025,,157,,337.1
47,0.2046,,157,,337.4
48,0.20812,,157,,337
49,0.2123,,157,,337.2
50,0.21648,,157,,337.4
51,0.22066,,157,,337.6
52,0.22484,,157,,337.8
53,0.22902,,157,,338
54,0.23277,,158,,338
55,0.237144,,157.8,,338
56,0.241518,,157.6,,338
57,0.245892,,157.4,,338
58,0.250266,,157.2,,338
59,0.25464,,157,,338
60,0.259172,,157.25,,338.1
61,0.263705,,157.5,,338.2
62,0.268238,,157.75,,338.3
63,0.27277,,158,,338.4
64,0.277725,,158.5,,338.2
65,0.28268,,159,,338
66,0.287285,,159,,337.8
67,0.29189,,159,,337.6
68,0.296055,,158.5,,337.8
69,0.30022,,158,,338
70,0.304753,,158,,337.867
71,0.309287,,158,,337.733
72,0.31382,,158,,337.6
73,0.31724,,159,,338
74,0.321522,,159,,337.96
75,0.325804,,159,,337.92
76,0.330086,,159,,337.88
77,0.334368,,159,,337.84
78,0.33865,,159,,337.8
79,0.343316,,159,,337.92
80,0.347982,,159,,338.04
81,0.352648,,159,,338.16
82,0.357314,,159,,338.28
83,0.36198,,159,,338.4
84,0.36654,,159,,338.1
85,0.3711,,159,,337.8
86,0.37629,,158,,338.2
87,0.381085,,158.5,,337.7
88,0.38588,,159,,337.2
89,0.39014,,158,,337.2
90,0.394395,,158,,337.5
91,0.39865,,158,,337.8
92,0.403176,,158,,337.6
93,0.407702,,158,,337.4
94,0.412228,,158,,337.2
95,0.416754,,158,,337
96,0.42128,,158,,336.8
97,0.425682,,158,,336.5
98,0.430085,,158,,336.2
99,0.434488,,158,,335.9
100,0.43889,,158,,335.6
101,0.443197,,158,,335.533
102,0.447503,,158,,335.467
103,0.45181,,158,,335.4
104,0.456087,,158,,335.3
105,0.460365,,158,,335.2
106,0.464643,,158,,335.1
107,0.46892,,158,,335
108,0.473365,,157.75,,334.85
109,0.47781,,157.5,,334.7
110,0.482255,,157.25,,334.55
111,0.4867,,157,,334.4
112,0.49084,,157,,334.6
113,0.495236,,157.2,,334.48
114,0.499632,,157.4,,334.36
115,0.504028,,157.6,,334.24
116,0.508424,,157.8,,334.12
117,0.51282,,158,,334
118,0.5173,,157.8,,333.92
119,0.52178,,157.6,,333.84
120,0.52626,,157.4,,333.76
121,0.53074,,157.2,,333.68
122,0.53522,,157,,333.6
123,0.53948,,158,,333.4
124,0.54382,,157.75,,333.15
125,0.54816,,157.5,,332.9
126,0.5525,,157.25,,332.65
127,0.55684,,157,,332.4
128,0.561466,,157,,332.4
129,0.566092,,157,,332.4
130,0.570718,,157,,332.4
131,0.575344,,157,,332.4
132,0.57997,,157,,332.4
133,0.58443,,157,,332.2
134,0.58889,,157,,332
135,0.593627,,157,,331.95
136,0.598365,,157,,331.9
137,0.603103,,157,,331.85
138,0.60784,,157,,331.8
139,0.60947,,157,,331.2
140,0.614415,,157,,331.3
141,0.61936,,157,,331.4
142,0.62357,,157,,330.6
143,0.627667,,157,,330.4
144,0.631765,,157,,330.2
145,0.635862,,157,,330
146,0.63996,,157,,329.8
147,0.64426,,157.2,,329.84
148,0.64856,,157.4,,329.88
149,0.65286,,157.6,,329.92
150,0.65716,,157.8,,329.96
151,0.66146,,158,,330
152,0.665325,,158,,329.8
153,0.66919,,158,,329.6
154,0.67329,,158,,329.9
155,0.67739,,158,,330.2
156,0.681662,,158.2,,330.2
157,0.685934,,158.4,,330.2
158,0.690206,,158.6,,330.2
159,0.694478,,158.8,,330.2
160,0.69875,,159,,330.2
161,0.702778,,159,,330.2
162,0.706806,,159,,330.2
163,0.710834,,159,,330.2
164,0.714862,,159,,330.2
165,0.71889,,159,,330.2
166,0.722823,,158.833,,330.267
167,0.726757,,158.667,,330.333
168,0.73069,,158.5,,330.4
169,0.734623,,158.333,,330.467
