secs,km,power,hr,cad,alt
0,0,,105,,290.2
1,0.00234,,106,,289.6
2,0.00490333,,107,,289.733
3,0.00746667,,108,,289.867
4,0.01003,,109,,290
5,0.0124411,,109.222,,290.022
6,0.0148522,,109.444,,290.044
7,0.0172633,,109.667,,290.067
8,0.0196744,,109.889,,290.089
9,0.0220856,,110.111,,290.111
10,0.0244967,,110.333,,290.133
11,0.0269078,,110.556,,290.156
12,0.0293189,,110.778,,290.178
13,0.03173,,111,,290.2
14,0.03453,,111.6,,290.16
15,0.03733,,112.2,,290.12
16,0.04013,,112.8,,290.08
17,0.04293,,113.4,,290.04
18,0.04573,,114,,290
19,0.048442,,114.6,,290.04
20,0.051154,,115.2,,290.08
21,0.053866,,115.8,,290.12
22,0.056578,,116.4,,290.16
23,0.05929,,117,,290.2
24,0.0616256,,117.333,,290.178
25,0.0639611,,117.667,,290.156
26,0.0662967,,118,,290.133
27,0.0686322,,118.333,,290.111
28,0.0709678,,118.667,,290.089
29,0.0733033,,119,,290.067
30,0.0756389,,119.333,,290.044
31,0.0779744,,119.667,,290.022
32,0.08031,,120,,290
33,0.083,,120.25,,290.025
34,0.08569,,120.5,,290.05
35,0.08838,,120.75,,290.075
36,0.09107,,121,,290.1
37,0.09376,,121.25,,290.125
38,0.09645,,121.5,,290.15
39,0.09914,,121.75,,290.175
40,0.10183,,122,,290.2
41,0.104841,,122.286,,290.171
42,0.107853,,122.571,,290.143
43,0.110864,,122.857,,290.114
44,0.113876,,123.143,,290.086
45,0.116887,,123.429,,290.057
46,0.119899,,123.714,,290.029
47,0.12291,,124,,290
48,0.12528,,124.25,,290
49,0.12765,,124.5,,290
50,0.13002,,124.75,,290
51,0.13239,,125,,290
52,0.135093,,125,,289.925
53,0.137795,,125,,289.85
54,0.140497,,125,,289.775
55,0.1432,,125,,289.7
56,0.145903,,125,,289.625
57,0.148605,,125,,289.55
58,0.151308,,125,,289.475
59,0.15401,,125,,289.4
60,0.15702,,125.143,,289.457
61,0.16003,,125.286,,289.514
62,0.16304,,125.429,,289.571
63,0.16605,,125.571,,289.629
64,0.16906,,125.714,,289.686
65,0.17207,,125.857,,289.743
66,0.17508,,126,,289.8
67,0.177929,,126.25,,289.825
68,0.180778,,126.5,,289.85
69,0.183626,,126.75,,289.875
70,0.186475,,127,,289.9
71,0.189324,,127.25,,289.925
72,0.192172,,127.5,,289.95
73,0.195021,,127.75,,289.975
74,0.19787,,128,,290
75,0.200537,,128,,290.033
76,0.203203,,128,,290.067
77,0.20587,,128,,290.1
78,0.208537,,128,,290.133
79,0.211203,,128,,290.167
80,0.21387,,128,,290.2
81,0.216236,,128,,290.133
82,0.218601,,128,,290.067
83,0.220967,,128,,290
84,0.223332,,128,,289.933
85,0.225698,,128,,289.867
86,0.228063,,128,,289.8
87,0.230429,,128,,289.733
88,0.232794,,128,,289.667
89,0.23516,,128,,289.6
90,0.237965,,128,,289.725
91,0.24077,,128,,289.85
92,0.243575,,128,,289.975
93,0.24638,,128,,290.1
94,0.249185,,128,,290.225
95,0.25199,,128,,290.35
96,0.254795,,128,,290.475
97,0.2576,,128,,290.6
98,0.26087,,128,,290.6
99,0.263415,,128.5,,290.7
100,0.26596,,129,,290.8
101,0.268046,,129.1,,290.8
102,0.270132,,129.2,,290.8
103,0.272218,,129.3,,290.8
104,0.274304,,129.4,,290.8
105,0.27639,,129.5,,290.8
106,0.278476,,129.6,,290.8
107,0.280562,,129.7,,290.8
108,0.282648,,129.8,,290.8
109,0.284734,,129.9,,290.8
110,0.28682,,130,,290.8
111,0.289674,,130.125,,290.75
112,0.292527,,130.25,,290.7
113,0.295381,,130.375,,290.65
114,0.298235,,130.5,,290.6
115,0.301089,,130.625,,290.55
116,0.303943,,130.75,,290.5
117,0.306796,,130.875,,290.45
118,0.30965,,131,,290.4
119,0.313075,,130.833,,290.233
120,0.3165,,130.667,,290.067
121,0.319925,,130.5,,289.9
122,0.32335,,130.333,,289.733
123,0.326775,,130.167,,289.567
124,0.3302,,130,,289.4
125,0.3326,,130,,289.4
126,0.335,,130,,289.4
127,0.3374,,130,,289.4
128,0.3398,,130,,289.4
129,0.342049,,130,,289.4
130,0.344298,,130,,289.4
131,0.346547,,130,,289.4
132,0.348796,,130,,289.4
133,0.351044,,130,,289.4
134,0.353293,,130,,289.4
135,0.355542,,130,,289.4
136,0.357791,,130,,289.4
137,0.36004,,130,,289.4
138,0.362449,,130,,289.422
139,0.364858,,130,,289.444
140,0.367267,,130,,289.467
141,0.369676,,130,,289.489
142,0.372084,,130,,289.511
143,0.374493,,130,,289.533
144,0.376902,,130,,289.556
145,0.379311,,130,,289.578
146,0.38172,,130,,289.6
147,0.384019,,130,,289.578
148,0.386318,,130,,289.556
149,0.388617,,130,,289.533
150,0.390916,,130,,289.511
151,0.393214,,130,,289.489
152,0.395513,,130,,289.467
153,0.397812,,130,,289.444
154,0.400111,,130,,289.422
155,0.40241,,130,,289.4
156,0.405001,,130.125,,289.4
157,0.407593,,130.25,,289.4
158,0.410184,,130.375,,289.4
159,0.412775,,130.5,,289.4
160,0.415366,,130.625,,289.4
161,0.417957,,130.75,,289.4
162,0.420549,,130.875,,289.4
163,0.42314,,131,,289.4
164,0.426129,,131.143,,289.4
165,0.429117,,131.286,,289.4
166,0.432106,,131.429,,289.4
167,0.435094,,131.571,,289.4
168,0.438083,,131.714,,289.4
169,0.441071,,131.857,,289.4
170,0.44406,,132,,289.4
171,0.446629,,132.25,,289.4
172,0.449198,,132.5,,289.4
173,0.451766,,132.75,,289.4
174,0.454335,,133,,289.4
175,0.456904,,133.25,,289.4
176,0.459473,,133.5,,289.4
177,0.462041,,133.75,,289.4
178,0.46461,,134,,289.4
179,0.467283,,134,,289.4
180,0.469955,,134,,289.4
181,0.472627,,134,,289.4
182,0.4753,,134,,289.4
183,0.477973,,134,,289.4
184,0.480645,,134,,289.4
185,0.483317,,134,,289.4
186,0.48599,,134,,289.4
187,0.48902,,134,,289.4
188,0.49205,,134,,289.4
189,0.49508,,134,,289.4
190,0.49811,,134,,289.4
191,0.50114,,134,,289.4
192,0.50417,,134,,289.4
193,0.5072,,134,,289.4
194,0.50987,,133.75,,289.425
195,0.51254,,133.5,,289.45
196,0.51521,,133.25,,289.475
197,0.51788,,133,,289.5
198,0.52055,,132.75,,289.525
199,0.52322,,132.5,,289.55
200,0.52589,,132.25,,289.575
201,0.52856,,132,,289.6
202,0.531138,,132.125,,289.625
203,0.533715,,132.25,,289.65
204,0.536293,,132.375,,289.675
205,0.53887,,132.5,,289.7
206,0.541447,,132.625,,289.725
207,0.544025,,132.75,,289.75
208,0.546602,,132.875,,289.775
209,0.54918,,133,,289.8
210,0.552231,,133.143,,289.771
211,0.555283,,133.286,,289.743
212,0.558334,,133.429,,289.714
213,0.561386,,133.571,,289.686
214,0.564437,,133.714,,289.657
215,0.567489,,133.857,,289.629
216,0.57054,,134,,289.6
217,0.573225,,134.25,,289.675
218,0.57591,,134.5,,289.75
219,0.578595,,134.75,,289.825
