secs,km,power,hr,cad,alt
0,0,,72,,60.2
1,0,,72,,60.2
2,0.0008025,,72.25,,60.2
3,0.001605,,72.5,,60.2
4,0.0024075,,72.75,,60.2
5,0.00321,,73,,60.2
6,0.00428667,,73.5,,60.1667
7,0.00536333,,74,,60.1333
8,0.00644,,74.5,,60.1
9,0.00751667,,75,,60.0667
10,0.00859333,,75.5,,60.0333
11,0.00967,,76,,60
12,0.013995,,76,,60.45
13,0.01832,,76,,60.9
14,0.022645,,76,,61.35
15,0.02697,,76,,61.8
16,0.02886,,77,,62
17,0.03119,,77.75,,62.25
18,0.03352,,78.5,,62.5
19,0.03585,,79.25,,62.75
20,0.03818,,80,,63
21,0.04126,,84,,63.2
22,0.04424,,88,,63.4
23,0.04702,,90,,63.6
24,0.0498,,92,,63.8
25,0.05222,,93,,64
26,0.0547,,94,,64.2667
27,0.05718,,95,,64.5333
28,0.05966,,96,,64.8
29,0.06273,,97,,65.3
30,0.0658,,98,,65.8
31,0.06855,,98.6,,66
32,0.0713,,99.2,,66.2
33,0.07405,,99.8,,66.4
34,0.0768,,100.4,,66.6
35,0.07955,,101,,66.8
36,0.08226,,102,,66.8667
37,0.08497,,103,,66.9333
38,0.08768,,104,,67
39,0.0908333,,105,,67.0667
40,0.0939867,,106,,67.1333
41,0.09714,,107,,67.2
42,0.100587,,108,,67.6
43,0.104033,,109,,68
44,0.10748,,110,,68.4
45,0.110075,,111.5,,68.6
46,0.11267,,113,,68.8
47,0.116,,114,,69
48,0.11933,,115,,69.2
49,0.12266,,116,,69.4
50,0.12599,,117,,69.6
51,0.12851,,117.5,,69.6
52,0.13103,,118,,69.6
53,0.133845,,118.75,,69.65
54,0.13666,,119.5,,69.7
55,0.139475,,120.25,,69.75
56,0.14229,,121,,69.8
57,0.145683,,121.333,,70.1
58,0.149077,,121.667,,70.4
59,0.15247,,122,,70.7
60,0.155863,,122.333,,71
61,0.159257,,122.667,,71.3
62,0.16265,,123,,71.6
63,0.165746,,122.286,,71.9143
64,0.168841,,121.571,,72.2286
65,0.171937,,120.857,,72.5429
66,0.175033,,120.143,,72.8571
67,0.178129,,119.429,,73.1714
68,0.181224,,118.714,,73.4857
69,0.18432,,118,,73.8
70,0.186995,,118.75,,74
71,0.18967,,119.5,,74.2
72,0.192345,,120.25,,74.4
73,0.19502,,121,,74.6
74,0.197575,,122.5,,74.8
75,0.20013,,124,,75
76,0.203038,,124.75,,74.95
77,0.205945,,125.5,,74.9
78,0.208852,,126.25,,74.85
79,0.21176,,127,,74.8
80,0.214698,,127.6,,74.72
81,0.217636,,128.2,,74.64
82,0.220574,,128.8,,74.56
83,0.223512,,129.4,,74.48
84,0.22645,,130,,74.4
85,0.229516,,130.143,,74.4286
86,0.232581,,130.286,,74.4571
87,0.235647,,130.429,,74.4857
88,0.238713,,130.571,,74.5143
89,0.241779,,130.714,,74.5429
90,0.244844,,130.857,,74.5714
91,0.24791,,131,,74.6
92,0.250672,,131,,74.725
93,0.253435,,131,,74.85
94,0.256197,,131,,74.975
95,0.25896,,131,,75.1
96,0.261722,,131,,75.225
97,0.264485,,131,,75.35
98,0.267247,,131,,75.475
99,0.27001,,131,,75.6
100,0.272931,,130.714,,75.9143
101,0.275853,,130.429,,76.2286
102,0.278774,,130.143,,76.5429
103,0.281696,,129.857,,76.8571
104,0.284617,,129.571,,77.1714
105,0.287539,,129.286,,77.4857
106,0.29046,,129,,77.8
107,0.294358,,129.333,,77.6333
108,0.298257,,129.667,,77.4667
109,0.302155,,130,,77.3
110,0.306053,,130.333,,77.1333
111,0.309952,,130.667,,76.9667
112,0.31385,,131,,76.8
113,0.317283,,131.333,,76.2667
114,0.320717,,131.667,,75.7333
115,0.32415,,132,,75.2
116,0.327583,,132.333,,74.6667
117,0.331017,,132.667,,74.1333
118,0.33445,,133,,73.6
119,0.337803,,133,,73.2667
