secs,km,power,hr,cad,alt
0,0,,155,,0
1,0.002685,,155.5,,0
2,0.00537,,156,,0
3,0.008055,,156.5,,0
4,0.01074,,157,,0
5,0.013425,,157.5,,0
6,0.01611,,158,,0
7,0.0190543,,158.286,,0
8,0.0219986,,158.571,,0
9,0.0249429,,158.857,,0
10,0.0278871,,159.143,,0
11,0.0308314,,159.429,,0
12,0.0337757,,159.714,,0
13,0.03672,,160,,0
14,0.0396,,158.5,,0
15,0.04248,,157,,0
16,0.0455643,,157,,0
17,0.0486486,,157,,0
18,0.0517329,,157,,0
19,0.0548171,,157,,0
20,0.0579014,,157,,0
21,0.0609857,,157,,0
22,0.06407,,157,,0
23,0.067085,,157.75,,0
24,0.0701,,158.5,,0
25,0.073115,,159.25,,0
26,0.07613,,160,,0
27,0.0792643,,159.429,,0
28,0.0823986,,158.857,,0
29,0.0855329,,158.286,,0
30,0.0886671,,157.714,,0
31,0.0918014,,157.143,,0
32,0.0949357,,156.571,,0
33,0.09807,,156,,0
34,0.101041,,156,,0
35,0.104013,,156,,0
36,0.106984,,156,,0
37,0.109956,,156,,0
38,0.112927,,156,,0
39,0.115899,,156,,0
40,0.11887,,156,,0
41,0.121795,,155.5,,0
42,0.12472,,155,,0
43,0.127645,,154.5,,0
44,0.13057,,154,,0
45,0.133495,,153.5,,0
46,0.13642,,153,,0
47,0.13948,,152.857,,0
48,0.14254,,152.714,,0
49,0.1456,,152.571,,0
50,0.14866,,152.429,,0
51,0.15172,,152.286,,0
52,0.15478,,152.143,,0
53,0.15784,,152,,0
54,0.160854,,152.571,,0
55,0.163869,,153.143,,0
56,0.166883,,153.714,,0
57,0.169897,,154.286,,0
58,0.172911,,154.857,,0
59,0.175926,,155.429,,0
60,0.17894,,156,,0
61,0.182224,,156.429,,0
62,0.185509,,156.857,,0
63,0.188793,,157.286,,0
64,0.192077,,157.714,,0
65,0.195361,,158.143,,0
66,0.198646,,158.571,,0
67,0.20193,,159,,0
68,0.205295,,159.333,,0
69,0.20866,,159.667,,0
70,0.212025,,160,,0
71,0.21539,,160.333,,0
72,0.218755,,160.667,,0
73,0.22212,,161,,0
74,0.225397,,160.167,,0
75,0.228673,,159.333,,0
76,0.23195,,158.5,,0
77,0.235227,,157.667,,0
78,0.238503,,156.833,,0
79,0.24178,,156,,0
80,0.245002,,155.333,,0
81,0.248223,,154.667,,0
82,0.251445,,154,,0
83,0.254667,,153.333,,0
84,0.257888,,152.667,,0
85,0.26111,,152,,0
86,0.264297,,152,,0
87,0.267484,,152,,0
88,0.270671,,152,,0
89,0.273859,,152,,0
90,0.277046,,152,,0
91,0.280233,,152,,0
92,0.28342,,152,,0
93,0.28657,,156,,0
94,0.289644,,156.143,,0
95,0.292719,,156.286,,0
96,0.295793,,156.429,,0
97,0.298867,,156.571,,0
98,0.301941,,156.714,,0
99,0.305016,,156.857,,0
100,0.30809,,157,,0
101,0.311217,,157.429,,0
