secs,km,power,hr,cad,alt
0,0,,72,,697.4
1,0.00331,,72,,697.4
2,0.00557333,,70.8333,,697.467
3,0.00783667,,69.6667,,697.533
4,0.0101,,68.5,,697.6
5,0.0123633,,67.3333,,697.667
6,0.0146267,,66.1667,,697.733
7,0.01689,,65,,697.8
8,0.01975,,65,,698
9,0.0228467,,65.8333,,697.967
10,0.0259433,,66.6667,,697.933
11,0.02904,,67.5,,697.9
12,0.0321367,,68.3333,,697.867
13,0.0352333,,69.1667,,697.833
14,0.03833,,70,,697.8
15,0.0413925,,71,,697.65
16,0.044455,,72,,697.5
17,0.0475175,,73,,697.35
18,0.05058,,74,,697.2
19,0.05301,,74,,696.8
20,0.05536,,79,,696.4
21,0.05755,,82,,696
22,0.05973,,87,,695.8
23,0.06198,,90,,695.4
24,0.06449,,91,,695
25,0.067,,92,,694.6
26,0.06951,,93,,694.2
27,0.0722571,,93.4286,,693.886
28,0.0750043,,93.8571,,693.571
29,0.0777514,,94.2857,,693.257
30,0.0804986,,94.7143,,692.943
31,0.0832457,,95.1429,,692.629
32,0.0859929,,95.5714,,692.314
33,0.08874,,96,,692
34,0.0915525,,97,,691.9
35,0.094365,,98,,691.8
36,0.0971775,,99,,691.7
37,0.09999,,100,,691.6
38,0.102715,,100,,691.55
39,0.10544,,100,,691.5
40,0.108165,,100,,691.45
41,0.11089,,100,,691.4
42,0.113615,,100,,691.35
43,0.11634,,100,,691.3
44,0.119065,,100,,691.25
45,0.12179,,100,,691.2
46,0.124622,,101.25,,691.3
47,0.127455,,102.5,,691.4
48,0.130288,,103.75,,691.5
49,0.13312,,105,,691.6
50,0.136343,,105.286,,691.829
51,0.139566,,105.571,,692.057
52,0.142789,,105.857,,692.286
53,0.146011,,106.143,,692.514
54,0.149234,,106.429,,692.743
55,0.152457,,106.714,,692.971
56,0.15568,,107,,693.2
57,0.158356,,107.125,,693.45
58,0.161033,,107.25,,693.7
59,0.163709,,107.375,,693.95
60,0.166385,,107.5,,694.2
61,0.169061,,107.625,,694.45
62,0.171737,,107.75,,694.7
63,0.174414,,107.875,,694.95
64,0.17709,,108,,695.2
65,0.18036,,108,,695.229
66,0.18363,,108,,695.257
67,0.1869,,108,,695.286
68,0.19017,,108,,695.314
69,0.19344,,108,,695.343
70,0.19671,,108,,695.371
71,0.19998,,108,,695.4
72,0.202724,,107.875,,695.825
73,0.205467,,107.75,,696.25
74,0.208211,,107.625,,696.675
75,0.210955,,107.5,,697.1
76,0.213699,,107.375,,697.525
77,0.216442,,107.25,,697.95
78,0.219186,,107.125,,698.375
79,0.22193,,107,,698.8
80,0.224002,,107.5,,698.375
81,0.226075,,108,,697.95
82,0.228148,,108.5,,697.525
83,0.23022,,109,,697.1
84,0.232292,,109.5,,696.675
85,0.234365,,110,,696.25
86,0.236437,,110.5,,695.825
87,0.23851,,111,,695.4
88,0.241013,,110.5,,695.3
89,0.243517,,110,,695.2
90,0.24602,,109.5,,695.1
91,0.248523,,109,,695
92,0.251027,,108.5,,694.9
93,0.25353,,108,,694.8
94,0.256249,,108.125,,694.925
95,0.258968,,108.25,,695.05
96,0.261686,,108.375,,695.175
97,0.264405,,108.5,,695.3
98,0.267124,,108.625,,695.425
99,0.269842,,108.75,,695.55
100,0.272561,,108.875,,695.675
101,0.27528,,109,,695.8
102,0.278022,,109.5,,696.033
103,0.280763,,110,,696.267
104,0.283505,,110.5,,696.5
105,0.286247,,111,,696.733
106,0.288988,,111.5,,696.967
107,0.29173,,112,,697.2
108,0.294161,,111.571,,697.343
109,0.296593,,111.143,,697.486
110,0.299024,,110.714,,697.629
111,0.301456,,110.286,,697.771
112,0.303887,,109.857,,697.914
113,0.306319,,109.429,,698.057
114,0.30875,,109,,698.2
115,0.311307,,109.429,,697.686
116,0.313864,,109.857,,697.171
117,0.316421,,110.286,,696.657
118,0.318979,,110.714,,696.143
119,0.321536,,111.143,,695.629
120,0.324093,,111.571,,695.114
121,0.32665,,112,,694.6
122,0.329496,,112.125,,695
123,0.332342,,112.25,,695.4
124,0.335189,,112.375,,695.8
125,0.338035,,112.5,,696.2
126,0.340881,,112.625,,696.6
127,0.343728,,112.75,,697
128,0.346574,,112.875,,697.4
129,0.34942,,113,,697.8
130,0.352274,,113,,698.075
131,0.355128,,113,,698.35
132,0.357981,,113,,698.625
133,0.360835,,113,,698.9
134,0.363689,,113,,699.175
135,0.366542,,113,,699.45
136,0.369396,,113,,699.725
137,0.37225,,113,,700
138,0.374948,,112.5,,699.933
139,0.377647,,112,,699.867
140,0.380345,,111.5,,699.8
141,0.383043,,111,,699.733
142,0.385742,,110.5,,699.667
143,0.38844,,110,,699.6
144,0.390977,,111,,699.6
145,0.393513,,112,,699.6
146,0.39605,,113,,699.6
147,0.398668,,112.875,,699.8
148,0.401285,,112.75,,700
149,0.403902,,112.625,,700.2
150,0.40652,,112.5,,700.4
151,0.409138,,112.375,,700.6
152,0.411755,,112.25,,700.8
153,0.414373,,112.125,,701
154,0.41699,,112,,701.2
155,0.419423,,112,,701.067
156,0.421857,,112,,700.933
157,0.42429,,112,,700.8
158,0.426723,,112,,700.667
159,0.429157,,112,,700.533
160,0.43159,,112,,700.4
161,0.434023,,112,,700.267
162,0.436457,,112,,700.133
163,0.43889,,112,,700
164,0.441555,,111.875,,699.825
165,0.44422,,111.75,,699.65
166,0.446885,,111.625,,699.475
167,0.44955,,111.5,,699.3
168,0.452215,,111.375,,699.125
169,0.45488,,111.25,,698.95
170,0.457545,,111.125,,698.775
171,0.46021,,111,,698.6
172,0.462917,,111.625,,698.5
173,0.465625,,112.25,,698.4
174,0.468333,,112.875,,698.3
175,0.47104,,113.5,,698.2
176,0.473747,,114.125,,698.1
177,0.476455,,114.75,,698
178,0.479163,,115.375,,697.9
179,0.48187,,116,,697.8
180,0.484695,,115.875,,697.825
181,0.48752,,115.75,,697.85
182,0.490345,,115.625,,697.875
183,0.49317,,115.5,,697.9
184,0.495995,,115.375,,697.925
185,0.49882,,115.25,,697.95
186,0.501645,,115.125,,697.975
187,0.50447,,115,,698
188,0.50728,,114.875,,697.975
189,0.51009,,114.75,,697.95
190,0.5129,,114.625,,697.925
191,0.51571,,114.5,,697.9
192,0.51852,,114.375,,697.875
193,0.52133,,114.25,,697.85
194,0.52414,,114.125,,697.825
195,0.52695,,114,,697.8
196,0.529613,,113.5,,697.767
197,0.532277,,113,,697.733
198,0.53494,,112.5,,697.7
199,0.537603,,112,,697.667
200,0.540267,,111.5,,697.633
201,0.54293,,111,,697.6
202,0.545655,,110.875,,697.375
203,0.54838,,110.75,,697.15
204,0.551105,,110.625,,696.925
205,0.55383,,110.5,,696.7
206,0.556555,,110.375,,696.475
207,0.55928,,110.25,,696.25
208,0.562005,,110.125,,696.025
209,0.56473,,110,,695.8
210,0.567536,,110,,696.075
211,0.570342,,110,,696.35
212,0.573149,,110,,696.625
213,0.575955,,110,,696.9
214,0.578761,,110,,697.175
215,0.581568,,110,,697.45
216,0.584374,,110,,697.725
217,0.58718,,110,,698
218,0.590067,,110.143,,697.629
219,0.592954,,110.286,,697.257
220,0.595841,,110.429,,696.886
221,0.598729,,110.571,,696.514
222,0.601616,,110.714,,696.143
223,0.604503,,110.857,,695.771
224,0.60739,,111,,695.4
225,0.609985,,111,,695.325
226,0.61258,,111,,695.25
227,0.615175,,111,,695.175
228,0.61777,,111,,695.1
229,0.620365,,111,,695.025
230,0.62296,,111,,694.95
231,0.625555,,111,,694.875
232,0.62815,,111,,694.8
233,0.630993,,110.5,,694.967
234,0.633837,,110,,695.133
235,0.63668,,109.5,,695.3
