secs,km,power,hr,cad,alt
0,0,,77,,20
1,0.003,,77,,20
2,0.003,,77,,21
3,0.003,,77,,21
4,0.003,,77,,21
5,0.003,,77,,21
6,0.016,,77,,21
7,0.016,,77,,21
8,0.016,,79,,21
9,0.016,,80,,21
10,0.027,,80,,21
11,0.027,,82,,21
12,0.027,,84,,22
13,0.027,,87,,21
14,0.039,,87,,21
15,0.039,,87,,21
16,0.039,,87,,21
17,0.039,,87,,21
18,0.05,,87,,21
19,0.05,,87,,21
20,0.05,,87,,21
21,0.05,,87,,22
22,0.05,,87,,22
23,0.063,,87,,22
24,0.063,,87,,22
25,0.063,,87,,22
26,0.063,,88,,22
27,0.076,,91,,22
28,0.076,,94,,22
29,0.076,,98,,23
30,0.086,,103,,23
31,0.086,,105,,23
32,0.086,,106,,23
33,0.086,,108,,23
34,0.086,,109,,23
35,0.098,,109,,23
36,0.098,,110,,23
37,0.098,,110,,23
38,0.098,,110,,23
39,0.098,,110,,23
40,0.108,,111,,23
41,0.108,,111,,23
42,0.108,,111,,23
43,0.108,,111,,23
44,0.108,,112,,23
45,0.108,,112,,23
46,0.121,,112,,23
47,0.121,,112,,23
48,0.121,,112,,23
49,0.131,,112,,23
50,0.131,,112,,23
51,0.131,,111,,23
52,0.142,,111,,23
53,0.142,,111,,23
54,0.142,,112,,23
55,0.142,,113,,23
56,0.152,,111,,23
57,0.152,,111,,23
58,0.152,,112,,23
59,0.152,,112,,23
60,0.152,,113,,23
61,0.164,,112,,23
62,0.164,,112,,22
63,0.164,,112,,22
64,0.164,,115,,22
65,0.174,,115,,22
66,0.174,,116,,22
67,0.174,,116,,22
68,0.174,,116,,22
69,0.186,,116,,22
70,0.186,,117,,22
71,0.186,,117,,22
72,0.196,,118,,22
73,0.196,,118,,22
74,0.196,,119,,22
75,0.196,,117,,22
76,0.208,,117,,22
77,0.208,,117,,21
78,0.208,,117,,22
79,0.208,,117,,21
80,0.219,,117,,21
81,0.219,,116,,22
82,0.219,,116,,21
83,0.219,,116,,21
84,0.229,,115,,21
85,0.229,,115,,21
86,0.229,,114,,22
87,0.229,,114,,22
88,0.239,,114,,22
89,0.239,,114,,22
90,0.239,,115,,21
91,0.239,,115,,21
92,0.25,,115,,21
93,0.25,,116,,21
94,0.25,,116,,21
95,0.25,,115,,21
96,0.261,,115,,21
97,0.261,,116,,21
98,0.261,,116,,21
99,0.261,,116,,21
100,0.272,,117,,21
101,0.272,,118,,21
102,0.272,,118,,21
103,0.272,,118,,21
104,0.272,,119,,21
105,0.283,,119,,21
106,0.283,,120,,22
107,0.283,,120,,22
108,0.283,,121,,22
109,0.283,,121,,22
110,0.297,,121,,22
111,0.297,,121,,22
112,0.297,,121,,22
113,0.307,,121,,22
114,0.307,,121,,22
115,0.307,,122,,22
116,0.307,,122,,22
117,0.32,,122,,22
118,0.32,,122,,22
119,0.32,,122,,22
120,0.32,,121,,22
121,0.32,,121,,22
122,0.332,,122,,22
123,0.332,,122,,22
124,0.332,,122,,22
125,0.332,,122,,22
126,0.345,,121,,21
127,0.345,,121,,21
128,0.345,,121,,21
129,0.356,,121,,21
130,0.356,,121,,21
131,0.356,,121,,21
132,0.367,,120,,21
133,0.367,,120,,21
134,0.367,,120,,20
135,0.367,,121,,20
136,0.379,,121,,20
137,0.379,,121,,20
138,0.379,,121,,20
139,0.379,,122,,20
140,0.392,,122,,19
141,0.392,,122,,19
142,0.392,,122,,19
143,0.392,,122,,19
144,0.403,,122,,19
145,0.403,,122,,19
146,0.403,,122,,19
147,0.403,,122,,19
148,0.415,,122,,19
149,0.415,,122,,19
150,0.415,,122,,19
151,0.415,,123,,19
152,0.427,,123,,19
153,0.427,,123,,19
154,0.427,,123,,19
155,0.427,,123,,19
156,0.439,,123,,19
157,0.439,,122,,19
158,0.439,,121,,19
159,0.439,,120,,19
160,0.45,,119,,19
161,0.45,,119,,19
162,0.45,,119,,19
163,0.45,,119,,19
164,0.45,,119,,19
165,0.45,,120,,19
166,0.46,,120,,19
167,0.46,,120,,19
168,0.46,,120,,19
169,0.46,,121,,20
170,0.472,,121,,20
171,0.472,,121,,20
172,0.472,,122,,20
173,0.472,,122,,20
174,0.485,,122,,20
175,0.485,,123,,20
176,0.485,,123,,20
177,0.485,,123,,20
178,0.496,,123,,21
179,0.496,,123,,20
180,0.496,,123,,20
181,0.507,,123,,20
182,0.507,,123,,21
183,0.507,,123,,21
184,0.518,,123,,21
185,0.518,,123,,21
186,0.518,,122,,21
187,0.518,,122,,21
188,0.53,,123,,21
189,0.53,,123,,21
190,0.53,,123,,21
191,0.53,,123,,21
192,0.542,,122,,21
193,0.542,,122,,21
194,0.542,,123,,21
195,0.542,,123,,21
196,0.555,,123,,21
197,0.555,,123,,21
198,0.555,,123,,21
199,0.555,,123,,21
200,0.566,,123,,21
201,0.566,,123,,21
202,0.566,,124,,21
203,0.566,,124,,21
204,0.577,,125,,21
205,0.577,,125,,21
206,0.577,,125,,21
207,0.577,,125,,21
208,0.589,,125,,21
209,0.589,,125,,21
210,0.589,,125,,21
211,0.6,,125,,21
212,0.6,,125,,22
213,0.6,,126,,22
214,0.6,,126,,22
