secs,km,power,hr,cad,alt
0,0,,82,,104.4
1,0.00223,,83,,104.4
2,0.00416,,84,,104.4
3,0.00510333,,84.3333,,104.467
4,0.00604667,,84.6667,,104.533
5,0.00699,,85,,104.6
6,0.00793333,,85.3333,,104.667
7,0.00887667,,85.6667,,104.733
8,0.00982,,86,,104.8
9,0.0115217,,86,,104.8
10,0.0132233,,86,,104.8
11,0.014925,,86,,104.8
12,0.0166267,,86,,104.8
13,0.0183283,,86,,104.8
14,0.02003,,86,,104.8
15,0.0216867,,86,,104.8
16,0.0233433,,86,,104.8
17,0.025,,86,,104.8
18,0.0266567,,86,,104.8
19,0.0283133,,86,,104.8
20,0.02997,,86,,104.8
21,0.031545,,85.25,,104.8
22,0.03312,,84.5,,104.8
23,0.034695,,83.75,,104.8
24,0.03627,,83,,104.8
25,0.03799,,83.1667,,104.8
26,0.03971,,83.3333,,104.8
27,0.04143,,83.5,,104.8
28,0.04315,,83.6667,,104.8
29,0.04487,,83.8333,,104.8
30,0.04659,,84,,104.8
31,0.0485,,84.75,,104.8
32,0.05041,,85.5,,104.8
33,0.05232,,86.25,,104.8
34,0.05423,,87,,104.8
35,0.05618,,92,,104.8
36,0.05837,,92,,104.8
37,0.06048,,92.8,,104.8
38,0.06259,,93.6,,104.8
39,0.0647,,94.4,,104.8
40,0.06681,,95.2,,104.8
41,0.06892,,96,,104.8
42,0.0709525,,98,,104.8
43,0.072985,,100,,104.8
44,0.0750175,,102,,104.8
45,0.07705,,104,,104.8
46,0.07914,,107,,104.8
47,0.08108,,107,,104.8
48,0.08331,,111,,104.8
49,0.08548,,112.667,,104.933
50,0.08765,,114.333,,105.067
51,0.08982,,116,,105.2
52,0.091825,,117.5,,105.2
53,0.09383,,119,,105.2
54,0.09581,,122,,105.2
55,0.0977583,,121.833,,105.167
56,0.0997067,,121.667,,105.133
57,0.101655,,121.5,,105.1
58,0.103603,,121.333,,105.067
59,0.105552,,121.167,,105.033
60,0.1075,,121,,105
61,0.109593,,123,,105
62,0.111687,,125,,105
63,0.11378,,127,,105
64,0.115795,,127.333,,104.967
65,0.11781,,127.667,,104.933
66,0.119825,,128,,104.9
67,0.12184,,128.333,,104.867
68,0.123855,,128.667,,104.833
69,0.12587,,129,,104.8
70,0.12798,,130.5,,104.8
71,0.13009,,132,,104.8
72,0.132032,,132.6,,104.8
73,0.133974,,133.2,,104.8
74,0.135916,,133.8,,104.8
75,0.137858,,134.4,,104.8
76,0.1398,,135,,104.8
