secs,km,power,hr,cad,alt
0,0,,70,,174.2
1,0.00125,,70,,174.4
2,0.00336,,70,,174.4
3,0.00542,,69,,174.4
4,0.00808,,69,,174.4
5,0.01108,,69,,174.4
6,0.01409,,66,,174.4
7,0.01672,,66,,174.4
8,0.01968,,71,,174.4
9,0.02261,,74,,174.2
10,0.02543,,81,,174.2
11,0.0286,,84,,174
12,0.03163,,87,,174
13,0.03504,,89,,173.8
14,0.03847,,92,,173.6
15,0.04189,,97,,173.6
16,0.04528,,104,,173.4
17,0.04846,,105,,173
18,0.05174,,107,,172.8
19,0.05486,,110,,172.8
20,0.05793,,110,,172.6
21,0.06122,,112,,172.8
22,0.06454,,116,,172.6
23,0.06785,,119,,172.6
24,0.07105,,124,,172.4
25,0.0746,,126,,172.2
26,0.07804,,127,,172
27,0.08147,,126,,171.8
28,0.08502,,126,,171.6
29,0.08873,,126,,171.4
30,0.09231,,126,,171.2
31,0.09597,,127,,170.6
32,0.0992,,127,,170.2
33,0.10247,,128,,170
34,0.10596,,128,,169.6
35,0.10894,,127,,169.2
36,0.11205,,125,,169
37,0.11525,,126,,168.8
38,0.11848,,126,,168.6
39,0.12133,,128,,168.4
40,0.12446,,129,,168.2
41,0.12768,,132,,168
42,0.13073,,132,,167.8
43,0.13392,,132,,167.6
44,0.13709,,131,,167.8
45,0.14007,,131,,167.8
46,0.14302,,130,,167.8
47,0.14631,,129,,167.8
48,0.14921,,130,,167.6
49,0.15141,,130,,167.6
50,0.15389,,132,,167.8
51,0.15631,,131,,167.8
52,0.15875,,130,,168
53,0.16119,,129,,168.2
54,0.16372,,130,,168
55,0.1664,,129,,168
56,0.16913,,130,,168
57,0.17211,,131,,168
58,0.17528,,132,,168
59,0.178,,133,,167.6
60,0.18076,,133,,167.4
61,0.18353,,133,,167.4
62,0.18611,,134,,167.2
63,0.189,,134,,167
64,0.19216,,133,,166.8
65,0.19507,,133,,166.8
66,0.19757,,134,,166.2
67,0.20079,,134,,165.8
68,0.20412,,133,,165.4
69,0.20738,,132,,164.8
70,0.21071,,133,,164.6
71,0.21391,,133,,164.2
72,0.21672,,132,,163.8
73,0.21975,,132,,163.2
74,0.22292,,133,,163
75,0.22609,,133,,162.6
76,0.22925,,133,,162.6
77,0.23258,,134,,162.4
78,0.23594,,134,,162.4
79,0.23893,,134,,162
80,0.24195,,134,,162
81,0.24509,,134,,161.6
82,0.2481,,135,,161.4
83,0.25109,,135,,160.6
84,0.25403,,136,,160.6
85,0.25653,,137,,160.2
86,0.25869,,138,,160.2
87,0.26091,,138,,160.6
88,0.2633,,138,,160.4
89,0.26541,,138,,160.8
90,0.26812,,137,,161.2
91,0.271,,137,,161.4
92,0.27359,,137,,161.8
93,0.27645,,137,,162.4
94,0.2798,,137,,162.6
95,0.28315,,137,,163
96,0.28616,,137,,163.6
97,0.28927,,137,,164
98,0.29229,,137,,164.2
99,0.295,,137,,164.8
100,0.29769,,136,,165.2
101,0.3007,,136,,165.2
102,0.30376,,136,,165.4
103,0.30679,,135,,165.6
104,0.30992,,135,,165.8
105,0.31283,,135,,166.4
106,0.31559,,135,,166.6
107,0.31828,,135,,166.6
108,0.32118,,135,,166.6
109,0.32358,,135,,166.8
110,0.32556,,135,,167.2
111,0.32804,,136,,167.8
112,0.33138,,136,,168
113,0.33467,,136,,168.4
114,0.33807,,136,,169
115,0.34127,,136,,169.4
116,0.34377,,136,,170
117,0.34614,,136,,169.8
118,0.34919,,136,,170.4
119,0.35203,,136,,170.8
120,0.35474,,135,,170.6
121,0.35787,,135,,170.8
122,0.36106,,135,,171
123,0.36376,,135,,171.8
124,0.36677,,135,,171.8
125,0.36975,,135,,171.8
126,0.37225,,136,,172.2
127,0.37469,,136,,172.2
128,0.37721,,136,,172.4
129,0.37993,,137,,173
130,0.38266,,137,,173.6
131,0.38557,,137,,174.4
132,0.38852,,137,,175
133,0.39142,,136,,175.4
134,0.39462,,136,,176
135,0.39796,,137,,176.2
136,0.40121,,137,,176.4
137,0.40415,,137,,176.2
138,0.40732,,137,,176.6
139,0.4106,,137,,177
140,0.4137,,136,,177
141,0.41619,,136,,177.4
142,0.41883,,136,,177.6
143,0.42154,,136,,177.8
144,0.4242,,136,,178
145,0.42681,,136,,177.8
146,0.42962,,136,,177.6
147,0.43235,,137,,177.4
148,0.43523,,137,,177.6
149,0.4383,,137,,177.6
150,0.44124,,137,,178
151,0.44416,,137,,178.2
152,0.44743,,137,,178.2
153,0.45068,,137,,178
154,0.45393,,137,,178.2
155,0.45743,,137,,178.4
156,0.46089,,137,,178.6
157,0.46405,,139,,179
158,0.4676,,139,,179.8
159,0.47095,,138,,180.6
160,0.4741,,138,,181
161,0.4775,,138,,181
162,0.48079,,138,,180.4
163,0.48381,,138,,180.2
164,0.48701,,137,,180
165,0.49014,,137,,179.6
166,0.49317,,137,,179
167,0.49615,,137,,178.8
168,0.49949,,137,,179
169,0.50301,,137,,178.4
170,0.50601,,137,,178.2
171,0.50969,,137,,177
172,0.51358,,138,,176
173,0.51699,,138,,176
174,0.52029,,139,,175.6
175,0.52398,,140,,175.4
176,0.52781,,140,,174.8
177,0.53127,,140,,174.8
178,0.53453,,140,,175
179,0.53765,,140,,175
180,0.54056,,140,,174.8
181,0.54363,,140,,174.6
182,0.54682,,140,,174.8
183,0.55,,140,,174.8
184,0.55285,,140,,174.6
185,0.55593,,141,,174.6
186,0.559,,141,,174.8
187,0.56188,,141,,174.8
188,0.56479,,141,,174.6
189,0.56803,,141,,175.4
190,0.57078,,141,,175.4
191,0.57399,,142,,175.6
192,0.57716,,142,,175.6
193,0.58012,,141,,175.8
194,0.58295,,141,,176.2
195,0.58598,,142,,176.4
196,0.58911,,142,,176.4
197,0.59227,,142,,176.8
198,0.59569,,142,,176.8
199,0.59917,,142,,176.8
200,0.60238,,142,,177
201,0.60583,,142,,177.6
202,0.60909,,142,,178
203,0.61223,,142,,178.6
204,0.61532,,142,,179.4
205,0.6184,,142,,180.4
206,0.62169,,142,,181
