secs,km,power,hr,cad,alt
0,0,,0,,2965.6
1,0.00085,,0,,2968.35
2,0.0017,,0,,2971.1
3,0.00255,,0,,2973.85
4,0.0034,,0,,2976.6
5,0.0050125,,18,,2978.45
6,0.006625,,36,,2980.3
7,0.0082375,,54,,2982.15
8,0.00985,,72,,2984
9,0.01217,,72,,2986.2
10,0.0143875,,72,,2988.35
11,0.016605,,72,,2990.5
12,0.0188225,,72,,2992.65
13,0.02104,,72,,2994.8
14,0.023418,,72,,2996.64
15,0.025796,,72,,2998.48
16,0.028174,,72,,3000.32
17,0.030552,,72,,3002.16
18,0.03293,,72,,3004
19,0.03492,,72,,3005.6
20,0.037315,,72,,3007.03
21,0.03971,,72,,3008.47
22,0.042105,,72,,3009.9
23,0.0445,,72,,3011.33
24,0.046895,,72,,3012.77
25,0.04929,,72,,3014.2
26,0.051775,,71.8333,,3015.37
27,0.05426,,71.6667,,3016.53
28,0.056745,,71.5,,3017.7
29,0.05923,,71.3333,,3018.87
30,0.061715,,71.1667,,3020.03
31,0.0642,,71,,3021.2
32,0.0666817,,70.8333,,3022.1
33,0.0691633,,70.6667,,3023
34,0.071645,,70.5,,3023.9
35,0.0741267,,70.3333,,3024.8
36,0.0766083,,70.1667,,3025.7
37,0.07909,,70,,3026.6
38,0.0815214,,70,,3027.31
39,0.0839529,,70,,3028.03
40,0.0863843,,70,,3028.74
41,0.0888157,,70,,3029.46
42,0.0912471,,70,,3030.17
43,0.0936786,,70,,3030.89
44,0.09611,,70,,3031.6
45,0.09852,,70,,3032.3
46,0.10093,,70,,3033
47,0.103127,,70.3333,,3033.53
48,0.105323,,70.6667,,3034.07
49,0.10752,,71,,3034.6
50,0.109978,,71,,3035.12
51,0.112436,,71,,3035.64
52,0.114894,,71,,3036.16
53,0.117352,,71,,3036.68
54,0.11981,,71,,3037.2
55,0.122116,,70.8571,,3037.63
56,0.124421,,70.7143,,3038.06
57,0.126727,,70.5714,,3038.49
58,0.129033,,70.4286,,3038.91
59,0.131339,,70.2857,,3039.34
60,0.133644,,70.1429,,3039.77
61,0.13595,,70,,3040.2
62,0.13812,,70,,3040.56
63,0.14029,,70,,3040.92
64,0.14246,,70,,3041.28
65,0.14463,,70,,3041.64
66,0.1468,,70,,3042
67,0.14839,,70,,3042.2
68,0.150455,,70,,3042.43
69,0.15252,,70,,3042.67
70,0.154585,,70,,3042.9
71,0.15665,,70,,3043.13
72,0.158715,,70,,3043.37
73,0.16078,,70,,3043.6
74,0.163069,,69.75,,3043.75
75,0.165357,,69.5,,3043.9
76,0.167646,,69.25,,3044.05
77,0.169935,,69,,3044.2
78,0.172224,,68.75,,3044.35
79,0.174512,,68.5,,3044.5
80,0.176801,,68.25,,3044.65
81,0.17909,,68,,3044.8
82,0.18142,,68,,3044.9
83,0.18375,,68,,3045
84,0.18608,,68,,3045.1
85,0.18841,,68,,3045.2
86,0.19074,,68,,3045.3
87,0.19307,,68,,3045.4
88,0.195935,,69.5,,3045.6
89,0.1988,,71,,3045.8
90,0.20168,,71.6667,,3045.87
91,0.20456,,72.3333,,3045.93
92,0.20744,,73,,3046
93,0.210518,,73,,3046.04
94,0.213596,,73,,3046.08
95,0.216674,,73,,3046.12
96,0.219752,,73,,3046.16
97,0.22283,,73,,3046.2
98,0.225022,,73.2,,3046.28
99,0.227214,,73.4,,3046.36
100,0.229406,,73.6,,3046.44
101,0.231598,,73.8,,3046.52
102,0.23379,,74,,3046.6
103,0.235753,,73.8333,,3046.63
104,0.237717,,73.6667,,3046.67
105,0.23968,,73.5,,3046.7
106,0.241643,,73.3333,,3046.73
107,0.243607,,73.1667,,3046.77
108,0.24557,,73,,3046.8
109,0.24747,,73.75,,3046.8
110,0.24937,,74.5,,3046.8
111,0.25127,,75.25,,3046.8
112,0.25317,,76,,3046.8
113,0.255545,,76,,3046.8
114,0.25792,,76,,3046.8
115,0.260134,,76,,3046.8
116,0.262348,,76,,3046.8
117,0.264562,,76,,3046.8
118,0.266776,,76,,3046.8
119,0.26899,,76,,3046.8
120,0.27133,,76,,3046.84
121,0.27367,,76,,3046.88
122,0.27601,,76,,3046.92
123,0.27835,,76,,3046.96
